state,year,age,pop
CA,2009,0-4,211966
CA,2009,18-49,428675
CA,2009,5-17,74021
CA,2009,50-64,141293
CA,2009,65+,112944
CA,2010,0-4,199545
CA,2010,18-49,429606
CA,2010,5-17,71783
CA,2010,50-64,144859
CA,2010,65+,108173
CA,2011,0-4,200299
CA,2011,18-49,433184
CA,2011,5-17,505786
CA,2011,50-64,148228
CA,2011,65+,109277
CA,2012,0-4,200843
CA,2012,18-49,437204
CA,2012,5-17,508066
CA,2012,50-64,151181
CA,2012,65+,111017
CA,2013,0-4,200284
CA,2013,18-49,441036
CA,2013,5-17,510687
CA,2013,50-64,153798
CA,2013,65+,113130
CA,2014,0-4,200519
CA,2014,18-49,445629
CA,2014,5-17,512939
CA,2014,50-64,156182
CA,2014,65+,116073
CA,2015,0-4,200919
CA,2015,18-49,451346
CA,2015,5-17,515561
CA,2015,50-64,157536
CA,2015,65+,461941
CA,2016,0-4,201582
CA,2016,18-49,455681
CA,2016,5-17,517923
CA,2016,50-64,157678
CA,2016,65+,479357
CA,2017,0-4,202541
CA,2017,18-49,1696032
CA,2017,5-17,519826
CA,2017,50-64,698309
CA,2017,65+,500848
CA,2018,0-4,202530
CA,2018,18-49,1707832
CA,2018,5-17,520180
CA,2018,50-64,699312
CA,2018,65+,517137
CA,2019,0-4,201834
CA,2019,18-49,1716784
CA,2019,5-17,520942
CA,2019,50-64,699517
CA,2019,65+,534889
CA,2020,0-4,200085
CA,2020,18-49,1716142
CA,2020,5-17,519060
CA,2020,50-64,697948
CA,2020,65+,550921
CA,2021,0-4,196607
CA,2021,18-49,1712179
CA,2021,5-17,529183
CA,2021,50-64,706760
CA,2021,65+,555980
CA,2022,0-4,189393
CA,2022,18-49,1693153
CA,2022,5-17,516887
CA,2022,50-64,702409
CA,2022,65+,575665
CO,2009,0-4,182929
CO,2009,18-49,1118997
CO,2009,5-17,411740
CO,2009,50-64,402330
CO,2009,65+,228523
CO,2010,0-4,173979
CO,2010,18-49,1112825
CO,2010,5-17,420898
CO,2010,50-64,421441
CO,2010,65+,229188
CO,2011,0-4,174596
CO,2011,18-49,1124101
CO,2011,5-17,427350
CO,2011,50-64,437282
CO,2011,65+,237867
CO,2012,0-4,173873
CO,2012,18-49,1135929
CO,2012,5-17,434260
CO,2012,50-64,451939
CO,2012,65+,248686
CO,2013,0-4,173043
CO,2013,18-49,1151073
CO,2013,5-17,439965
CO,2013,50-64,465223
CO,2013,65+,261039
CO,2014,0-4,172340
CO,2014,18-49,1169132
CO,2014,5-17,445847
CO,2014,50-64,476357
CO,2014,65+,274299
CO,2015,0-4,172270
CO,2015,18-49,1189927
CO,2015,5-17,451730
CO,2015,50-64,485876
CO,2015,65+,288685
CO,2016,0-4,171520
CO,2016,18-49,1209165
CO,2016,5-17,456281
CO,2016,50-64,493428
CO,2016,65+,303602
CO,2017,0-4,170458
CO,2017,18-49,1232326
CO,2017,5-17,460364
CO,2017,50-64,498140
CO,2017,65+,316610
CO,2018,0-4,170524
CO,2018,18-49,1259614
CO,2018,5-17,463591
CO,2018,50-64,501448
CO,2018,65+,331067
CO,2019,0-4,169421
CO,2019,18-49,1283383
CO,2019,5-17,464029
CO,2019,50-64,503160
CO,2019,65+,345090
CO,2020,0-4,167178
CO,2020,18-49,1305284
CO,2020,5-17,462876
CO,2020,50-64,503866
CO,2020,65+,359573
CO,2021,0-4,162810
CO,2021,18-49,1311160
CO,2021,5-17,464302
CO,2021,50-64,505292
CO,2021,65+,361884
CO,2022,0-4,159597
CO,2022,18-49,1331842
CO,2022,5-17,454813
CO,2022,50-64,502711
CO,2022,65+,377164
CT,2009,0-4,212504
CT,2009,18-49,1539670
CT,2009,5-17,609616
CT,2009,50-64,657902
CT,2009,65+,474795
CT,2010,0-4,205479
CT,2010,18-49,1535444
CT,2010,5-17,622044
CT,2010,50-64,691167
CT,2010,65+,491703
CT,2011,0-4,203168
CT,2011,18-49,1528435
CT,2011,5-17,617036
CT,2011,50-64,710059
CT,2011,65+,499474
CT,2012,0-4,200031
CT,2012,18-49,1523454
CT,2012,5-17,612181
CT,2012,50-64,726725
CT,2012,65+,509822
CT,2013,0-4,197395
CT,2013,18-49,1517250
CT,2013,5-17,606650
CT,2013,50-64,741982
CT,2013,65+,520284
CT,2014,0-4,194338
CT,2014,18-49,1511552
CT,2014,5-17,600747
CT,2014,50-64,754337
CT,2014,65+,531079
CT,2015,0-4,191445
CT,2015,18-49,1502427
CT,2015,5-17,593291
CT,2015,50-64,763781
CT,2015,65+,542278
CT,2016,0-4,188812
CT,2016,18-49,1490260
CT,2016,5-17,584840
CT,2016,50-64,769635
CT,2016,65+,555023
CT,2017,0-4,186188
CT,2017,18-49,1480788
CT,2017,5-17,576544
CT,2017,50-64,775201
CT,2017,65+,575757
CT,2018,0-4,184983
CT,2018,18-49,1466230
CT,2018,5-17,567642
CT,2018,50-64,775069
CT,2018,65+,587580
CT,2019,0-4,183808
CT,2019,18-49,1456770
CT,2019,5-17,560025
CT,2019,50-64,773418
CT,2019,65+,601053
CT,2020,0-4,182708
CT,2020,18-49,1449754
CT,2020,5-17,552876
CT,2020,50-64,769745
CT,2020,65+,615466
CT,2021,0-4,182122
CT,2021,18-49,1461265
CT,2021,5-17,562369
CT,2021,50-64,779395
CT,2021,65+,620179
CT,2022,0-4,182768
CT,2022,18-49,1465135
CT,2022,5-17,560109
CT,2022,50-64,774197
CT,2022,65+,629108
GA,2009,0-4,403638
GA,2009,18-49,2474189
GA,2009,5-17,979962
GA,2009,50-64,814953
GA,2009,65+,410876
GA,2010,0-4,373982
GA,2010,18-49,2395655
GA,2010,5-17,959630
GA,2010,50-64,823283
GA,2010,65+,415742
GA,2011,0-4,373676
GA,2011,18-49,2414956
GA,2011,5-17,974719
GA,2011,50-64,857011
GA,2011,65+,435670
GA,2012,0-4,370392
GA,2012,18-49,2430616
GA,2012,5-17,986127
GA,2012,50-64,887960
GA,2012,65+,458638
GA,2013,0-4,366980
GA,2013,18-49,2437338
GA,2013,5-17,997300
GA,2013,50-64,917776
GA,2013,65+,484271
GA,2014,0-4,364369
GA,2014,18-49,2449353
GA,2014,5-17,1006534
GA,2014,50-64,946892
GA,2014,65+,512803
GA,2015,0-4,362365
GA,2015,18-49,2463566
GA,2015,5-17,1016742
GA,2015,50-64,975513
GA,2015,65+,542635
GA,2016,0-4,362171
GA,2016,18-49,2476023
GA,2016,5-17,1025136
GA,2016,50-64,999000
GA,2016,65+,575044
GA,2017,0-4,361798
GA,2017,18-49,2499331
GA,2017,5-17,1034860
GA,2017,50-64,1022652
GA,2017,65+,605969
GA,2018,0-4,361998
GA,2018,18-49,2520469
GA,2018,5-17,1040609
GA,2018,50-64,1042938
GA,2018,65+,635478
GA,2019,0-4,362888
GA,2019,18-49,2545163
GA,2019,5-17,1045641
GA,2019,50-64,1062310
GA,2019,65+,666305
GA,2020,0-4,361419
GA,2020,18-49,2573561
GA,2020,5-17,1050322
GA,2020,50-64,1081121
GA,2020,65+,698067
GA,2021,0-4,356553
GA,2021,18-49,2593626
GA,2021,5-17,1069314
GA,2021,50-64,1109271
GA,2021,65+,713626
GA,2022,0-4,351228
GA,2022,18-49,2626057
GA,2022,5-17,1061001
GA,2022,50-64,1120515
GA,2022,65+,747854
MD,2009,0-4,169895
MD,2009,18-49,1201685
MD,2009,5-17,452051
MD,2009,50-64,480914
MD,2009,65+,318789
MD,2010,0-4,164603
MD,2010,18-49,1191571
MD,2010,5-17,453836
MD,2010,50-64,502008
MD,2010,65+,324197
MD,2011,0-4,165123
MD,2011,18-49,1189242
MD,2011,5-17,449405
MD,2011,50-64,515710
MD,2011,65+,330473
MD,2012,0-4,165553
MD,2012,18-49,1189479
MD,2012,5-17,445968
MD,2012,50-64,527946
MD,2012,65+,338810
MD,2013,0-4,166295
MD,2013,18-49,1189087
MD,2013,5-17,443543
MD,2013,50-64,538949
MD,2013,65+,348004
MD,2014,0-4,166786
MD,2014,18-49,1189274
MD,2014,5-17,442569
MD,2014,50-64,548040
MD,2014,65+,358288
MD,2015,0-4,167056
MD,2015,18-49,1187770
MD,2015,5-17,441744
