state,year,age,pop
CA,1998,0-4,31633
CA,1998,18-49,441341
CA,1998,5-17,81169
CA,1998,50-64,116479
CA,1998,65+,106111
CA,1998,Total,776733
CA,1999,0-4,31633
CA,1999,18-49,441341
CA,1999,5-17,81169
CA,1999,50-64,116479
CA,1999,65+,106111
CA,1999,Total,776733
CA,2000,0-4,196451
CA,2000,18-49,440389.4
CA,2000,5-17,82355.6
CA,2000,50-64,117365
CA,2000,65+,106150
CA,2000,Total,942711
CA,2001,0-4,199029
CA,2001,18-49,441461.4
CA,2001,5-17,80287.6
CA,2001,50-64,120656
CA,2001,65+,105854
CA,2001,Total,947288
CA,2002,0-4,198395
CA,2002,18-49,431205.6
CA,2002,5-17,78824.4
CA,2002,50-64,124060
CA,2002,65+,105896
CA,2002,Total,938381
CA,2003,0-4,199265
CA,2003,18-49,422429.8
CA,2003,5-17,76569.2
CA,2003,50-64,127206
CA,2003,65+,106345
CA,2003,Total,931815
CA,2004,0-4,199534
CA,2004,18-49,415975.8
CA,2004,5-17,74552.2
CA,2004,50-64,130329
CA,2004,65+,106464
CA,2004,Total,926855
CA,2005,0-4,200297
CA,2005,18-49,414308.4
CA,2005,5-17,73201.6
CA,2005,50-64,133817
CA,2005,65+,107152
CA,2005,Total,928776
CA,2006,0-4,197615
CA,2006,18-49,417183.8
CA,2006,5-17,73381.2
CA,2006,50-64,137665
CA,2006,65+,106502
CA,2006,Total,932347
CA,2007,0-4,198780
CA,2007,18-49,421979
CA,2007,5-17,73475
CA,2007,50-64,141521
CA,2007,65+,107108
CA,2007,Total,942863
CA,2008,0-4,200740
CA,2008,18-49,428395
CA,2008,5-17,74056
CA,2008,50-64,145574
CA,2008,65+,108095
CA,2008,Total,956860
CA,2009,0-4,211966
CA,2009,18-49,428675
CA,2009,5-17,74021
CA,2009,50-64,141293
CA,2009,65+,112944
CA,2009,Total,968899
CA,2010,0-4,199545
CA,2010,18-49,429606
CA,2010,5-17,71783
CA,2010,50-64,144859
CA,2010,65+,108173
CA,2010,Total,953966
CA,2011,0-4,200299
CA,2011,18-49,433184
CA,2011,5-17,505786
CA,2011,50-64,148228
CA,2011,65+,109277
CA,2011,Total,1396774
CA,2012,0-4,200843
CA,2012,18-49,437204
CA,2012,5-17,508066
CA,2012,50-64,151181
CA,2012,65+,111017
CA,2012,Total,1408311
CA,2013,0-4,200284
CA,2013,18-49,441036
CA,2013,5-17,510687
CA,2013,50-64,153798
CA,2013,65+,113130
CA,2013,Total,1418935
CA,2014,0-4,200519
CA,2014,18-49,445629
CA,2014,5-17,512939
CA,2014,50-64,156182
CA,2014,65+,116073
CA,2014,Total,1431342
CA,2015,0-4,200919
CA,2015,18-49,451346
CA,2015,5-17,515561
CA,2015,50-64,157536
CA,2015,65+,461941
CA,2015,Total,1787303
CA,2016,0-4,201582
CA,2016,18-49,455681
CA,2016,5-17,517923
CA,2016,50-64,157678
CA,2016,65+,479357
CA,2016,Total,1812221
CA,2017,0-4,202541
CA,2017,18-49,1696032
CA,2017,5-17,519826
CA,2017,50-64,698309
CA,2017,65+,500848
CA,2017,Total,3617556
CA,2018,0-4,202530
CA,2018,18-49,1707832
CA,2018,5-17,520180
CA,2018,50-64,699312
CA,2018,65+,517137
CA,2018,Total,3646991
CA,2019,0-4,201834
CA,2019,18-49,1716784
CA,2019,5-17,520942
CA,2019,50-64,699517
CA,2019,65+,534889
CA,2019,Total,3673966
CA,2020,0-4,200085
CA,2020,18-49,1716142
CA,2020,5-17,519060
CA,2020,50-64,697948
CA,2020,65+,550921
CA,2020,Total,3684156
CA,2021,0-4,196607
CA,2021,18-49,1712179
CA,2021,5-17,529183
CA,2021,50-64,706760
CA,2021,65+,555980
