"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alachua County, FL","12001","Under 15 years","15",Suppressed
,"Alachua County, FL","12001","15-19 years","15-19",124
,"Alachua County, FL","12001","20-24 years","20-24",530
,"Alachua County, FL","12001","25-29 years","25-29",857
,"Alachua County, FL","12001","30-34 years","30-34",864
,"Alachua County, FL","12001","35-39 years","35-39",398
,"Alachua County, FL","12001","40-44 years","40-44",77
,"Alachua County, FL","12001","45-49 years","45-49",Suppressed
,"Alachua County, FL","12001","50 years and over","50+",Suppressed
,"Bay County, FL","12005","Under 15 years","15",Suppressed
,"Bay County, FL","12005","15-19 years","15-19",166
,"Bay County, FL","12005","20-24 years","20-24",631
,"Bay County, FL","12005","25-29 years","25-29",724
,"Bay County, FL","12005","30-34 years","30-34",551
,"Bay County, FL","12005","35-39 years","35-39",236
,"Bay County, FL","12005","40-44 years","40-44",31
,"Bay County, FL","12005","45-49 years","45-49",Suppressed
,"Bay County, FL","12005","50 years and over","50+",0
,"Brevard County, FL","12009","Under 15 years","15",Suppressed
,"Brevard County, FL","12009","15-19 years","15-19",248
,"Brevard County, FL","12009","20-24 years","20-24",1108
,"Brevard County, FL","12009","25-29 years","25-29",1631
,"Brevard County, FL","12009","30-34 years","30-34",1500
,"Brevard County, FL","12009","35-39 years","35-39",651
,"Brevard County, FL","12009","40-44 years","40-44",123
,"Brevard County, FL","12009","45-49 years","45-49",10
,"Brevard County, FL","12009","50 years and over","50+",Suppressed
,"Broward County, FL","12011","Under 15 years","15",Suppressed
,"Broward County, FL","12011","15-19 years","15-19",722
,"Broward County, FL","12011","20-24 years","20-24",3489
,"Broward County, FL","12011","25-29 years","25-29",6194
,"Broward County, FL","12011","30-34 years","30-34",6987
,"Broward County, FL","12011","35-39 years","35-39",4007
,"Broward County, FL","12011","40-44 years","40-44",1064
,"Broward County, FL","12011","45-49 years","45-49",87
,"Broward County, FL","12011","50 years and over","50+",Suppressed
,"Charlotte County, FL","12015","Under 15 years","15",0
,"Charlotte County, FL","12015","15-19 years","15-19",70
,"Charlotte County, FL","12015","20-24 years","20-24",281
,"Charlotte County, FL","12015","25-29 years","25-29",293
,"Charlotte County, FL","12015","30-34 years","30-34",266
,"Charlotte County, FL","12015","35-39 years","35-39",98
,"Charlotte County, FL","12015","40-44 years","40-44",29
,"Charlotte County, FL","12015","45-49 years","45-49",0
,"Charlotte County, FL","12015","50 years and over","50+",0
,"Citrus County, FL","12017","Under 15 years","15",0
,"Citrus County, FL","12017","15-19 years","15-19",77
,"Citrus County, FL","12017","20-24 years","20-24",331
,"Citrus County, FL","12017","25-29 years","25-29",349
,"Citrus County, FL","12017","30-34 years","30-34",185
,"Citrus County, FL","12017","35-39 years","35-39",95
,"Citrus County, FL","12017","40-44 years","40-44",24
,"Citrus County, FL","12017","45-49 years","45-49",Suppressed
,"Citrus County, FL","12017","50 years and over","50+",0
