"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Androscoggin County, ME","23001","Under 15 years","15",0
,"Androscoggin County, ME","23001","15-19 years","15-19",73
,"Androscoggin County, ME","23001","20-24 years","20-24",297
,"Androscoggin County, ME","23001","25-29 years","25-29",409
,"Androscoggin County, ME","23001","30-34 years","30-34",315
,"Androscoggin County, ME","23001","35-39 years","35-39",126
,"Androscoggin County, ME","23001","40-44 years","40-44",23
,"Androscoggin County, ME","23001","45-49 years","45-49",Suppressed
,"Androscoggin County, ME","23001","50 years and over","50+",0
,"Cumberland County, ME","23005","Under 15 years","15",Suppressed
,"Cumberland County, ME","23005","15-19 years","15-19",67
,"Cumberland County, ME","23005","20-24 years","20-24",313
,"Cumberland County, ME","23005","25-29 years","25-29",746
,"Cumberland County, ME","23005","30-34 years","30-34",1023
,"Cumberland County, ME","23005","35-39 years","35-39",581
,"Cumberland County, ME","23005","40-44 years","40-44",93
,"Cumberland County, ME","23005","45-49 years","45-49",Suppressed
,"Cumberland County, ME","23005","50 years and over","50+",0
,"Kennebec County, ME","23011","Under 15 years","15",Suppressed
,"Kennebec County, ME","23011","15-19 years","15-19",61
,"Kennebec County, ME","23011","20-24 years","20-24",265
,"Kennebec County, ME","23011","25-29 years","25-29",394
,"Kennebec County, ME","23011","30-34 years","30-34",312
,"Kennebec County, ME","23011","35-39 years","35-39",103
,"Kennebec County, ME","23011","40-44 years","40-44",27
,"Kennebec County, ME","23011","45-49 years","45-49",0
,"Kennebec County, ME","23011","50 years and over","50+",0
,"Penobscot County, ME","23019","Under 15 years","15",Suppressed
,"Penobscot County, ME","23019","15-19 years","15-19",63
,"Penobscot County, ME","23019","20-24 years","20-24",309
,"Penobscot County, ME","23019","25-29 years","25-29",518
,"Penobscot County, ME","23019","30-34 years","30-34",412
,"Penobscot County, ME","23019","35-39 years","35-39",150
,"Penobscot County, ME","23019","40-44 years","40-44",30
,"Penobscot County, ME","23019","45-49 years","45-49",0
,"Penobscot County, ME","23019","50 years and over","50+",0
,"York County, ME","23031","Under 15 years","15",0
,"York County, ME","23031","15-19 years","15-19",64
,"York County, ME","23031","20-24 years","20-24",325
,"York County, ME","23031","25-29 years","25-29",621
,"York County, ME","23031","30-34 years","30-34",596
,"York County, ME","23031","35-39 years","35-39",237
,"York County, ME","23031","40-44 years","40-44",51
,"York County, ME","23031","45-49 years","45-49",Suppressed
,"York County, ME","23031","50 years and over","50+",Suppressed
,"Unidentified Counties, ME","23999","Under 15 years","15",0
,"Unidentified Counties, ME","23999","15-19 years","15-19",246
,"Unidentified Counties, ME","23999","20-24 years","20-24",1007
,"Unidentified Counties, ME","23999","25-29 years","25-29",1336
,"Unidentified Counties, ME","23999","30-34 years","30-34",972
,"Unidentified Counties, ME","23999","35-39 years","35-39",432
,"Unidentified Counties, ME","23999","40-44 years","40-44",81
,"Unidentified Counties, ME","23999","45-49 years","45-49",Suppressed
,"Unidentified Counties, ME","23999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maine (23)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:02:27 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:02:27 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
