"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Allegan County, MI","26005","Under 15 years","15",Suppressed
,"Allegan County, MI","26005","15-19 years","15-19",69
,"Allegan County, MI","26005","20-24 years","20-24",299
,"Allegan County, MI","26005","25-29 years","25-29",496
,"Allegan County, MI","26005","30-34 years","30-34",334
,"Allegan County, MI","26005","35-39 years","35-39",142
,"Allegan County, MI","26005","40-44 years","40-44",23
,"Allegan County, MI","26005","45-49 years","45-49",0
,"Allegan County, MI","26005","50 years and over","50+",0
,"Bay County, MI","26017","Under 15 years","15",0
,"Bay County, MI","26017","15-19 years","15-19",58
,"Bay County, MI","26017","20-24 years","20-24",236
,"Bay County, MI","26017","25-29 years","25-29",350
,"Bay County, MI","26017","30-34 years","30-34",292
,"Bay County, MI","26017","35-39 years","35-39",113
,"Bay County, MI","26017","40-44 years","40-44",12
,"Bay County, MI","26017","45-49 years","45-49",0
,"Bay County, MI","26017","50 years and over","50+",0
,"Berrien County, MI","26021","Under 15 years","15",Suppressed
,"Berrien County, MI","26021","15-19 years","15-19",128
,"Berrien County, MI","26021","20-24 years","20-24",437
,"Berrien County, MI","26021","25-29 years","25-29",511
,"Berrien County, MI","26021","30-34 years","30-34",464
,"Berrien County, MI","26021","35-39 years","35-39",158
,"Berrien County, MI","26021","40-44 years","40-44",20
,"Berrien County, MI","26021","45-49 years","45-49",Suppressed
,"Berrien County, MI","26021","50 years and over","50+",0
,"Calhoun County, MI","26025","Under 15 years","15",Suppressed
,"Calhoun County, MI","26025","15-19 years","15-19",115
,"Calhoun County, MI","26025","20-24 years","20-24",479
,"Calhoun County, MI","26025","25-29 years","25-29",541
,"Calhoun County, MI","26025","30-34 years","30-34",374
,"Calhoun County, MI","26025","35-39 years","35-39",121
,"Calhoun County, MI","26025","40-44 years","40-44",27
,"Calhoun County, MI","26025","45-49 years","45-49",Suppressed
,"Calhoun County, MI","26025","50 years and over","50+",0
,"Eaton County, MI","26045","Under 15 years","15",Suppressed
,"Eaton County, MI","26045","15-19 years","15-19",52
,"Eaton County, MI","26045","20-24 years","20-24",238
,"Eaton County, MI","26045","25-29 years","25-29",392
,"Eaton County, MI","26045","30-34 years","30-34",295
,"Eaton County, MI","26045","35-39 years","35-39",134
,"Eaton County, MI","26045","40-44 years","40-44",25
