"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Canadian County, OK","40017","Under 15 years","15",Suppressed
,"Canadian County, OK","40017","15-19 years","15-19",98
,"Canadian County, OK","40017","20-24 years","20-24",341
,"Canadian County, OK","40017","25-29 years","25-29",598
,"Canadian County, OK","40017","30-34 years","30-34",528
,"Canadian County, OK","40017","35-39 years","35-39",184
,"Canadian County, OK","40017","40-44 years","40-44",27
,"Canadian County, OK","40017","45-49 years","45-49",Suppressed
,"Canadian County, OK","40017","50 years and over","50+",0
,"Cleveland County, OK","40027","Under 15 years","15",0
,"Cleveland County, OK","40027","15-19 years","15-19",162
,"Cleveland County, OK","40027","20-24 years","20-24",598
,"Cleveland County, OK","40027","25-29 years","25-29",947
,"Cleveland County, OK","40027","30-34 years","30-34",898
,"Cleveland County, OK","40027","35-39 years","35-39",350
,"Cleveland County, OK","40027","40-44 years","40-44",57
,"Cleveland County, OK","40027","45-49 years","45-49",Suppressed
,"Cleveland County, OK","40027","50 years and over","50+",0
,"Comanche County, OK","40031","Under 15 years","15",Suppressed
,"Comanche County, OK","40031","15-19 years","15-19",141
,"Comanche County, OK","40031","20-24 years","20-24",549
,"Comanche County, OK","40031","25-29 years","25-29",546
,"Comanche County, OK","40031","30-34 years","30-34",367
,"Comanche County, OK","40031","35-39 years","35-39",128
,"Comanche County, OK","40031","40-44 years","40-44",21
,"Comanche County, OK","40031","45-49 years","45-49",Suppressed
,"Comanche County, OK","40031","50 years and over","50+",0
,"Oklahoma County, OK","40109","Under 15 years","15",15
,"Oklahoma County, OK","40109","15-19 years","15-19",888
,"Oklahoma County, OK","40109","20-24 years","20-24",2841
,"Oklahoma County, OK","40109","25-29 years","25-29",3689
,"Oklahoma County, OK","40109","30-34 years","30-34",3204
,"Oklahoma County, OK","40109","35-39 years","35-39",1274
,"Oklahoma County, OK","40109","40-44 years","40-44",270
,"Oklahoma County, OK","40109","45-49 years","45-49",16
,"Oklahoma County, OK","40109","50 years and over","50+",0
,"Tulsa County, OK","40143","Under 15 years","15",Suppressed
,"Tulsa County, OK","40143","15-19 years","15-19",673
,"Tulsa County, OK","40143","20-24 years","20-24",2310
,"Tulsa County, OK","40143","25-29 years","25-29",2933
,"Tulsa County, OK","40143","30-34 years","30-34",2456
,"Tulsa County, OK","40143","35-39 years","35-39",1049
,"Tulsa County, OK","40143","40-44 years","40-44",197
,"Tulsa County, OK","40143","45-49 years","45-49",13
,"Tulsa County, OK","40143","50 years and over","50+",0
,"Unidentified Counties, OK","40999","Under 15 years","15",21
,"Unidentified Counties, OK","40999","15-19 years","15-19",2288
,"Unidentified Counties, OK","40999","20-24 years","20-24",7614
,"Unidentified Counties, OK","40999","25-29 years","25-29",7579
,"Unidentified Counties, OK","40999","30-34 years","30-34",4740
,"Unidentified Counties, OK","40999","35-39 years","35-39",1665
,"Unidentified Counties, OK","40999","40-44 years","40-44",278
,"Unidentified Counties, OK","40999","45-49 years","45-49",17
,"Unidentified Counties, OK","40999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Oklahoma (40)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 2:20:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 2:20:31 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
