"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Adams County, PA","42001","Under 15 years","15",Suppressed
,"Adams County, PA","42001","15-19 years","15-19",48
,"Adams County, PA","42001","20-24 years","20-24",189
,"Adams County, PA","42001","25-29 years","25-29",321
,"Adams County, PA","42001","30-34 years","30-34",230
,"Adams County, PA","42001","35-39 years","35-39",113
,"Adams County, PA","42001","40-44 years","40-44",18
,"Adams County, PA","42001","45-49 years","45-49",Suppressed
,"Adams County, PA","42001","50 years and over","50+",Suppressed
,"Allegheny County, PA","42003","Under 15 years","15",Suppressed
,"Allegheny County, PA","42003","15-19 years","15-19",424
,"Allegheny County, PA","42003","20-24 years","20-24",1809
,"Allegheny County, PA","42003","25-29 years","25-29",3781
,"Allegheny County, PA","42003","30-34 years","30-34",4604
,"Allegheny County, PA","42003","35-39 years","35-39",2163
,"Allegheny County, PA","42003","40-44 years","40-44",353
,"Allegheny County, PA","42003","45-49 years","45-49",22
,"Allegheny County, PA","42003","50 years and over","50+",0
,"Beaver County, PA","42007","Under 15 years","15",0
,"Beaver County, PA","42007","15-19 years","15-19",73
,"Beaver County, PA","42007","20-24 years","20-24",311
,"Beaver County, PA","42007","25-29 years","25-29",524
,"Beaver County, PA","42007","30-34 years","30-34",529
,"Beaver County, PA","42007","35-39 years","35-39",199
,"Beaver County, PA","42007","40-44 years","40-44",39
,"Beaver County, PA","42007","45-49 years","45-49",Suppressed
,"Beaver County, PA","42007","50 years and over","50+",0
,"Berks County, PA","42011","Under 15 years","15",Suppressed
,"Berks County, PA","42011","15-19 years","15-19",309
,"Berks County, PA","42011","20-24 years","20-24",1090
,"Berks County, PA","42011","25-29 years","25-29",1542
,"Berks County, PA","42011","30-34 years","30-34",1193
,"Berks County, PA","42011","35-39 years","35-39",526
,"Berks County, PA","42011","40-44 years","40-44",110
,"Berks County, PA","42011","45-49 years","45-49",11
,"Berks County, PA","42011","50 years and over","50+",Suppressed
,"Blair County, PA","42013","Under 15 years","15",Suppressed
,"Blair County, PA","42013","15-19 years","15-19",82
,"Blair County, PA","42013","20-24 years","20-24",284
,"Blair County, PA","42013","25-29 years","25-29",456
,"Blair County, PA","42013","30-34 years","30-34",304
,"Blair County, PA","42013","35-39 years","35-39",115
,"Blair County, PA","42013","40-44 years","40-44",23
,"Blair County, PA","42013","45-49 years","45-49",Suppressed
,"Blair County, PA","42013","50 years and over","50+",Suppressed
,"Bucks County, PA","42017","Under 15 years","15",Suppressed
,"Bucks County, PA","42017","15-19 years","15-19",116
,"Bucks County, PA","42017","20-24 years","20-24",582
,"Bucks County, PA","42017","25-29 years","25-29",1589
,"Bucks County, PA","42017","30-34 years","30-34",2339
,"Bucks County, PA","42017","35-39 years","35-39",1115
,"Bucks County, PA","42017","40-44 years","40-44",192
,"Bucks County, PA","42017","45-49 years","45-49",22
,"Bucks County, PA","42017","50 years and over","50+",0
,"Butler County, PA","42019","Under 15 years","15",0
,"Butler County, PA","42019","15-19 years","15-19",63
,"Butler County, PA","42019","20-24 years","20-24",250
,"Butler County, PA","42019","25-29 years","25-29",552
,"Butler County, PA","42019","30-34 years","30-34",666
,"Butler County, PA","42019","35-39 years","35-39",263
,"Butler County, PA","42019","40-44 years","40-44",34
