"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Adams County, PA","42001","Hispanic or Latino","2135-2",98
,"Adams County, PA","42001","Not Hispanic or Latino","2186-5",818
,"Adams County, PA","42001","Unknown or Not Stated","9",Suppressed
,"Allegheny County, PA","42003","Hispanic or Latino","2135-2",299
,"Allegheny County, PA","42003","Not Hispanic or Latino","2186-5",12765
,"Allegheny County, PA","42003","Unknown or Not Stated","9",100
,"Beaver County, PA","42007","Hispanic or Latino","2135-2",43
,"Beaver County, PA","42007","Not Hispanic or Latino","2186-5",1620
,"Beaver County, PA","42007","Unknown or Not Stated","9",13
,"Berks County, PA","42011","Hispanic or Latino","2135-2",1661
,"Berks County, PA","42011","Not Hispanic or Latino","2186-5",3091
,"Berks County, PA","42011","Unknown or Not Stated","9",34
,"Blair County, PA","42013","Hispanic or Latino","2135-2",15
,"Blair County, PA","42013","Not Hispanic or Latino","2186-5",1252
,"Blair County, PA","42013","Unknown or Not Stated","9",Suppressed
,"Bucks County, PA","42017","Hispanic or Latino","2135-2",492
,"Bucks County, PA","42017","Not Hispanic or Latino","2186-5",5383
,"Bucks County, PA","42017","Unknown or Not Stated","9",83
,"Butler County, PA","42019","Hispanic or Latino","2135-2",48
,"Butler County, PA","42019","Not Hispanic or Latino","2186-5",1768
,"Butler County, PA","42019","Unknown or Not Stated","9",17
,"Cambria County, PA","42021","Hispanic or Latino","2135-2",18
,"Cambria County, PA","42021","Not Hispanic or Latino","2186-5",1337
,"Cambria County, PA","42021","Unknown or Not Stated","9",Suppressed
,"Centre County, PA","42027","Hispanic or Latino","2135-2",33
,"Centre County, PA","42027","Not Hispanic or Latino","2186-5",1165
,"Centre County, PA","42027","Unknown or Not Stated","9",10
,"Chester County, PA","42029","Hispanic or Latino","2135-2",664
,"Chester County, PA","42029","Not Hispanic or Latino","2186-5",4634
,"Chester County, PA","42029","Unknown or Not Stated","9",27
,"Cumberland County, PA","42041","Hispanic or Latino","2135-2",131
,"Cumberland County, PA","42041","Not Hispanic or Latino","2186-5",2522
,"Cumberland County, PA","42041","Unknown or Not Stated","9",30
,"Dauphin County, PA","42043","Hispanic or Latino","2135-2",484
,"Dauphin County, PA","42043","Not Hispanic or Latino","2186-5",2921
,"Dauphin County, PA","42043","Unknown or Not Stated","9",32
,"Delaware County, PA","42045","Hispanic or Latino","2135-2",364
,"Delaware County, PA","42045","Not Hispanic or Latino","2186-5",5995
,"Delaware County, PA","42045","Unknown or Not Stated","9",216
,"Erie County, PA","42049","Hispanic or Latino","2135-2",212
,"Erie County, PA","42049","Not Hispanic or Latino","2186-5",2839
,"Erie County, PA","42049","Unknown or Not Stated","9",13
,"Fayette County, PA","42051","Hispanic or Latino","2135-2",15
,"Fayette County, PA","42051","Not Hispanic or Latino","2186-5",1332
,"Fayette County, PA","42051","Unknown or Not Stated","9",Suppressed
,"Franklin County, PA","42055","Hispanic or Latino","2135-2",204
,"Franklin County, PA","42055","Not Hispanic or Latino","2186-5",1656
,"Franklin County, PA","42055","Unknown or Not Stated","9",15
,"Lackawanna County, PA","42069","Hispanic or Latino","2135-2",296
,"Lackawanna County, PA","42069","Not Hispanic or Latino","2186-5",1929
,"Lackawanna County, PA","42069","Unknown or Not Stated","9",21
,"Lancaster County, PA","42071","Hispanic or Latino","2135-2",926
,"Lancaster County, PA","42071","Not Hispanic or Latino","2186-5",6062
,"Lancaster County, PA","42071","Unknown or Not Stated","9",12
,"Lebanon County, PA","42075","Hispanic or Latino","2135-2",300
,"Lebanon County, PA","42075","Not Hispanic or Latino","2186-5",1280
,"Lebanon County, PA","42075","Unknown or Not Stated","9",12
,"Lehigh County, PA","42077","Hispanic or Latino","2135-2",1545
,"Lehigh County, PA","42077","Not Hispanic or Latino","2186-5",2665
,"Lehigh County, PA","42077","Unknown or Not Stated","9",43
,"Luzerne County, PA","42079","Hispanic or Latino","2135-2",754
,"Luzerne County, PA","42079","Not Hispanic or Latino","2186-5",2394
,"Luzerne County, PA","42079","Unknown or Not Stated","9",45
