"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Bell County, TX","48027","Hispanic or Latino","2135-2",1730
,"Bell County, TX","48027","Not Hispanic or Latino","2186-5",4404
,"Bell County, TX","48027","Unknown or Not Stated","9",Suppressed
,"Bexar County, TX","48029","Hispanic or Latino","2135-2",18245
,"Bexar County, TX","48029","Not Hispanic or Latino","2186-5",9699
,"Bexar County, TX","48029","Unknown or Not Stated","9",24
,"Brazoria County, TX","48039","Hispanic or Latino","2135-2",1628
,"Brazoria County, TX","48039","Not Hispanic or Latino","2186-5",3167
,"Brazoria County, TX","48039","Unknown or Not Stated","9",Suppressed
,"Brazos County, TX","48041","Hispanic or Latino","2135-2",936
,"Brazos County, TX","48041","Not Hispanic or Latino","2186-5",1834
,"Brazos County, TX","48041","Unknown or Not Stated","9",Suppressed
,"Cameron County, TX","48061","Hispanic or Latino","2135-2",6590
,"Cameron County, TX","48061","Not Hispanic or Latino","2186-5",303
,"Cameron County, TX","48061","Unknown or Not Stated","9",0
,"Collin County, TX","48085","Hispanic or Latino","2135-2",2088
,"Collin County, TX","48085","Not Hispanic or Latino","2186-5",8992
,"Collin County, TX","48085","Unknown or Not Stated","9",Suppressed
,"Comal County, TX","48091","Hispanic or Latino","2135-2",518
,"Comal County, TX","48091","Not Hispanic or Latino","2186-5",929
,"Comal County, TX","48091","Unknown or Not Stated","9",Suppressed
,"Dallas County, TX","48113","Hispanic or Latino","2135-2",19500
,"Dallas County, TX","48113","Not Hispanic or Latino","2186-5",20843
,"Dallas County, TX","48113","Unknown or Not Stated","9",36
,"Denton County, TX","48121","Hispanic or Latino","2135-2",2512
,"Denton County, TX","48121","Not Hispanic or Latino","2186-5",7682
,"Denton County, TX","48121","Unknown or Not Stated","9",Suppressed
,"Ector County, TX","48135","Hispanic or Latino","2135-2",1902
,"Ector County, TX","48135","Not Hispanic or Latino","2186-5",912
,"Ector County, TX","48135","Unknown or Not Stated","9",0
,"Ellis County, TX","48139","Hispanic or Latino","2135-2",781
,"Ellis County, TX","48139","Not Hispanic or Latino","2186-5",1463
,"Ellis County, TX","48139","Unknown or Not Stated","9",0
,"El Paso County, TX","48141","Hispanic or Latino","2135-2",10754
,"El Paso County, TX","48141","Not Hispanic or Latino","2186-5",2314
,"El Paso County, TX","48141","Unknown or Not Stated","9",Suppressed
,"Fort Bend County, TX","48157","Hispanic or Latino","2135-2",2541
,"Fort Bend County, TX","48157","Not Hispanic or Latino","2186-5",7428
,"Fort Bend County, TX","48157","Unknown or Not Stated","9",Suppressed
,"Galveston County, TX","48167","Hispanic or Latino","2135-2",1136
,"Galveston County, TX","48167","Not Hispanic or Latino","2186-5",3028
,"Galveston County, TX","48167","Unknown or Not Stated","9",Suppressed
,"Grayson County, TX","48181","Hispanic or Latino","2135-2",334
,"Grayson County, TX","48181","Not Hispanic or Latino","2186-5",1208
,"Grayson County, TX","48181","Unknown or Not Stated","9",Suppressed
,"Gregg County, TX","48183","Hispanic or Latino","2135-2",463
,"Gregg County, TX","48183","Not Hispanic or Latino","2186-5",1278
,"Gregg County, TX","48183","Unknown or Not Stated","9",Suppressed
,"Guadalupe County, TX","48187","Hispanic or Latino","2135-2",797
,"Guadalupe County, TX","48187","Not Hispanic or Latino","2186-5",1050
,"Guadalupe County, TX","48187","Unknown or Not Stated","9",0
,"Harris County, TX","48201","Hispanic or Latino","2135-2",35887
,"Harris County, TX","48201","Not Hispanic or Latino","2186-5",36434
,"Harris County, TX","48201","Unknown or Not Stated","9",99
,"Hays County, TX","48209","Hispanic or Latino","2135-2",1213
,"Hays County, TX","48209","Not Hispanic or Latino","2186-5",1288
,"Hays County, TX","48209","Unknown or Not Stated","9",Suppressed
,"Hidalgo County, TX","48215","Hispanic or Latino","2135-2",14489
,"Hidalgo County, TX","48215","Not Hispanic or Latino","2186-5",489
,"Hidalgo County, TX","48215","Unknown or Not Stated","9",Suppressed
,"Jefferson County, TX","48245","Hispanic or Latino","2135-2",935
,"Jefferson County, TX","48245","Not Hispanic or Latino","2186-5",2642
,"Jefferson County, TX","48245","Unknown or Not Stated","9",Suppressed
,"Johnson County, TX","48251","Hispanic or Latino","2135-2",538
,"Johnson County, TX","48251","Not Hispanic or Latino","2186-5",1559
,"Johnson County, TX","48251","Unknown or Not Stated","9",Suppressed
,"Kaufman County, TX","48257","Hispanic or Latino","2135-2",452
,"Kaufman County, TX","48257","Not Hispanic or Latino","2186-5",1208
,"Kaufman County, TX","48257","Unknown or Not Stated","9",Suppressed
,"Lubbock County, TX","48303","Hispanic or Latino","2135-2",1772
