"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Alameda County, CA","06001","American Indian or Alaska Native","1002-5",33
,"Alameda County, CA","06001","Asian","A",6779
,"Alameda County, CA","06001","Black or African American","2054-5",1828
,"Alameda County, CA","06001","Native Hawaiian or Other Pacific Islander","NHOPI",192
,"Alameda County, CA","06001","White","2106-3",9868
,"Alameda County, CA","06001","More than one race","M",873
,"Alameda County, CA","06001","Unknown or Not Stated","UNK",0
,"Alameda County, CA","06001","Not Available","NA",0
,"Alameda County, CA","06001","Not Reported","NR",0
,"Butte County, CA","06007","American Indian or Alaska Native","1002-5",35
,"Butte County, CA","06007","Asian","A",159
,"Butte County, CA","06007","Black or African American","2054-5",40
,"Butte County, CA","06007","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Butte County, CA","06007","White","2106-3",2074
,"Butte County, CA","06007","More than one race","M",170
,"Butte County, CA","06007","Unknown or Not Stated","UNK",0
,"Butte County, CA","06007","Not Available","NA",0
,"Butte County, CA","06007","Not Reported","NR",0
,"Contra Costa County, CA","06013","American Indian or Alaska Native","1002-5",27
,"Contra Costa County, CA","06013","Asian","A",2200
,"Contra Costa County, CA","06013","Black or African American","2054-5",1144
,"Contra Costa County, CA","06013","Native Hawaiian or Other Pacific Islander","NHOPI",99
,"Contra Costa County, CA","06013","White","2106-3",8131
,"Contra Costa County, CA","06013","More than one race","M",739
,"Contra Costa County, CA","06013","Unknown or Not Stated","UNK",0
,"Contra Costa County, CA","06013","Not Available","NA",0
,"Contra Costa County, CA","06013","Not Reported","NR",0
,"El Dorado County, CA","06017","American Indian or Alaska Native","1002-5",11
,"El Dorado County, CA","06017","Asian","A",72
,"El Dorado County, CA","06017","Black or African American","2054-5",12
,"El Dorado County, CA","06017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"El Dorado County, CA","06017","White","2106-3",1437
,"El Dorado County, CA","06017","More than one race","M",65
,"El Dorado County, CA","06017","Unknown or Not Stated","UNK",0
,"El Dorado County, CA","06017","Not Available","NA",0
,"El Dorado County, CA","06017","Not Reported","NR",0
,"Fresno County, CA","06019","American Indian or Alaska Native","1002-5",143
,"Fresno County, CA","06019","Asian","A",1886
,"Fresno County, CA","06019","Black or African American","2054-5",805
,"Fresno County, CA","06019","Native Hawaiian or Other Pacific Islander","NHOPI",20
,"Fresno County, CA","06019","White","2106-3",11913
,"Fresno County, CA","06019","More than one race","M",362
,"Fresno County, CA","06019","Unknown or Not Stated","UNK",0
,"Fresno County, CA","06019","Not Available","NA",0
,"Fresno County, CA","06019","Not Reported","NR",0
,"Humboldt County, CA","06023","American Indian or Alaska Native","1002-5",125
,"Humboldt County, CA","06023","Asian","A",73
,"Humboldt County, CA","06023","Black or African American","2054-5",19
,"Humboldt County, CA","06023","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Humboldt County, CA","06023","White","2106-3",1181
,"Humboldt County, CA","06023","More than one race","M",78
,"Humboldt County, CA","06023","Unknown or Not Stated","UNK",0
,"Humboldt County, CA","06023","Not Available","NA",0
,"Humboldt County, CA","06023","Not Reported","NR",0
,"Imperial County, CA","06025","American Indian or Alaska Native","1002-5",Suppressed
,"Imperial County, CA","06025","Asian","A",32
,"Imperial County, CA","06025","Black or African American","2054-5",12
,"Imperial County, CA","06025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Imperial County, CA","06025","White","2106-3",2879
,"Imperial County, CA","06025","More than one race","M",10
,"Imperial County, CA","06025","Unknown or Not Stated","UNK",0
,"Imperial County, CA","06025","Not Available","NA",0
,"Imperial County, CA","06025","Not Reported","NR",0
,"Kern County, CA","06029","American Indian or Alaska Native","1002-5",86
,"Kern County, CA","06029","Asian","A",574
,"Kern County, CA","06029","Black or African American","2054-5",798
,"Kern County, CA","06029","Native Hawaiian or Other Pacific Islander","NHOPI",18
,"Kern County, CA","06029","White","2106-3",11860
,"Kern County, CA","06029","More than one race","M",392
,"Kern County, CA","06029","Unknown or Not Stated","UNK",0
,"Kern County, CA","06029","Not Available","NA",0
,"Kern County, CA","06029","Not Reported","NR",0
,"Kings County, CA","06031","American Indian or Alaska Native","1002-5",34
,"Kings County, CA","06031","Asian","A",73
,"Kings County, CA","06031","Black or African American","2054-5",100
,"Kings County, CA","06031","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kings County, CA","06031","White","2106-3",1947
,"Kings County, CA","06031","More than one race","M",89
,"Kings County, CA","06031","Unknown or Not Stated","UNK",0
,"Kings County, CA","06031","Not Available","NA",0
,"Kings County, CA","06031","Not Reported","NR",0
,"Los Angeles County, CA","06037","American Indian or Alaska Native","1002-5",320
,"Los Angeles County, CA","06037","Asian","A",20750
,"Los Angeles County, CA","06037","Black or African American","2054-5",9375
,"Los Angeles County, CA","06037","Native Hawaiian or Other Pacific Islander","NHOPI",318
,"Los Angeles County, CA","06037","White","2106-3",89459
,"Los Angeles County, CA","06037","More than one race","M",2870
,"Los Angeles County, CA","06037","Unknown or Not Stated","UNK",0
,"Los Angeles County, CA","06037","Not Available","NA",0
,"Los Angeles County, CA","06037","Not Reported","NR",0
,"Madera County, CA","06039","American Indian or Alaska Native","1002-5",23
,"Madera County, CA","06039","Asian","A",56
,"Madera County, CA","06039","Black or African American","2054-5",29
,"Madera County, CA","06039","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Madera County, CA","06039","White","2106-3",2197
,"Madera County, CA","06039","More than one race","M",50
,"Madera County, CA","06039","Unknown or Not Stated","UNK",0
,"Madera County, CA","06039","Not Available","NA",0
,"Madera County, CA","06039","Not Reported","NR",0
,"Marin County, CA","06041","American Indian or Alaska Native","1002-5",Suppressed
,"Marin County, CA","06041","Asian","A",215
,"Marin County, CA","06041","Black or African American","2054-5",45
,"Marin County, CA","06041","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Marin County, CA","06041","White","2106-3",1912
,"Marin County, CA","06041","More than one race","M",71
,"Marin County, CA","06041","Unknown or Not Stated","UNK",0
,"Marin County, CA","06041","Not Available","NA",0
,"Marin County, CA","06041","Not Reported","NR",0
,"Merced County, CA","06047","American Indian or Alaska Native","1002-5",19
,"Merced County, CA","06047","Asian","A",298
,"Merced County, CA","06047","Black or African American","2054-5",109
,"Merced County, CA","06047","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Merced County, CA","06047","White","2106-3",3615
,"Merced County, CA","06047","More than one race","M",69
,"Merced County, CA","06047","Unknown or Not Stated","UNK",0
,"Merced County, CA","06047","Not Available","NA",0
,"Merced County, CA","06047","Not Reported","NR",0
,"Monterey County, CA","06053","American Indian or Alaska Native","1002-5",33
,"Monterey County, CA","06053","Asian","A",241
,"Monterey County, CA","06053","Black or African American","2054-5",78
,"Monterey County, CA","06053","Native Hawaiian or Other Pacific Islander","NHOPI",23
,"Monterey County, CA","06053","White","2106-3",5689
,"Monterey County, CA","06053","More than one race","M",155
