"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Adams County, CO","08001","American Indian or Alaska Native","1002-5",73
,"Adams County, CO","08001","Asian","A",382
,"Adams County, CO","08001","Black or African American","2054-5",262
,"Adams County, CO","08001","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Adams County, CO","08001","White","2106-3",5768
,"Adams County, CO","08001","More than one race","M",175
,"Adams County, CO","08001","Unknown or Not Stated","UNK",0
,"Adams County, CO","08001","Not Available","NA",0
,"Adams County, CO","08001","Not Reported","NR",0
,"Arapahoe County, CO","08005","American Indian or Alaska Native","1002-5",65
,"Arapahoe County, CO","08005","Asian","A",571
,"Arapahoe County, CO","08005","Black or African American","2054-5",1122
,"Arapahoe County, CO","08005","Native Hawaiian or Other Pacific Islander","NHOPI",46
,"Arapahoe County, CO","08005","White","2106-3",5803
,"Arapahoe County, CO","08005","More than one race","M",303
,"Arapahoe County, CO","08005","Unknown or Not Stated","UNK",0
,"Arapahoe County, CO","08005","Not Available","NA",0
,"Arapahoe County, CO","08005","Not Reported","NR",0
,"Boulder County, CO","08013","American Indian or Alaska Native","1002-5",Suppressed
,"Boulder County, CO","08013","Asian","A",193
,"Boulder County, CO","08013","Black or African American","2054-5",24
,"Boulder County, CO","08013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Boulder County, CO","08013","White","2106-3",2437
,"Boulder County, CO","08013","More than one race","M",64
,"Boulder County, CO","08013","Unknown or Not Stated","UNK",0
,"Boulder County, CO","08013","Not Available","NA",0
,"Boulder County, CO","08013","Not Reported","NR",0
,"Denver County, CO","08031","American Indian or Alaska Native","1002-5",114
,"Denver County, CO","08031","Asian","A",456
,"Denver County, CO","08031","Black or African American","2054-5",1079
,"Denver County, CO","08031","Native Hawaiian or Other Pacific Islander","NHOPI",17
,"Denver County, CO","08031","White","2106-3",8057
,"Denver County, CO","08031","More than one race","M",283
,"Denver County, CO","08031","Unknown or Not Stated","UNK",0
,"Denver County, CO","08031","Not Available","NA",0
,"Denver County, CO","08031","Not Reported","NR",0
,"Douglas County, CO","08035","American Indian or Alaska Native","1002-5",11
,"Douglas County, CO","08035","Asian","A",299
,"Douglas County, CO","08035","Black or African American","2054-5",38
,"Douglas County, CO","08035","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Douglas County, CO","08035","White","2106-3",3072
,"Douglas County, CO","08035","More than one race","M",66
,"Douglas County, CO","08035","Unknown or Not Stated","UNK",0
,"Douglas County, CO","08035","Not Available","NA",0
,"Douglas County, CO","08035","Not Reported","NR",0
,"El Paso County, CO","08041","American Indian or Alaska Native","1002-5",75
,"El Paso County, CO","08041","Asian","A",318
,"El Paso County, CO","08041","Black or African American","2054-5",702
,"El Paso County, CO","08041","Native Hawaiian or Other Pacific Islander","NHOPI",69
,"El Paso County, CO","08041","White","2106-3",7836
,"El Paso County, CO","08041","More than one race","M",490
,"El Paso County, CO","08041","Unknown or Not Stated","UNK",0
,"El Paso County, CO","08041","Not Available","NA",0
,"El Paso County, CO","08041","Not Reported","NR",0
,"Jefferson County, CO","08059","American Indian or Alaska Native","1002-5",41
,"Jefferson County, CO","08059","Asian","A",245
,"Jefferson County, CO","08059","Black or African American","2054-5",93
,"Jefferson County, CO","08059","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Jefferson County, CO","08059","White","2106-3",5574
,"Jefferson County, CO","08059","More than one race","M",145
,"Jefferson County, CO","08059","Unknown or Not Stated","UNK",0
,"Jefferson County, CO","08059","Not Available","NA",0
,"Jefferson County, CO","08059","Not Reported","NR",0
,"Larimer County, CO","08069","American Indian or Alaska Native","1002-5",24
,"Larimer County, CO","08069","Asian","A",96
,"Larimer County, CO","08069","Black or African American","2054-5",36
,"Larimer County, CO","08069","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Larimer County, CO","08069","White","2106-3",3155
,"Larimer County, CO","08069","More than one race","M",61
,"Larimer County, CO","08069","Unknown or Not Stated","UNK",0
,"Larimer County, CO","08069","Not Available","NA",0
,"Larimer County, CO","08069","Not Reported","NR",0
,"Mesa County, CO","08077","American Indian or Alaska Native","1002-5",16
,"Mesa County, CO","08077","Asian","A",20
,"Mesa County, CO","08077","Black or African American","2054-5",13
,"Mesa County, CO","08077","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Mesa County, CO","08077","White","2106-3",1685
,"Mesa County, CO","08077","More than one race","M",30
,"Mesa County, CO","08077","Unknown or Not Stated","UNK",0
,"Mesa County, CO","08077","Not Available","NA",0
,"Mesa County, CO","08077","Not Reported","NR",0
,"Pueblo County, CO","08101","American Indian or Alaska Native","1002-5",34
,"Pueblo County, CO","08101","Asian","A",18
,"Pueblo County, CO","08101","Black or African American","2054-5",42
,"Pueblo County, CO","08101","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Pueblo County, CO","08101","White","2106-3",1747
,"Pueblo County, CO","08101","More than one race","M",38
,"Pueblo County, CO","08101","Unknown or Not Stated","UNK",0
,"Pueblo County, CO","08101","Not Available","NA",0
,"Pueblo County, CO","08101","Not Reported","NR",0
,"Weld County, CO","08123","American Indian or Alaska Native","1002-5",29
,"Weld County, CO","08123","Asian","A",108
,"Weld County, CO","08123","Black or African American","2054-5",92
,"Weld County, CO","08123","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Weld County, CO","08123","White","2106-3",4025
,"Weld County, CO","08123","More than one race","M",47
,"Weld County, CO","08123","Unknown or Not Stated","UNK",0
,"Weld County, CO","08123","Not Available","NA",0
,"Weld County, CO","08123","Not Reported","NR",0
,"Unidentified Counties, CO","08999","American Indian or Alaska Native","1002-5",216
,"Unidentified Counties, CO","08999","Asian","A",174
,"Unidentified Counties, CO","08999","Black or African American","2054-5",135
,"Unidentified Counties, CO","08999","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Unidentified Counties, CO","08999","White","2106-3",8208
,"Unidentified Counties, CO","08999","More than one race","M",132
,"Unidentified Counties, CO","08999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, CO","08999","Not Available","NA",0
,"Unidentified Counties, CO","08999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2016"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 5:13:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 5:13:22 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
