"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Barnstable County, MA","25001","American Indian or Alaska Native","1002-5",15
,"Barnstable County, MA","25001","Asian","A",37
,"Barnstable County, MA","25001","Black or African American","2054-5",120
,"Barnstable County, MA","25001","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Barnstable County, MA","25001","White","2106-3",1375
,"Barnstable County, MA","25001","More than one race","M",54
,"Barnstable County, MA","25001","Unknown or Not Stated","UNK",0
,"Barnstable County, MA","25001","Not Available","NA",0
,"Barnstable County, MA","25001","Not Reported","NR",0
,"Berkshire County, MA","25003","American Indian or Alaska Native","1002-5",Suppressed
,"Berkshire County, MA","25003","Asian","A",17
,"Berkshire County, MA","25003","Black or African American","2054-5",74
,"Berkshire County, MA","25003","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Berkshire County, MA","25003","White","2106-3",912
,"Berkshire County, MA","25003","More than one race","M",21
,"Berkshire County, MA","25003","Unknown or Not Stated","UNK",0
,"Berkshire County, MA","25003","Not Available","NA",0
,"Berkshire County, MA","25003","Not Reported","NR",0
,"Bristol County, MA","25005","American Indian or Alaska Native","1002-5",12
,"Bristol County, MA","25005","Asian","A",225
,"Bristol County, MA","25005","Black or African American","2054-5",580
,"Bristol County, MA","25005","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Bristol County, MA","25005","White","2106-3",4663
,"Bristol County, MA","25005","More than one race","M",147
,"Bristol County, MA","25005","Unknown or Not Stated","UNK",0
,"Bristol County, MA","25005","Not Available","NA",0
,"Bristol County, MA","25005","Not Reported","NR",0
,"Essex County, MA","25009","American Indian or Alaska Native","1002-5",Suppressed
,"Essex County, MA","25009","Asian","A",455
,"Essex County, MA","25009","Black or African American","2054-5",849
,"Essex County, MA","25009","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Essex County, MA","25009","White","2106-3",6921
,"Essex County, MA","25009","More than one race","M",153
,"Essex County, MA","25009","Unknown or Not Stated","UNK",0
,"Essex County, MA","25009","Not Available","NA",0
,"Essex County, MA","25009","Not Reported","NR",0
,"Hampden County, MA","25013","American Indian or Alaska Native","1002-5",Suppressed
,"Hampden County, MA","25013","Asian","A",182
,"Hampden County, MA","25013","Black or African American","2054-5",616
,"Hampden County, MA","25013","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Hampden County, MA","25013","White","2106-3",4010
,"Hampden County, MA","25013","More than one race","M",144
,"Hampden County, MA","25013","Unknown or Not Stated","UNK",0
,"Hampden County, MA","25013","Not Available","NA",0
,"Hampden County, MA","25013","Not Reported","NR",0
,"Hampshire County, MA","25015","American Indian or Alaska Native","1002-5",Suppressed
,"Hampshire County, MA","25015","Asian","A",85
,"Hampshire County, MA","25015","Black or African American","2054-5",35
,"Hampshire County, MA","25015","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Hampshire County, MA","25015","White","2106-3",854
,"Hampshire County, MA","25015","More than one race","M",34
,"Hampshire County, MA","25015","Unknown or Not Stated","UNK",0
,"Hampshire County, MA","25015","Not Available","NA",0
,"Hampshire County, MA","25015","Not Reported","NR",0
,"Middlesex County, MA","25017","American Indian or Alaska Native","1002-5",12
,"Middlesex County, MA","25017","Asian","A",2921
,"Middlesex County, MA","25017","Black or African American","2054-5",1419
,"Middlesex County, MA","25017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Middlesex County, MA","25017","White","2106-3",12439
,"Middlesex County, MA","25017","More than one race","M",398
,"Middlesex County, MA","25017","Unknown or Not Stated","UNK",0
,"Middlesex County, MA","25017","Not Available","NA",0
,"Middlesex County, MA","25017","Not Reported","NR",0
,"Norfolk County, MA","25021","American Indian or Alaska Native","1002-5",Suppressed
,"Norfolk County, MA","25021","Asian","A",1219
,"Norfolk County, MA","25021","Black or African American","2054-5",736
,"Norfolk County, MA","25021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Norfolk County, MA","25021","White","2106-3",5231
,"Norfolk County, MA","25021","More than one race","M",144
,"Norfolk County, MA","25021","Unknown or Not Stated","UNK",0
,"Norfolk County, MA","25021","Not Available","NA",0
,"Norfolk County, MA","25021","Not Reported","NR",0
,"Plymouth County, MA","25023","American Indian or Alaska Native","1002-5",Suppressed
,"Plymouth County, MA","25023","Asian","A",89
,"Plymouth County, MA","25023","Black or African American","2054-5",1037
,"Plymouth County, MA","25023","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Plymouth County, MA","25023","White","2106-3",3873
,"Plymouth County, MA","25023","More than one race","M",124
,"Plymouth County, MA","25023","Unknown or Not Stated","UNK",0
,"Plymouth County, MA","25023","Not Available","NA",0
,"Plymouth County, MA","25023","Not Reported","NR",0
,"Suffolk County, MA","25025","American Indian or Alaska Native","1002-5",10
,"Suffolk County, MA","25025","Asian","A",827
,"Suffolk County, MA","25025","Black or African American","2054-5",2718
,"Suffolk County, MA","25025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Suffolk County, MA","25025","White","2106-3",5635
,"Suffolk County, MA","25025","More than one race","M",190
,"Suffolk County, MA","25025","Unknown or Not Stated","UNK",0
,"Suffolk County, MA","25025","Not Available","NA",0
,"Suffolk County, MA","25025","Not Reported","NR",0
,"Worcester County, MA","25027","American Indian or Alaska Native","1002-5",12
,"Worcester County, MA","25027","Asian","A",606
,"Worcester County, MA","25027","Black or African American","2054-5",855
