"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Adams County, PA","42001","American Indian or Alaska Native","1002-5",0
,"Adams County, PA","42001","Asian","A",10
,"Adams County, PA","42001","Black or African American","2054-5",29
,"Adams County, PA","42001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Adams County, PA","42001","White","2106-3",860
,"Adams County, PA","42001","More than one race","M",22
,"Adams County, PA","42001","Unknown or Not Stated","UNK",0
,"Adams County, PA","42001","Not Available","NA",0
,"Adams County, PA","42001","Not Reported","NR",0
,"Allegheny County, PA","42003","American Indian or Alaska Native","1002-5",10
,"Allegheny County, PA","42003","Asian","A",884
,"Allegheny County, PA","42003","Black or African American","2054-5",2591
,"Allegheny County, PA","42003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Allegheny County, PA","42003","White","2106-3",9369
,"Allegheny County, PA","42003","More than one race","M",306
,"Allegheny County, PA","42003","Unknown or Not Stated","UNK",0
,"Allegheny County, PA","42003","Not Available","NA",0
,"Allegheny County, PA","42003","Not Reported","NR",0
,"Beaver County, PA","42007","American Indian or Alaska Native","1002-5",0
,"Beaver County, PA","42007","Asian","A",11
,"Beaver County, PA","42007","Black or African American","2054-5",134
,"Beaver County, PA","42007","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Beaver County, PA","42007","White","2106-3",1460
,"Beaver County, PA","42007","More than one race","M",71
,"Beaver County, PA","42007","Unknown or Not Stated","UNK",0
,"Beaver County, PA","42007","Not Available","NA",0
,"Beaver County, PA","42007","Not Reported","NR",0
,"Berks County, PA","42011","American Indian or Alaska Native","1002-5",29
,"Berks County, PA","42011","Asian","A",132
,"Berks County, PA","42011","Black or African American","2054-5",454
,"Berks County, PA","42011","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Berks County, PA","42011","White","2106-3",3989
,"Berks County, PA","42011","More than one race","M",171
,"Berks County, PA","42011","Unknown or Not Stated","UNK",0
,"Berks County, PA","42011","Not Available","NA",0
,"Berks County, PA","42011","Not Reported","NR",0
,"Blair County, PA","42013","American Indian or Alaska Native","1002-5",0
,"Blair County, PA","42013","Asian","A",Suppressed
,"Blair County, PA","42013","Black or African American","2054-5",25
,"Blair County, PA","42013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Blair County, PA","42013","White","2106-3",1205
,"Blair County, PA","42013","More than one race","M",34
,"Blair County, PA","42013","Unknown or Not Stated","UNK",0
,"Blair County, PA","42013","Not Available","NA",0
,"Blair County, PA","42013","Not Reported","NR",0
,"Bucks County, PA","42017","American Indian or Alaska Native","1002-5",Suppressed
,"Bucks County, PA","42017","Asian","A",457
,"Bucks County, PA","42017","Black or African American","2054-5",385
,"Bucks County, PA","42017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bucks County, PA","42017","White","2106-3",5007
,"Bucks County, PA","42017","More than one race","M",98
,"Bucks County, PA","42017","Unknown or Not Stated","UNK",0
,"Bucks County, PA","42017","Not Available","NA",0
,"Bucks County, PA","42017","Not Reported","NR",0
,"Butler County, PA","42019","American Indian or Alaska Native","1002-5",0
,"Butler County, PA","42019","Asian","A",53
,"Butler County, PA","42019","Black or African American","2054-5",17
,"Butler County, PA","42019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Butler County, PA","42019","White","2106-3",1744
,"Butler County, PA","42019","More than one race","M",18
,"Butler County, PA","42019","Unknown or Not Stated","UNK",0
,"Butler County, PA","42019","Not Available","NA",0
