"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",48
,"Alabama","01","15-19 years","15-19",4480
,"Alabama","01","20-24 years","20-24",16066
,"Alabama","01","25-29 years","25-29",18649
,"Alabama","01","30-34 years","30-34",13440
,"Alabama","01","35-39 years","35-39",5505
,"Alabama","01","40-44 years","40-44",924
,"Alabama","01","45-49 years","45-49",34
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",583
,"Alaska","02","20-24 years","20-24",2563
,"Alaska","02","25-29 years","25-29",3546
,"Alaska","02","30-34 years","30-34",2965
,"Alaska","02","35-39 years","35-39",1299
,"Alaska","02","40-44 years","40-44",226
,"Alaska","02","45-49 years","45-49",18
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",55
,"Arizona","04","15-19 years","15-19",5357
,"Arizona","04","20-24 years","20-24",19868
,"Arizona","04","25-29 years","25-29",25381
,"Arizona","04","30-34 years","30-34",21410
,"Arizona","04","35-39 years","35-39",10192
,"Arizona","04","40-44 years","40-44",2108
,"Arizona","04","45-49 years","45-49",141
,"Arizona","04","50 years and over","50+",Suppressed
,"Arkansas","05","Under 15 years","15",44
,"Arkansas","05","15-19 years","15-19",3372
,"Arkansas","05","20-24 years","20-24",11149
,"Arkansas","05","25-29 years","25-29",11882
,"Arkansas","05","30-34 years","30-34",7972
,"Arkansas","05","35-39 years","35-39",3258
,"Arkansas","05","40-44 years","40-44",562
,"Arkansas","05","45-49 years","45-49",31
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",195
,"California","06","15-19 years","15-19",21412
,"California","06","20-24 years","20-24",83668
,"California","06","25-29 years","25-29",130052
,"California","06","30-34 years","30-34",146995
,"California","06","35-39 years","35-39",84720
,"California","06","40-44 years","40-44",19849
,"California","06","45-49 years","45-49",1707
,"California","06","50 years and over","50+",229
,"Colorado","08","Under 15 years","15",36
,"Colorado","08","15-19 years","15-19",3068
,"Colorado","08","20-24 years","20-24",11845
,"Colorado","08","25-29 years","25-29",18722
,"Colorado","08","30-34 years","30-34",20399
,"Colorado","08","35-39 years","35-39",10353
,"Colorado","08","40-44 years","40-44",2053
,"Colorado","08","45-49 years","45-49",127
,"Colorado","08","50 years and over","50+",10
,"Connecticut","09","Under 15 years","15",16
,"Connecticut","09","15-19 years","15-19",1136
,"Connecticut","09","20-24 years","20-24",4816
,"Connecticut","09","25-29 years","25-29",9401
,"Connecticut","09","30-34 years","30-34",12424
,"Connecticut","09","35-39 years","35-39",6660
,"Connecticut","09","40-44 years","40-44",1428
,"Connecticut","09","45-49 years","45-49",125
,"Connecticut","09","50 years and over","50+",Suppressed
,"Delaware","10","Under 15 years","15",14
,"Delaware","10","15-19 years","15-19",583
,"Delaware","10","20-24 years","20-24",2103
,"Delaware","10","25-29 years","25-29",3312
,"Delaware","10","30-34 years","30-34",3193
,"Delaware","10","35-39 years","35-39",1483
,"Delaware","10","40-44 years","40-44",273
,"Delaware","10","45-49 years","45-49",30
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",460
,"District of Columbia","11","20-24 years","20-24",1592
,"District of Columbia","11","25-29 years","25-29",2086
,"District of Columbia","11","30-34 years","30-34",3087
,"District of Columbia","11","35-39 years","35-39",2115
,"District of Columbia","11","40-44 years","40-44",455
,"District of Columbia","11","45-49 years","45-49",48
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",116
,"Florida","12","15-19 years","15-19",11195
,"Florida","12","20-24 years","20-24",45883
,"Florida","12","25-29 years","25-29",66326
,"Florida","12","30-34 years","30-34",62411
,"Florida","12","35-39 years","35-39",31412
,"Florida","12","40-44 years","40-44",7148
,"Florida","12","45-49 years","45-49",484
,"Florida","12","50 years and over","50+",47
,"Georgia","13","Under 15 years","15",99
,"Georgia","13","15-19 years","15-19",8248
,"Georgia","13","20-24 years","20-24",30158
,"Georgia","13","25-29 years","25-29",38163
,"Georgia","13","30-34 years","30-34",33386
,"Georgia","13","35-39 years","35-39",16276
,"Georgia","13","40-44 years","40-44",3447
,"Georgia","13","45-49 years","45-49",248
,"Georgia","13","50 years and over","50+",17
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",728
,"Hawaii","15","20-24 years","20-24",3529
,"Hawaii","15","25-29 years","25-29",5106
,"Hawaii","15","30-34 years","30-34",5037
,"Hawaii","15","35-39 years","35-39",2909
,"Hawaii","15","40-44 years","40-44",689
,"Hawaii","15","45-49 years","45-49",48
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",1171
,"Idaho","16","20-24 years","20-24",5574
,"Idaho","16","25-29 years","25-29",7174
,"Idaho","16","30-34 years","30-34",5699
,"Idaho","16","35-39 years","35-39",2333
,"Idaho","16","40-44 years","40-44",491
,"Idaho","16","45-49 years","45-49",33
,"Idaho","16","50 years and over","50+",0
,"Illinois","17","Under 15 years","15",76
,"Illinois","17","15-19 years","15-19",7729
,"Illinois","17","20-24 years","20-24",27928
,"Illinois","17","25-29 years","25-29",42669
,"Illinois","17","30-34 years","30-34",47420
,"Illinois","17","35-39 years","35-39",23547
,"Illinois","17","40-44 years","40-44",4725
,"Illinois","17","45-49 years","45-49",323
,"Illinois","17","50 years and over","50+",28
,"Indiana","18","Under 15 years","15",45
,"Indiana","18","15-19 years","15-19",5255
,"Indiana","18","20-24 years","20-24",20237
,"Indiana","18","25-29 years","25-29",26474
,"Indiana","18","30-34 years","30-34",20733
,"Indiana","18","35-39 years","35-39",8638
,"Indiana","18","40-44 years","40-44",1614
,"Indiana","18","45-49 years","45-49",84
,"Indiana","18","50 years and over","50+",11
,"Iowa","19","Under 15 years","15",10
,"Iowa","19","15-19 years","15-19",1804
,"Iowa","19","20-24 years","20-24",8167
,"Iowa","19","25-29 years","25-29",13323
,"Iowa","19","30-34 years","30-34",11092
,"Iowa","19","35-39 years","35-39",4256
,"Iowa","19","40-44 years","40-44",711
,"Iowa","19","45-49 years","45-49",36
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",22
,"Kansas","20","15-19 years","15-19",2125
,"Kansas","20","20-24 years","20-24",8696
,"Kansas","20","25-29 years","25-29",11816
,"Kansas","20","30-34 years","30-34",10489
,"Kansas","20","35-39 years","35-39",4148
,"Kansas","20","40-44 years","40-44",725
,"Kansas","20","45-49 years","45-49",29
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",42
,"Kentucky","21","15-19 years","15-19",4331
,"Kentucky","21","20-24 years","20-24",14835
,"Kentucky","21","25-29 years","25-29",17169
,"Kentucky","21","30-34 years","30-34",12797
,"Kentucky","21","35-39 years","35-39",5312
,"Kentucky","21","40-44 years","40-44",902
,"Kentucky","21","45-49 years","45-49",57
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",80
,"Louisiana","22","15-19 years","15-19",4545
,"Louisiana","22","20-24 years","20-24",16888
,"Louisiana","22","25-29 years","25-29",19738
,"Louisiana","22","30-34 years","30-34",14788
,"Louisiana","22","35-39 years","35-39",5990
,"Louisiana","22","40-44 years","40-44",1070
,"Louisiana","22","45-49 years","45-49",74
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",574
,"Maine","23","20-24 years","20-24",2516
,"Maine","23","25-29 years","25-29",4024
,"Maine","23","30-34 years","30-34",3630
,"Maine","23","35-39 years","35-39",1629
,"Maine","23","40-44 years","40-44",305
,"Maine","23","45-49 years","45-49",20
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",38
,"Maryland","24","15-19 years","15-19",3017
,"Maryland","24","20-24 years","20-24",11551
,"Maryland","24","25-29 years","25-29",20023
,"Maryland","24","30-34 years","30-34",22939
,"Maryland","24","35-39 years","35-39",12653
,"Maryland","24","40-44 years","40-44",2678
,"Maryland","24","45-49 years","45-49",204
,"Maryland","24","50 years and over","50+",33
,"Massachusetts","25","Under 15 years","15",12
,"Massachusetts","25","15-19 years","15-19",1932
,"Massachusetts","25","20-24 years","20-24",8539
,"Massachusetts","25","25-29 years","25-29",17462
,"Massachusetts","25","30-34 years","30-34",25748
,"Massachusetts","25","35-39 years","35-39",14262
,"Massachusetts","25","40-44 years","40-44",3099
,"Massachusetts","25","45-49 years","45-49",227
,"Massachusetts","25","50 years and over","50+",36
,"Michigan","26","Under 15 years","15",43
,"Michigan","26","15-19 years","15-19",5792
,"Michigan","26","20-24 years","20-24",24352
,"Michigan","26","25-29 years","25-29",35501
,"Michigan","26","30-34 years","30-34",31376
,"Michigan","26","35-39 years","35-39",13535
,"Michigan","26","40-44 years","40-44",2516
,"Michigan","26","45-49 years","45-49",189
,"Michigan","26","50 years and over","50+",11
,"Minnesota","27","Under 15 years","15",15
,"Minnesota","27","15-19 years","15-19",2200
,"Minnesota","27","20-24 years","20-24",10317
,"Minnesota","27","25-29 years","25-29",21317
,"Minnesota","27","30-34 years","30-34",23610
,"Minnesota","27","35-39 years","35-39",10364
,"Minnesota","27","40-44 years","40-44",1771
,"Minnesota","27","45-49 years","45-49",144
,"Minnesota","27","50 years and over","50+",11
,"Mississippi","28","Under 15 years","15",52
,"Mississippi","28","15-19 years","15-19",3326
,"Mississippi","28","20-24 years","20-24",11473
,"Mississippi","28","25-29 years","25-29",11726
,"Mississippi","28","30-34 years","30-34",7663
,"Mississippi","28","35-39 years","35-39",3173
,"Mississippi","28","40-44 years","40-44",491
,"Mississippi","28","45-49 years","45-49",24
,"Mississippi","28","50 years and over","50+",0
,"Missouri","29","Under 15 years","15",35
,"Missouri","29","15-19 years","15-19",4505
,"Missouri","29","20-24 years","20-24",17596
,"Missouri","29","25-29 years","25-29",23381
,"Missouri","29","30-34 years","30-34",19549
,"Missouri","29","35-39 years","35-39",8135
,"Missouri","29","40-44 years","40-44",1422
,"Missouri","29","45-49 years","45-49",78
,"Missouri","29","50 years and over","50+",Suppressed
,"Montana","30","Under 15 years","15",Suppressed
,"Montana","30","15-19 years","15-19",720
,"Montana","30","20-24 years","20-24",2707
,"Montana","30","25-29 years","25-29",3860
,"Montana","30","30-34 years","30-34",3250
,"Montana","30","35-39 years","35-39",1434
,"Montana","30","40-44 years","40-44",285
,"Montana","30","45-49 years","45-49",17
,"Montana","30","50 years and over","50+",Suppressed
,"Nebraska","31","Under 15 years","15",13
,"Nebraska","31","15-19 years","15-19",1213
,"Nebraska","31","20-24 years","20-24",5034
,"Nebraska","31","25-29 years","25-29",8681
,"Nebraska","31","30-34 years","30-34",7838
,"Nebraska","31","35-39 years","35-39",3224
,"Nebraska","31","40-44 years","40-44",553
,"Nebraska","31","45-49 years","45-49",32
,"Nebraska","31","50 years and over","50+",Suppressed
,"Nevada","32","Under 15 years","15",16
,"Nevada","32","15-19 years","15-19",2078
,"Nevada","32","20-24 years","20-24",8053
,"Nevada","32","25-29 years","25-29",10783
,"Nevada","32","30-34 years","30-34",9368
,"Nevada","32","35-39 years","35-39",4802
,"Nevada","32","40-44 years","40-44",1094
,"Nevada","32","45-49 years","45-49",61
,"Nevada","32","50 years and over","50+",Suppressed
,"New Hampshire","33","Under 15 years","15",Suppressed
,"New Hampshire","33","15-19 years","15-19",392
,"New Hampshire","33","20-24 years","20-24",1898
,"New Hampshire","33","25-29 years","25-29",3569
,"New Hampshire","33","30-34 years","30-34",4176
,"New Hampshire","33","35-39 years","35-39",1906
,"New Hampshire","33","40-44 years","40-44",305
,"New Hampshire","33","45-49 years","45-49",16
,"New Hampshire","33","50 years and over","50+",Suppressed
,"New Jersey","34","Under 15 years","15",27
,"New Jersey","34","15-19 years","15-19",3060
,"New Jersey","34","20-24 years","20-24",14124
,"New Jersey","34","25-29 years","25-29",26141
,"New Jersey","34","30-34 years","30-34",34832
,"New Jersey","34","35-39 years","35-39",19769
,"New Jersey","34","40-44 years","40-44",4290
