"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2240
,"Alabama","01","9th through 12th grade with no diploma","2",7093
,"Alabama","01","High school graduate or GED completed","3",18061
,"Alabama","01","Some college credit, but not a degree","4",12969
,"Alabama","01","Associate degree (AA, AS)","5",4687
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",9098
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3884
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",998
,"Alabama","01","Unknown or Not Stated","Unk",121
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",76
,"Alaska","02","9th through 12th grade with no diploma","2",1050
,"Alaska","02","High school graduate or GED completed","3",3346
,"Alaska","02","Some college credit, but not a degree","4",2911
,"Alaska","02","Associate degree (AA, AS)","5",906
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1848
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",719
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",187
,"Alaska","02","Unknown or Not Stated","Unk",166
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",2751
,"Arizona","04","9th through 12th grade with no diploma","2",12352
,"Arizona","04","High school graduate or GED completed","3",21291
,"Arizona","04","Some college credit, but not a degree","4",20085
,"Arizona","04","Associate degree (AA, AS)","5",7173
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",13799
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4984
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1534
,"Arizona","04","Unknown or Not Stated","Unk",551
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",928
,"Arkansas","05","9th through 12th grade with no diploma","2",4724
,"Arkansas","05","High school graduate or GED completed","3",12394
,"Arkansas","05","Some college credit, but not a degree","4",9164
,"Arkansas","05","Associate degree (AA, AS)","5",2807
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5530
