"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Benton County, AR","05007","Under 15 years","15",Suppressed
,"Benton County, AR","05007","15-19 years","15-19",218
,"Benton County, AR","05007","20-24 years","20-24",778
,"Benton County, AR","05007","25-29 years","25-29",1191
,"Benton County, AR","05007","30-34 years","30-34",1017
,"Benton County, AR","05007","35-39 years","35-39",428
,"Benton County, AR","05007","40-44 years","40-44",77
,"Benton County, AR","05007","45-49 years","45-49",Suppressed
,"Benton County, AR","05007","50 years and over","50+",0
,"Faulkner County, AR","05045","Under 15 years","15",0
,"Faulkner County, AR","05045","15-19 years","15-19",84
,"Faulkner County, AR","05045","20-24 years","20-24",369
,"Faulkner County, AR","05045","25-29 years","25-29",571
,"Faulkner County, AR","05045","30-34 years","30-34",368
,"Faulkner County, AR","05045","35-39 years","35-39",120
,"Faulkner County, AR","05045","40-44 years","40-44",31
,"Faulkner County, AR","05045","45-49 years","45-49",Suppressed
,"Faulkner County, AR","05045","50 years and over","50+",0
,"Pulaski County, AR","05119","Under 15 years","15",10
,"Pulaski County, AR","05119","15-19 years","15-19",334
,"Pulaski County, AR","05119","20-24 years","20-24",1233
,"Pulaski County, AR","05119","25-29 years","25-29",1661
,"Pulaski County, AR","05119","30-34 years","30-34",1348
,"Pulaski County, AR","05119","35-39 years","35-39",560
,"Pulaski County, AR","05119","40-44 years","40-44",108
,"Pulaski County, AR","05119","45-49 years","45-49",Suppressed
,"Pulaski County, AR","05119","50 years and over","50+",0
,"Saline County, AR","05125","Under 15 years","15",Suppressed
,"Saline County, AR","05125","15-19 years","15-19",64
,"Saline County, AR","05125","20-24 years","20-24",249
,"Saline County, AR","05125","25-29 years","25-29",444
,"Saline County, AR","05125","30-34 years","30-34",362
,"Saline County, AR","05125","35-39 years","35-39",121
,"Saline County, AR","05125","40-44 years","40-44",34
,"Saline County, AR","05125","45-49 years","45-49",0
,"Saline County, AR","05125","50 years and over","50+",0
,"Sebastian County, AR","05131","Under 15 years","15",Suppressed
,"Sebastian County, AR","05131","15-19 years","15-19",151
,"Sebastian County, AR","05131","20-24 years","20-24",514
,"Sebastian County, AR","05131","25-29 years","25-29",578
,"Sebastian County, AR","05131","30-34 years","30-34",403
,"Sebastian County, AR","05131","35-39 years","35-39",143
,"Sebastian County, AR","05131","40-44 years","40-44",35
,"Sebastian County, AR","05131","45-49 years","45-49",Suppressed
,"Sebastian County, AR","05131","50 years and over","50+",0
,"Washington County, AR","05143","Under 15 years","15",Suppressed
,"Washington County, AR","05143","15-19 years","15-19",252
,"Washington County, AR","05143","20-24 years","20-24",769
,"Washington County, AR","05143","25-29 years","25-29",926
,"Washington County, AR","05143","30-34 years","30-34",818
,"Washington County, AR","05143","35-39 years","35-39",361
,"Washington County, AR","05143","40-44 years","40-44",66
,"Washington County, AR","05143","45-49 years","45-49",Suppressed
,"Washington County, AR","05143","50 years and over","50+",0
,"Unidentified Counties, AR","05999","Under 15 years","15",31
,"Unidentified Counties, AR","05999","15-19 years","15-19",2075
,"Unidentified Counties, AR","05999","20-24 years","20-24",6799
,"Unidentified Counties, AR","05999","25-29 years","25-29",6369
,"Unidentified Counties, AR","05999","30-34 years","30-34",3750
,"Unidentified Counties, AR","05999","35-39 years","35-39",1416
,"Unidentified Counties, AR","05999","40-44 years","40-44",247
,"Unidentified Counties, AR","05999","45-49 years","45-49",13
,"Unidentified Counties, AR","05999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Arkansas (05)"
"Year: 2017"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 8:40:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 8:40:40 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
