"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Anne Arundel County, MD","24003","Under 15 years","15",Suppressed
,"Anne Arundel County, MD","24003","15-19 years","15-19",193
,"Anne Arundel County, MD","24003","20-24 years","20-24",852
,"Anne Arundel County, MD","24003","25-29 years","25-29",1964
,"Anne Arundel County, MD","24003","30-34 years","30-34",2390
,"Anne Arundel County, MD","24003","35-39 years","35-39",1232
,"Anne Arundel County, MD","24003","40-44 years","40-44",252
,"Anne Arundel County, MD","24003","45-49 years","45-49",13
,"Anne Arundel County, MD","24003","50 years and over","50+",0
,"Baltimore County, MD","24005","Under 15 years","15",Suppressed
,"Baltimore County, MD","24005","15-19 years","15-19",291
,"Baltimore County, MD","24005","20-24 years","20-24",1445
,"Baltimore County, MD","24005","25-29 years","25-29",2772
,"Baltimore County, MD","24005","30-34 years","30-34",3286
,"Baltimore County, MD","24005","35-39 years","35-39",1693
,"Baltimore County, MD","24005","40-44 years","40-44",330
,"Baltimore County, MD","24005","45-49 years","45-49",22
,"Baltimore County, MD","24005","50 years and over","50+",Suppressed
,"Carroll County, MD","24013","Under 15 years","15",0
,"Carroll County, MD","24013","15-19 years","15-19",37
,"Carroll County, MD","24013","20-24 years","20-24",177
,"Carroll County, MD","24013","25-29 years","25-29",481
,"Carroll County, MD","24013","30-34 years","30-34",583
,"Carroll County, MD","24013","35-39 years","35-39",255
,"Carroll County, MD","24013","40-44 years","40-44",35
,"Carroll County, MD","24013","45-49 years","45-49",Suppressed
,"Carroll County, MD","24013","50 years and over","50+",Suppressed
,"Cecil County, MD","24015","Under 15 years","15",Suppressed
,"Cecil County, MD","24015","15-19 years","15-19",57
,"Cecil County, MD","24015","20-24 years","20-24",243
,"Cecil County, MD","24015","25-29 years","25-29",391
,"Cecil County, MD","24015","30-34 years","30-34",285
,"Cecil County, MD","24015","35-39 years","35-39",143
,"Cecil County, MD","24015","40-44 years","40-44",24
,"Cecil County, MD","24015","45-49 years","45-49",Suppressed
,"Cecil County, MD","24015","50 years and over","50+",0
,"Charles County, MD","24017","Under 15 years","15",Suppressed
,"Charles County, MD","24017","15-19 years","15-19",72
,"Charles County, MD","24017","20-24 years","20-24",353
,"Charles County, MD","24017","25-29 years","25-29",533
,"Charles County, MD","24017","30-34 years","30-34",508
,"Charles County, MD","24017","35-39 years","35-39",301
,"Charles County, MD","24017","40-44 years","40-44",70
,"Charles County, MD","24017","45-49 years","45-49",Suppressed
,"Charles County, MD","24017","50 years and over","50+",0
,"Frederick County, MD","24021","Under 15 years","15",Suppressed
,"Frederick County, MD","24021","15-19 years","15-19",71
,"Frederick County, MD","24021","20-24 years","20-24",320
,"Frederick County, MD","24021","25-29 years","25-29",769
,"Frederick County, MD","24021","30-34 years","30-34",975
,"Frederick County, MD","24021","35-39 years","35-39",482
,"Frederick County, MD","24021","40-44 years","40-44",96
,"Frederick County, MD","24021","45-49 years","45-49",Suppressed
,"Frederick County, MD","24021","50 years and over","50+",0
,"Harford County, MD","24025","Under 15 years","15",0
,"Harford County, MD","24025","15-19 years","15-19",70
,"Harford County, MD","24025","20-24 years","20-24",384
,"Harford County, MD","24025","25-29 years","25-29",722
,"Harford County, MD","24025","30-34 years","30-34",944
,"Harford County, MD","24025","35-39 years","35-39",427
,"Harford County, MD","24025","40-44 years","40-44",72
,"Harford County, MD","24025","45-49 years","45-49",Suppressed
,"Harford County, MD","24025","50 years and over","50+",0
,"Howard County, MD","24027","Under 15 years","15",0
,"Howard County, MD","24027","15-19 years","15-19",63
,"Howard County, MD","24027","20-24 years","20-24",256
,"Howard County, MD","24027","25-29 years","25-29",770
,"Howard County, MD","24027","30-34 years","30-34",1405
,"Howard County, MD","24027","35-39 years","35-39",840
,"Howard County, MD","24027","40-44 years","40-44",177
,"Howard County, MD","24027","45-49 years","45-49",15
,"Howard County, MD","24027","50 years and over","50+",Suppressed
,"Montgomery County, MD","24031","Under 15 years","15",Suppressed
,"Montgomery County, MD","24031","15-19 years","15-19",304
,"Montgomery County, MD","24031","20-24 years","20-24",1198
,"Montgomery County, MD","24031","25-29 years","25-29",2654
,"Montgomery County, MD","24031","30-34 years","30-34",4506
,"Montgomery County, MD","24031","35-39 years","35-39",3168
,"Montgomery County, MD","24031","40-44 years","40-44",755
,"Montgomery County, MD","24031","45-49 years","45-49",82
,"Montgomery County, MD","24031","50 years and over","50+",Suppressed
,"Prince George's County, MD","24033","Under 15 years","15",Suppressed
,"Prince George's County, MD","24033","15-19 years","15-19",556
,"Prince George's County, MD","24033","20-24 years","20-24",2252
,"Prince George's County, MD","24033","25-29 years","25-29",3369
,"Prince George's County, MD","24033","30-34 years","30-34",3465
,"Prince George's County, MD","24033","35-39 years","35-39",2164
,"Prince George's County, MD","24033","40-44 years","40-44",529
,"Prince George's County, MD","24033","45-49 years","45-49",47
,"Prince George's County, MD","24033","50 years and over","50+",Suppressed
,"St. Mary's County, MD","24037","Under 15 years","15",0
,"St. Mary's County, MD","24037","15-19 years","15-19",35
,"St. Mary's County, MD","24037","20-24 years","20-24",221
,"St. Mary's County, MD","24037","25-29 years","25-29",472
,"St. Mary's County, MD","24037","30-34 years","30-34",401
,"St. Mary's County, MD","24037","35-39 years","35-39",177
,"St. Mary's County, MD","24037","40-44 years","40-44",46
,"St. Mary's County, MD","24037","45-49 years","45-49",0
,"St. Mary's County, MD","24037","50 years and over","50+",0
,"Washington County, MD","24043","Under 15 years","15",Suppressed
,"Washington County, MD","24043","15-19 years","15-19",113
,"Washington County, MD","24043","20-24 years","20-24",388
,"Washington County, MD","24043","25-29 years","25-29",496
,"Washington County, MD","24043","30-34 years","30-34",425
,"Washington County, MD","24043","35-39 years","35-39",168
,"Washington County, MD","24043","40-44 years","40-44",45
,"Washington County, MD","24043","45-49 years","45-49",Suppressed
,"Washington County, MD","24043","50 years and over","50+",0
,"Baltimore city, MD","24510","Under 15 years","15",11
,"Baltimore city, MD","24510","15-19 years","15-19",525
,"Baltimore city, MD","24510","20-24 years","20-24",1779
,"Baltimore city, MD","24510","25-29 years","25-29",2147
,"Baltimore city, MD","24510","30-34 years","30-34",2155
,"Baltimore city, MD","24510","35-39 years","35-39",1102
,"Baltimore city, MD","24510","40-44 years","40-44",211
,"Baltimore city, MD","24510","45-49 years","45-49",11
,"Baltimore city, MD","24510","50 years and over","50+",0
,"Unidentified Counties, MD","24999","Under 15 years","15",Suppressed
,"Unidentified Counties, MD","24999","15-19 years","15-19",280
,"Unidentified Counties, MD","24999","20-24 years","20-24",1154
,"Unidentified Counties, MD","24999","25-29 years","25-29",1721
,"Unidentified Counties, MD","24999","30-34 years","30-34",1492
,"Unidentified Counties, MD","24999","35-39 years","35-39",677
,"Unidentified Counties, MD","24999","40-44 years","40-44",127
,"Unidentified Counties, MD","24999","45-49 years","45-49",Suppressed
,"Unidentified Counties, MD","24999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Maryland (24)"
"Year: 2017"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 8:58:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 8:58:56 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
