"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"DeSoto County, MS","28033","Under 15 years","15",0
,"DeSoto County, MS","28033","15-19 years","15-19",131
,"DeSoto County, MS","28033","20-24 years","20-24",482
,"DeSoto County, MS","28033","25-29 years","25-29",698
,"DeSoto County, MS","28033","30-34 years","30-34",525
,"DeSoto County, MS","28033","35-39 years","35-39",247
,"DeSoto County, MS","28033","40-44 years","40-44",42
,"DeSoto County, MS","28033","45-49 years","45-49",Suppressed
,"DeSoto County, MS","28033","50 years and over","50+",0
,"Harrison County, MS","28047","Under 15 years","15",0
,"Harrison County, MS","28047","15-19 years","15-19",176
,"Harrison County, MS","28047","20-24 years","20-24",706
,"Harrison County, MS","28047","25-29 years","25-29",870
,"Harrison County, MS","28047","30-34 years","30-34",640
,"Harrison County, MS","28047","35-39 years","35-39",233
,"Harrison County, MS","28047","40-44 years","40-44",45
,"Harrison County, MS","28047","45-49 years","45-49",Suppressed
,"Harrison County, MS","28047","50 years and over","50+",0
,"Hinds County, MS","28049","Under 15 years","15",Suppressed
,"Hinds County, MS","28049","15-19 years","15-19",259
,"Hinds County, MS","28049","20-24 years","20-24",938
,"Hinds County, MS","28049","25-29 years","25-29",942
,"Hinds County, MS","28049","30-34 years","30-34",642
,"Hinds County, MS","28049","35-39 years","35-39",288
,"Hinds County, MS","28049","40-44 years","40-44",54
,"Hinds County, MS","28049","45-49 years","45-49",Suppressed
,"Hinds County, MS","28049","50 years and over","50+",0
,"Jackson County, MS","28059","Under 15 years","15",0
,"Jackson County, MS","28059","15-19 years","15-19",118
,"Jackson County, MS","28059","20-24 years","20-24",470
,"Jackson County, MS","28059","25-29 years","25-29",560
,"Jackson County, MS","28059","30-34 years","30-34",338
,"Jackson County, MS","28059","35-39 years","35-39",135
,"Jackson County, MS","28059","40-44 years","40-44",38
,"Jackson County, MS","28059","45-49 years","45-49",Suppressed
,"Jackson County, MS","28059","50 years and over","50+",0
,"Rankin County, MS","28121","Under 15 years","15",Suppressed
,"Rankin County, MS","28121","15-19 years","15-19",84
,"Rankin County, MS","28121","20-24 years","20-24",372
,"Rankin County, MS","28121","25-29 years","25-29",578
,"Rankin County, MS","28121","30-34 years","30-34",475
,"Rankin County, MS","28121","35-39 years","35-39",191
,"Rankin County, MS","28121","40-44 years","40-44",28
,"Rankin County, MS","28121","45-49 years","45-49",Suppressed
,"Rankin County, MS","28121","50 years and over","50+",0
,"Unidentified Counties, MS","28999","Under 15 years","15",35
,"Unidentified Counties, MS","28999","15-19 years","15-19",2369
,"Unidentified Counties, MS","28999","20-24 years","20-24",8110
,"Unidentified Counties, MS","28999","25-29 years","25-29",8165
,"Unidentified Counties, MS","28999","30-34 years","30-34",4960
,"Unidentified Counties, MS","28999","35-39 years","35-39",2030
,"Unidentified Counties, MS","28999","40-44 years","40-44",346
,"Unidentified Counties, MS","28999","45-49 years","45-49",22
,"Unidentified Counties, MS","28999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Mississippi (28)"
"Year: 2017"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 9:03:29 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 9:03:29 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
