"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alameda County, CA","06001","Hispanic or Latino","2135-2",5018
,"Alameda County, CA","06001","Not Hispanic or Latino","2186-5",12992
,"Alameda County, CA","06001","Unknown or Not Stated","9",878
,"Butte County, CA","06007","Hispanic or Latino","2135-2",432
,"Butte County, CA","06007","Not Hispanic or Latino","2186-5",1936
,"Butte County, CA","06007","Unknown or Not Stated","9",18
,"Contra Costa County, CA","06013","Hispanic or Latino","2135-2",4005
,"Contra Costa County, CA","06013","Not Hispanic or Latino","2186-5",7739
,"Contra Costa County, CA","06013","Unknown or Not Stated","9",436
,"El Dorado County, CA","06017","Hispanic or Latino","2135-2",308
,"El Dorado County, CA","06017","Not Hispanic or Latino","2186-5",1237
,"El Dorado County, CA","06017","Unknown or Not Stated","9",25
,"Fresno County, CA","06019","Hispanic or Latino","2135-2",8939
,"Fresno County, CA","06019","Not Hispanic or Latino","2186-5",5373
,"Fresno County, CA","06019","Unknown or Not Stated","9",229
,"Humboldt County, CA","06023","Hispanic or Latino","2135-2",216
,"Humboldt County, CA","06023","Not Hispanic or Latino","2186-5",1095
,"Humboldt County, CA","06023","Unknown or Not Stated","9",61
,"Imperial County, CA","06025","Hispanic or Latino","2135-2",2676
,"Imperial County, CA","06025","Not Hispanic or Latino","2186-5",197
,"Imperial County, CA","06025","Unknown or Not Stated","9",21
,"Kern County, CA","06029","Hispanic or Latino","2135-2",8371
,"Kern County, CA","06029","Not Hispanic or Latino","2186-5",4789
,"Kern County, CA","06029","Unknown or Not Stated","9",166
,"Kings County, CA","06031","Hispanic or Latino","2135-2",1482
,"Kings County, CA","06031","Not Hispanic or Latino","2186-5",873
,"Kings County, CA","06031","Unknown or Not Stated","9",18
,"Los Angeles County, CA","06037","Hispanic or Latino","2135-2",64163
,"Los Angeles County, CA","06037","Not Hispanic or Latino","2186-5",51460
,"Los Angeles County, CA","06037","Unknown or Not Stated","9",1327
,"Madera County, CA","06039","Hispanic or Latino","2135-2",1570
,"Madera County, CA","06039","Not Hispanic or Latino","2186-5",523
,"Madera County, CA","06039","Unknown or Not Stated","9",27
,"Marin County, CA","06041","Hispanic or Latino","2135-2",688
,"Marin County, CA","06041","Not Hispanic or Latino","2186-5",1409
,"Marin County, CA","06041","Unknown or Not Stated","9",140
,"Merced County, CA","06047","Hispanic or Latino","2135-2",2914
,"Merced County, CA","06047","Not Hispanic or Latino","2186-5",1268
,"Merced County, CA","06047","Unknown or Not Stated","9",20
,"Monterey County, CA","06053","Hispanic or Latino","2135-2",4396
,"Monterey County, CA","06053","Not Hispanic or Latino","2186-5",1366
,"Monterey County, CA","06053","Unknown or Not Stated","9",48
,"Napa County, CA","06055","Hispanic or Latino","2135-2",609
,"Napa County, CA","06055","Not Hispanic or Latino","2186-5",644
,"Napa County, CA","06055","Unknown or Not Stated","9",38
,"Orange County, CA","06059","Hispanic or Latino","2135-2",14764
,"Orange County, CA","06059","Not Hispanic or Latino","2186-5",21868
,"Orange County, CA","06059","Unknown or Not Stated","9",737
,"Placer County, CA","06061","Hispanic or Latino","2135-2",684
,"Placer County, CA","06061","Not Hispanic or Latino","2186-5",2967
,"Placer County, CA","06061","Unknown or Not Stated","9",38
,"Riverside County, CA","06065","Hispanic or Latino","2135-2",17292
,"Riverside County, CA","06065","Not Hispanic or Latino","2186-5",11893
,"Riverside County, CA","06065","Unknown or Not Stated","9",672
,"Sacramento County, CA","06067","Hispanic or Latino","2135-2",5192
,"Sacramento County, CA","06067","Not Hispanic or Latino","2186-5",13759
,"Sacramento County, CA","06067","Unknown or Not Stated","9",251
,"San Bernardino County, CA","06071","Hispanic or Latino","2135-2",16909
,"San Bernardino County, CA","06071","Not Hispanic or Latino","2186-5",12412
,"San Bernardino County, CA","06071","Unknown or Not Stated","9",322
,"San Diego County, CA","06073","Hispanic or Latino","2135-2",16778
,"San Diego County, CA","06073","Not Hispanic or Latino","2186-5",21239
,"San Diego County, CA","06073","Unknown or Not Stated","9",3213
,"San Francisco County, CA","06075","Hispanic or Latino","2135-2",1639
,"San Francisco County, CA","06075","Not Hispanic or Latino","2186-5",7093
,"San Francisco County, CA","06075","Unknown or Not Stated","9",215
,"San Joaquin County, CA","06077","Hispanic or Latino","2135-2",4753
,"San Joaquin County, CA","06077","Not Hispanic or Latino","2186-5",4861
,"San Joaquin County, CA","06077","Unknown or Not Stated","9",314
,"San Luis Obispo County, CA","06079","Hispanic or Latino","2135-2",831
,"San Luis Obispo County, CA","06079","Not Hispanic or Latino","2186-5",1580
,"San Luis Obispo County, CA","06079","Unknown or Not Stated","9",139
,"San Mateo County, CA","06081","Hispanic or Latino","2135-2",2323
,"San Mateo County, CA","06081","Not Hispanic or Latino","2186-5",5813
,"San Mateo County, CA","06081","Unknown or Not Stated","9",449
,"Santa Barbara County, CA","06083","Hispanic or Latino","2135-2",3566
,"Santa Barbara County, CA","06083","Not Hispanic or Latino","2186-5",1874
,"Santa Barbara County, CA","06083","Unknown or Not Stated","9",91
,"Santa Clara County, CA","06085","Hispanic or Latino","2135-2",6117
,"Santa Clara County, CA","06085","Not Hispanic or Latino","2186-5",13916
,"Santa Clara County, CA","06085","Unknown or Not Stated","9",2100
,"Santa Cruz County, CA","06087","Hispanic or Latino","2135-2",1422
,"Santa Cruz County, CA","06087","Not Hispanic or Latino","2186-5",1185
,"Santa Cruz County, CA","06087","Unknown or Not Stated","9",51
,"Shasta County, CA","06089","Hispanic or Latino","2135-2",198
,"Shasta County, CA","06089","Not Hispanic or Latino","2186-5",1786
,"Shasta County, CA","06089","Unknown or Not Stated","9",24
,"Solano County, CA","06095","Hispanic or Latino","2135-2",1739
,"Solano County, CA","06095","Not Hispanic or Latino","2186-5",3239
,"Solano County, CA","06095","Unknown or Not Stated","9",153
,"Sonoma County, CA","06097","Hispanic or Latino","2135-2",1677
,"Sonoma County, CA","06097","Not Hispanic or Latino","2186-5",2355
,"Sonoma County, CA","06097","Unknown or Not Stated","9",610
,"Stanislaus County, CA","06099","Hispanic or Latino","2135-2",4025
