"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Atlantic County, NJ","34001","Female","F",1333
,"Atlantic County, NJ","34001","Male","M",1471
,"Bergen County, NJ","34003","Female","F",4499
,"Bergen County, NJ","34003","Male","M",4840
,"Burlington County, NJ","34005","Female","F",2160
,"Burlington County, NJ","34005","Male","M",2264
,"Camden County, NJ","34007","Female","F",2910
,"Camden County, NJ","34007","Male","M",3112
,"Cumberland County, NJ","34011","Female","F",893
,"Cumberland County, NJ","34011","Male","M",946
,"Essex County, NJ","34013","Female","F",5095
,"Essex County, NJ","34013","Male","M",5203
,"Gloucester County, NJ","34015","Female","F",1425
,"Gloucester County, NJ","34015","Male","M",1466
,"Hudson County, NJ","34017","Female","F",4881
,"Hudson County, NJ","34017","Male","M",5284
,"Hunterdon County, NJ","34019","Female","F",458
,"Hunterdon County, NJ","34019","Male","M",494
,"Mercer County, NJ","34021","Female","F",1986
,"Mercer County, NJ","34021","Male","M",2095
,"Middlesex County, NJ","34023","Female","F",4426
,"Middlesex County, NJ","34023","Male","M",4697
,"Monmouth County, NJ","34025","Female","F",2849
,"Monmouth County, NJ","34025","Male","M",2888
,"Morris County, NJ","34027","Female","F",2225
,"Morris County, NJ","34027","Male","M",2411
,"Ocean County, NJ","34029","Female","F",4085
,"Ocean County, NJ","34029","Male","M",4512
,"Passaic County, NJ","34031","Female","F",3309
,"Passaic County, NJ","34031","Male","M",3481
,"Somerset County, NJ","34035","Female","F",1507
,"Somerset County, NJ","34035","Male","M",1561
,"Sussex County, NJ","34037","Female","F",618
,"Sussex County, NJ","34037","Male","M",595
,"Union County, NJ","34039","Female","F",3309
,"Union County, NJ","34039","Male","M",3550
,"Warren County, NJ","34041","Female","F",445
,"Warren County, NJ","34041","Male","M",490
,"Unidentified Counties, NJ","34999","Female","F",757
,"Unidentified Counties, NJ","34999","Male","M",720
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New Jersey (34)"
"Year: 2017"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 10:05:03 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 10:05:03 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
