"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Allegan County, MI","26005","American Indian or Alaska Native","1002-5",Suppressed
,"Allegan County, MI","26005","Asian","A",11
,"Allegan County, MI","26005","Black or African American","2054-5",27
,"Allegan County, MI","26005","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Allegan County, MI","26005","White","2106-3",1242
,"Allegan County, MI","26005","More than one race","M",22
,"Allegan County, MI","26005","Unknown or Not Stated","UNK",0
,"Allegan County, MI","26005","Not Available","NA",0
,"Allegan County, MI","26005","Not Reported","NR",0
,"Bay County, MI","26017","American Indian or Alaska Native","1002-5",Suppressed
,"Bay County, MI","26017","Asian","A",Suppressed
,"Bay County, MI","26017","Black or African American","2054-5",27
,"Bay County, MI","26017","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Bay County, MI","26017","White","2106-3",920
,"Bay County, MI","26017","More than one race","M",50
,"Bay County, MI","26017","Unknown or Not Stated","UNK",0
,"Bay County, MI","26017","Not Available","NA",0
,"Bay County, MI","26017","Not Reported","NR",0
,"Berrien County, MI","26021","American Indian or Alaska Native","1002-5",Suppressed
,"Berrien County, MI","26021","Asian","A",48
,"Berrien County, MI","26021","Black or African American","2054-5",430
,"Berrien County, MI","26021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Berrien County, MI","26021","White","2106-3",1219
,"Berrien County, MI","26021","More than one race","M",34
,"Berrien County, MI","26021","Unknown or Not Stated","UNK",0
,"Berrien County, MI","26021","Not Available","NA",0
,"Berrien County, MI","26021","Not Reported","NR",0
,"Calhoun County, MI","26025","American Indian or Alaska Native","1002-5",Suppressed
,"Calhoun County, MI","26025","Asian","A",84
,"Calhoun County, MI","26025","Black or African American","2054-5",237
,"Calhoun County, MI","26025","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Calhoun County, MI","26025","White","2106-3",1153
,"Calhoun County, MI","26025","More than one race","M",57
,"Calhoun County, MI","26025","Unknown or Not Stated","UNK",0
,"Calhoun County, MI","26025","Not Available","NA",0
,"Calhoun County, MI","26025","Not Reported","NR",0
,"Eaton County, MI","26045","American Indian or Alaska Native","1002-5",Suppressed
,"Eaton County, MI","26045","Asian","A",49
,"Eaton County, MI","26045","Black or African American","2054-5",86
,"Eaton County, MI","26045","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Eaton County, MI","26045","White","2106-3",940
,"Eaton County, MI","26045","More than one race","M",19
,"Eaton County, MI","26045","Unknown or Not Stated","UNK",0
,"Eaton County, MI","26045","Not Available","NA",0
,"Eaton County, MI","26045","Not Reported","NR",0
,"Genesee County, MI","26049","American Indian or Alaska Native","1002-5",Suppressed
,"Genesee County, MI","26049","Asian","A",41
,"Genesee County, MI","26049","Black or African American","2054-5",1422
,"Genesee County, MI","26049","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Genesee County, MI","26049","White","2106-3",3170
,"Genesee County, MI","26049","More than one race","M",97
,"Genesee County, MI","26049","Unknown or Not Stated","UNK",0
,"Genesee County, MI","26049","Not Available","NA",0
,"Genesee County, MI","26049","Not Reported","NR",0
,"Ingham County, MI","26065","American Indian or Alaska Native","1002-5",10
,"Ingham County, MI","26065","Asian","A",268
,"Ingham County, MI","26065","Black or African American","2054-5",654
,"Ingham County, MI","26065","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ingham County, MI","26065","White","2106-3",2216
,"Ingham County, MI","26065","More than one race","M",86
,"Ingham County, MI","26065","Unknown or Not Stated","UNK",0
,"Ingham County, MI","26065","Not Available","NA",0
,"Ingham County, MI","26065","Not Reported","NR",0
,"Jackson County, MI","26075","American Indian or Alaska Native","1002-5",Suppressed
,"Jackson County, MI","26075","Asian","A",21
,"Jackson County, MI","26075","Black or African American","2054-5",191
,"Jackson County, MI","26075","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Jackson County, MI","26075","White","2106-3",1496
,"Jackson County, MI","26075","More than one race","M",63
,"Jackson County, MI","26075","Unknown or Not Stated","UNK",0
,"Jackson County, MI","26075","Not Available","NA",0
,"Jackson County, MI","26075","Not Reported","NR",0
,"Kalamazoo County, MI","26077","American Indian or Alaska Native","1002-5",Suppressed
,"Kalamazoo County, MI","26077","Asian","A",44
,"Kalamazoo County, MI","26077","Black or African American","2054-5",599
,"Kalamazoo County, MI","26077","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Kalamazoo County, MI","26077","White","2106-3",2274
,"Kalamazoo County, MI","26077","More than one race","M",115
,"Kalamazoo County, MI","26077","Unknown or Not Stated","UNK",0
,"Kalamazoo County, MI","26077","Not Available","NA",0
,"Kalamazoo County, MI","26077","Not Reported","NR",0
,"Kent County, MI","26081","American Indian or Alaska Native","1002-5",24
,"Kent County, MI","26081","Asian","A",366
,"Kent County, MI","26081","Black or African American","2054-5",1246
,"Kent County, MI","26081","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Kent County, MI","26081","White","2106-3",6767
,"Kent County, MI","26081","More than one race","M",290
,"Kent County, MI","26081","Unknown or Not Stated","UNK",0
,"Kent County, MI","26081","Not Available","NA",0
,"Kent County, MI","26081","Not Reported","NR",0
,"Livingston County, MI","26093","American Indian or Alaska Native","1002-5",Suppressed
,"Livingston County, MI","26093","Asian","A",20
,"Livingston County, MI","26093","Black or African American","2054-5",Suppressed
,"Livingston County, MI","26093","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Livingston County, MI","26093","White","2106-3",1705
,"Livingston County, MI","26093","More than one race","M",21
,"Livingston County, MI","26093","Unknown or Not Stated","UNK",0
,"Livingston County, MI","26093","Not Available","NA",0
,"Livingston County, MI","26093","Not Reported","NR",0
,"Macomb County, MI","26099","American Indian or Alaska Native","1002-5",14
,"Macomb County, MI","26099","Asian","A",511
,"Macomb County, MI","26099","Black or African American","2054-5",1720
,"Macomb County, MI","26099","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Macomb County, MI","26099","White","2106-3",6775
,"Macomb County, MI","26099","More than one race","M",219
,"Macomb County, MI","26099","Unknown or Not Stated","UNK",0
,"Macomb County, MI","26099","Not Available","NA",0
,"Macomb County, MI","26099","Not Reported","NR",0
,"Monroe County, MI","26115","American Indian or Alaska Native","1002-5",Suppressed
,"Monroe County, MI","26115","Asian","A",10
,"Monroe County, MI","26115","Black or African American","2054-5",58
,"Monroe County, MI","26115","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Monroe County, MI","26115","White","2106-3",1394
,"Monroe County, MI","26115","More than one race","M",19
,"Monroe County, MI","26115","Unknown or Not Stated","UNK",0
,"Monroe County, MI","26115","Not Available","NA",0
,"Monroe County, MI","26115","Not Reported","NR",0
,"Muskegon County, MI","26121","American Indian or Alaska Native","1002-5",Suppressed
,"Muskegon County, MI","26121","Asian","A",16
,"Muskegon County, MI","26121","Black or African American","2054-5",450
,"Muskegon County, MI","26121","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Muskegon County, MI","26121","White","2106-3",1479
,"Muskegon County, MI","26121","More than one race","M",172
,"Muskegon County, MI","26121","Unknown or Not Stated","UNK",0
,"Muskegon County, MI","26121","Not Available","NA",0
,"Muskegon County, MI","26121","Not Reported","NR",0
,"Oakland County, MI","26125","American Indian or Alaska Native","1002-5",15
,"Oakland County, MI","26125","Asian","A",1524
,"Oakland County, MI","26125","Black or African American","2054-5",2158
,"Oakland County, MI","26125","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Oakland County, MI","26125","White","2106-3",9349
,"Oakland County, MI","26125","More than one race","M",183
,"Oakland County, MI","26125","Unknown or Not Stated","UNK",0
,"Oakland County, MI","26125","Not Available","NA",0
,"Oakland County, MI","26125","Not Reported","NR",0
,"Ottawa County, MI","26139","American Indian or Alaska Native","1002-5",Suppressed
,"Ottawa County, MI","26139","Asian","A",101
,"Ottawa County, MI","26139","Black or African American","2054-5",53
,"Ottawa County, MI","26139","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ottawa County, MI","26139","White","2106-3",3025
,"Ottawa County, MI","26139","More than one race","M",78
,"Ottawa County, MI","26139","Unknown or Not Stated","UNK",0
,"Ottawa County, MI","26139","Not Available","NA",0
,"Ottawa County, MI","26139","Not Reported","NR",0
,"Saginaw County, MI","26145","American Indian or Alaska Native","1002-5",0
,"Saginaw County, MI","26145","Asian","A",29
,"Saginaw County, MI","26145","Black or African American","2054-5",594
,"Saginaw County, MI","26145","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Saginaw County, MI","26145","White","2106-3",1442
,"Saginaw County, MI","26145","More than one race","M",177
,"Saginaw County, MI","26145","Unknown or Not Stated","UNK",0
,"Saginaw County, MI","26145","Not Available","NA",0
,"Saginaw County, MI","26145","Not Reported","NR",0
,"St. Clair County, MI","26147","American Indian or Alaska Native","1002-5",Suppressed
,"St. Clair County, MI","26147","Asian","A",Suppressed
,"St. Clair County, MI","26147","Black or African American","2054-5",59
,"St. Clair County, MI","26147","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"St. Clair County, MI","26147","White","2106-3",1364
,"St. Clair County, MI","26147","More than one race","M",26
,"St. Clair County, MI","26147","Unknown or Not Stated","UNK",0
,"St. Clair County, MI","26147","Not Available","NA",0
,"St. Clair County, MI","26147","Not Reported","NR",0
,"Washtenaw County, MI","26161","American Indian or Alaska Native","1002-5",13
,"Washtenaw County, MI","26161","Asian","A",369
,"Washtenaw County, MI","26161","Black or African American","2054-5",580
,"Washtenaw County, MI","26161","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Washtenaw County, MI","26161","White","2106-3",2447
,"Washtenaw County, MI","26161","More than one race","M",124
,"Washtenaw County, MI","26161","Unknown or Not Stated","UNK",0
,"Washtenaw County, MI","26161","Not Available","NA",0
,"Washtenaw County, MI","26161","Not Reported","NR",0
,"Wayne County, MI","26163","American Indian or Alaska Native","1002-5",22
,"Wayne County, MI","26163","Asian","A",879
,"Wayne County, MI","26163","Black or African American","2054-5",10727
,"Wayne County, MI","26163","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Wayne County, MI","26163","White","2106-3",11263
,"Wayne County, MI","26163","More than one race","M",379
