"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"DeSoto County, MS","28033","American Indian or Alaska Native","1002-5",Suppressed
,"DeSoto County, MS","28033","Asian","A",38
,"DeSoto County, MS","28033","Black or African American","2054-5",695
,"DeSoto County, MS","28033","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"DeSoto County, MS","28033","White","2106-3",1377
,"DeSoto County, MS","28033","More than one race","M",15
,"DeSoto County, MS","28033","Unknown or Not Stated","UNK",0
,"DeSoto County, MS","28033","Not Available","NA",0
,"DeSoto County, MS","28033","Not Reported","NR",0
,"Harrison County, MS","28047","American Indian or Alaska Native","1002-5",Suppressed
,"Harrison County, MS","28047","Asian","A",96
,"Harrison County, MS","28047","Black or African American","2054-5",886
,"Harrison County, MS","28047","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Harrison County, MS","28047","White","2106-3",1619
,"Harrison County, MS","28047","More than one race","M",64
,"Harrison County, MS","28047","Unknown or Not Stated","UNK",0
,"Harrison County, MS","28047","Not Available","NA",0
,"Harrison County, MS","28047","Not Reported","NR",0
,"Hinds County, MS","28049","American Indian or Alaska Native","1002-5",Suppressed
,"Hinds County, MS","28049","Asian","A",43
,"Hinds County, MS","28049","Black or African American","2054-5",2452
,"Hinds County, MS","28049","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Hinds County, MS","28049","White","2106-3",622
,"Hinds County, MS","28049","More than one race","M",Suppressed
,"Hinds County, MS","28049","Unknown or Not Stated","UNK",0
,"Hinds County, MS","28049","Not Available","NA",0
,"Hinds County, MS","28049","Not Reported","NR",0
,"Jackson County, MS","28059","American Indian or Alaska Native","1002-5",Suppressed
,"Jackson County, MS","28059","Asian","A",44
,"Jackson County, MS","28059","Black or African American","2054-5",447
,"Jackson County, MS","28059","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Jackson County, MS","28059","White","2106-3",1145
,"Jackson County, MS","28059","More than one race","M",23
,"Jackson County, MS","28059","Unknown or Not Stated","UNK",0
,"Jackson County, MS","28059","Not Available","NA",0
,"Jackson County, MS","28059","Not Reported","NR",0
,"Rankin County, MS","28121","American Indian or Alaska Native","1002-5",Suppressed
,"Rankin County, MS","28121","Asian","A",51
,"Rankin County, MS","28121","Black or African American","2054-5",382
,"Rankin County, MS","28121","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Rankin County, MS","28121","White","2106-3",1289
,"Rankin County, MS","28121","More than one race","M",Suppressed
,"Rankin County, MS","28121","Unknown or Not Stated","UNK",0
,"Rankin County, MS","28121","Not Available","NA",0
,"Rankin County, MS","28121","Not Reported","NR",0
,"Unidentified Counties, MS","28999","American Indian or Alaska Native","1002-5",212
,"Unidentified Counties, MS","28999","Asian","A",266
,"Unidentified Counties, MS","28999","Black or African American","2054-5",11876
,"Unidentified Counties, MS","28999","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Unidentified Counties, MS","28999","White","2106-3",13517
,"Unidentified Counties, MS","28999","More than one race","M",158
,"Unidentified Counties, MS","28999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, MS","28999","Not Available","NA",0
,"Unidentified Counties, MS","28999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Mississippi (28)"
"Year: 2017"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 10:54:52 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 10:54:52 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
