"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Arlington County, VA","51013","American Indian or Alaska Native","1002-5",Suppressed
,"Arlington County, VA","51013","Asian","A",488
,"Arlington County, VA","51013","Black or African American","2054-5",277
,"Arlington County, VA","51013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Arlington County, VA","51013","White","2106-3",2157
,"Arlington County, VA","51013","More than one race","M",62
,"Arlington County, VA","51013","Unknown or Not Stated","UNK",0
,"Arlington County, VA","51013","Not Available","NA",0
,"Arlington County, VA","51013","Not Reported","NR",0
,"Chesterfield County, VA","51041","American Indian or Alaska Native","1002-5",Suppressed
,"Chesterfield County, VA","51041","Asian","A",125
,"Chesterfield County, VA","51041","Black or African American","2054-5",978
,"Chesterfield County, VA","51041","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Chesterfield County, VA","51041","White","2106-3",2685
,"Chesterfield County, VA","51041","More than one race","M",49
,"Chesterfield County, VA","51041","Unknown or Not Stated","UNK",0
,"Chesterfield County, VA","51041","Not Available","NA",0
,"Chesterfield County, VA","51041","Not Reported","NR",0
,"Fairfax County, VA","51059","American Indian or Alaska Native","1002-5",22
,"Fairfax County, VA","51059","Asian","A",3374
,"Fairfax County, VA","51059","Black or African American","2054-5",2106
,"Fairfax County, VA","51059","Native Hawaiian or Other Pacific Islander","NHOPI",25
,"Fairfax County, VA","51059","White","2106-3",8456
,"Fairfax County, VA","51059","More than one race","M",237
,"Fairfax County, VA","51059","Unknown or Not Stated","UNK",0
,"Fairfax County, VA","51059","Not Available","NA",0
,"Fairfax County, VA","51059","Not Reported","NR",0
,"Henrico County, VA","51087","American Indian or Alaska Native","1002-5",Suppressed
,"Henrico County, VA","51087","Asian","A",550
,"Henrico County, VA","51087","Black or African American","2054-5",1074
,"Henrico County, VA","51087","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Henrico County, VA","51087","White","2106-3",2196
,"Henrico County, VA","51087","More than one race","M",62
,"Henrico County, VA","51087","Unknown or Not Stated","UNK",0
,"Henrico County, VA","51087","Not Available","NA",0
,"Henrico County, VA","51087","Not Reported","NR",0
,"Loudoun County, VA","51107","American Indian or Alaska Native","1002-5",Suppressed
,"Loudoun County, VA","51107","Asian","A",1181
,"Loudoun County, VA","51107","Black or African American","2054-5",432
,"Loudoun County, VA","51107","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Loudoun County, VA","51107","White","2106-3",3343
,"Loudoun County, VA","51107","More than one race","M",99
,"Loudoun County, VA","51107","Unknown or Not Stated","UNK",0
,"Loudoun County, VA","51107","Not Available","NA",0
,"Loudoun County, VA","51107","Not Reported","NR",0
,"Prince William County, VA","51153","American Indian or Alaska Native","1002-5",11
,"Prince William County, VA","51153","Asian","A",791
,"Prince William County, VA","51153","Black or African American","2054-5",1679
,"Prince William County, VA","51153","Native Hawaiian or Other Pacific Islander","NHOPI",25
,"Prince William County, VA","51153","White","2106-3",4003
,"Prince William County, VA","51153","More than one race","M",166
,"Prince William County, VA","51153","Unknown or Not Stated","UNK",0
,"Prince William County, VA","51153","Not Available","NA",0
,"Prince William County, VA","51153","Not Reported","NR",0
