"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",21
,"Alabama","01","20 - 27 weeks","02",482
,"Alabama","01","28 - 31 weeks","03",664
,"Alabama","01","32 - 35 weeks","04",3239
,"Alabama","01","36 weeks","05",2684
,"Alabama","01","37 - 39 weeks","06",41033
,"Alabama","01","40 weeks","07",8925
,"Alabama","01","41 weeks","08",1753
,"Alabama","01","42 weeks or more","09",108
,"Alabama","01","Unknown or Not Stated","10",32
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",49
,"Alaska","02","28 - 31 weeks","03",82
,"Alaska","02","32 - 35 weeks","04",434
,"Alaska","02","36 weeks","05",369
,"Alaska","02","37 - 39 weeks","06",6004
,"Alaska","02","40 weeks","07",2375
,"Alaska","02","41 weeks","08",1035
,"Alaska","02","42 weeks or more","09",89
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",25
,"Arizona","04","20 - 27 weeks","02",437
,"Arizona","04","28 - 31 weeks","03",628
,"Arizona","04","32 - 35 weeks","04",3342
,"Arizona","04","36 weeks","05",3146
,"Arizona","04","37 - 39 weeks","06",52693
,"Arizona","04","40 weeks","07",16335
,"Arizona","04","41 weeks","08",4930
,"Arizona","04","42 weeks or more","09",213
,"Arizona","04","Unknown or Not Stated","10",123
,"Arkansas","05","Under 20 weeks","01",17
,"Arkansas","05","20 - 27 weeks","02",270
,"Arkansas","05","28 - 31 weeks","03",386
,"Arkansas","05","32 - 35 weeks","04",1886
,"Arkansas","05","36 weeks","05",1709
,"Arkansas","05","37 - 39 weeks","06",25585
,"Arkansas","05","40 weeks","07",6271
,"Arkansas","05","41 weeks","08",1315
,"Arkansas","05","42 weeks or more","09",65
,"Arkansas","05","Unknown or Not Stated","10",16
,"California","06","Under 20 weeks","01",90
,"California","06","20 - 27 weeks","02",2308
,"California","06","28 - 31 weeks","03",3601
,"California","06","32 - 35 weeks","04",18172
,"California","06","36 weeks","05",16736
,"California","06","37 - 39 weeks","06",287098
,"California","06","40 weeks","07",106574
,"California","06","41 weeks","08",35042
,"California","06","42 weeks or more","09",1716
,"California","06","Unknown or Not Stated","10",321
,"Colorado","08","Under 20 weeks","01",10
,"Colorado","08","20 - 27 weeks","02",328
,"Colorado","08","28 - 31 weeks","03",493
,"Colorado","08","32 - 35 weeks","04",2634
,"Colorado","08","36 weeks","05",2173
,"Colorado","08","37 - 39 weeks","06",38518
,"Colorado","08","40 weeks","07",14584
,"Colorado","08","41 weeks","08",5312
,"Colorado","08","42 weeks or more","09",303
,"Colorado","08","Unknown or Not Stated","10",27
,"Connecticut","09","Under 20 weeks","01",12
,"Connecticut","09","20 - 27 weeks","02",230
,"Connecticut","09","28 - 31 weeks","03",338
,"Connecticut","09","32 - 35 weeks","04",1496
,"Connecticut","09","36 weeks","05",1262
,"Connecticut","09","37 - 39 weeks","06",20975
,"Connecticut","09","40 weeks","07",7727
,"Connecticut","09","41 weeks","08",3083
,"Connecticut","09","42 weeks or more","09",72
,"Connecticut","09","Unknown or Not Stated","10",26
,"Delaware","10","Under 20 weeks","01",Suppressed
,"Delaware","10","20 - 27 weeks","02",74
,"Delaware","10","28 - 31 weeks","03",94
,"Delaware","10","32 - 35 weeks","04",487
,"Delaware","10","36 weeks","05",447
,"Delaware","10","37 - 39 weeks","06",6579
,"Delaware","10","40 weeks","07",2320
,"Delaware","10","41 weeks","08",825
,"Delaware","10","42 weeks or more","09",14
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",Suppressed
