"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Baldwin County, AL","01003","Under 15 years","15",Suppressed
,"Baldwin County, AL","01003","15-19 years","15-19",143
,"Baldwin County, AL","01003","20-24 years","20-24",518
,"Baldwin County, AL","01003","25-29 years","25-29",707
,"Baldwin County, AL","01003","30-34 years","30-34",613
,"Baldwin County, AL","01003","35-39 years","35-39",261
,"Baldwin County, AL","01003","40-44 years","40-44",41
,"Baldwin County, AL","01003","45-49 years","45-49",Suppressed
,"Baldwin County, AL","01003","50 years and over","50+",0
,"Calhoun County, AL","01015","Under 15 years","15",0
,"Calhoun County, AL","01015","15-19 years","15-19",95
,"Calhoun County, AL","01015","20-24 years","20-24",403
,"Calhoun County, AL","01015","25-29 years","25-29",389
,"Calhoun County, AL","01015","30-34 years","30-34",255
,"Calhoun County, AL","01015","35-39 years","35-39",104
,"Calhoun County, AL","01015","40-44 years","40-44",19
,"Calhoun County, AL","01015","45-49 years","45-49",0
,"Calhoun County, AL","01015","50 years and over","50+",0
,"Etowah County, AL","01055","Under 15 years","15",Suppressed
,"Etowah County, AL","01055","15-19 years","15-19",103
,"Etowah County, AL","01055","20-24 years","20-24",391
,"Etowah County, AL","01055","25-29 years","25-29",345
,"Etowah County, AL","01055","30-34 years","30-34",239
,"Etowah County, AL","01055","35-39 years","35-39",94
,"Etowah County, AL","01055","40-44 years","40-44",15
,"Etowah County, AL","01055","45-49 years","45-49",Suppressed
,"Etowah County, AL","01055","50 years and over","50+",0
,"Houston County, AL","01069","Under 15 years","15",Suppressed
,"Houston County, AL","01069","15-19 years","15-19",99
,"Houston County, AL","01069","20-24 years","20-24",391
,"Houston County, AL","01069","25-29 years","25-29",446
,"Houston County, AL","01069","30-34 years","30-34",297
,"Houston County, AL","01069","35-39 years","35-39",105
,"Houston County, AL","01069","40-44 years","40-44",26
,"Houston County, AL","01069","45-49 years","45-49",Suppressed
,"Houston County, AL","01069","50 years and over","50+",Suppressed
,"Jefferson County, AL","01073","Under 15 years","15",Suppressed
,"Jefferson County, AL","01073","15-19 years","15-19",494
,"Jefferson County, AL","01073","20-24 years","20-24",1775
,"Jefferson County, AL","01073","25-29 years","25-29",2517
,"Jefferson County, AL","01073","30-34 years","30-34",2344
,"Jefferson County, AL","01073","35-39 years","35-39",1097
,"Jefferson County, AL","01073","40-44 years","40-44",192
,"Jefferson County, AL","01073","45-49 years","45-49",11
