"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Champaign County, IL","17019","Under 15 years","15",Suppressed
,"Champaign County, IL","17019","15-19 years","15-19",105
,"Champaign County, IL","17019","20-24 years","20-24",405
,"Champaign County, IL","17019","25-29 years","25-29",682
,"Champaign County, IL","17019","30-34 years","30-34",690
,"Champaign County, IL","17019","35-39 years","35-39",315
,"Champaign County, IL","17019","40-44 years","40-44",53
,"Champaign County, IL","17019","45-49 years","45-49",Suppressed
,"Champaign County, IL","17019","50 years and over","50+",0
,"Cook County, IL","17031","Under 15 years","15",29
,"Cook County, IL","17031","15-19 years","15-19",2562
,"Cook County, IL","17031","20-24 years","20-24",9598
,"Cook County, IL","17031","25-29 years","25-29",15007
,"Cook County, IL","17031","30-34 years","30-34",19759
,"Cook County, IL","17031","35-39 years","35-39",12028
,"Cook County, IL","17031","40-44 years","40-44",2625
,"Cook County, IL","17031","45-49 years","45-49",172
,"Cook County, IL","17031","50 years and over","50+",17
,"DeKalb County, IL","17037","Under 15 years","15",Suppressed
,"DeKalb County, IL","17037","15-19 years","15-19",37
,"DeKalb County, IL","17037","20-24 years","20-24",203
,"DeKalb County, IL","17037","25-29 years","25-29",370
,"DeKalb County, IL","17037","30-34 years","30-34",311
,"DeKalb County, IL","17037","35-39 years","35-39",152
,"DeKalb County, IL","17037","40-44 years","40-44",17
,"DeKalb County, IL","17037","45-49 years","45-49",0
,"DeKalb County, IL","17037","50 years and over","50+",Suppressed
,"DuPage County, IL","17043","Under 15 years","15",Suppressed
,"DuPage County, IL","17043","15-19 years","15-19",205
,"DuPage County, IL","17043","20-24 years","20-24",851
,"DuPage County, IL","17043","25-29 years","25-29",2470
,"DuPage County, IL","17043","30-34 years","30-34",4076
,"DuPage County, IL","17043","35-39 years","35-39",2255
,"DuPage County, IL","17043","40-44 years","40-44",400
,"DuPage County, IL","17043","45-49 years","45-49",35
,"DuPage County, IL","17043","50 years and over","50+",Suppressed
,"Kane County, IL","17089","Under 15 years","15",Suppressed
,"Kane County, IL","17089","15-19 years","15-19",293
,"Kane County, IL","17089","20-24 years","20-24",996
,"Kane County, IL","17089","25-29 years","25-29",1682
,"Kane County, IL","17089","30-34 years","30-34",2051
,"Kane County, IL","17089","35-39 years","35-39",1081
,"Kane County, IL","17089","40-44 years","40-44",220
,"Kane County, IL","17089","45-49 years","45-49",10
,"Kane County, IL","17089","50 years and over","50+",Suppressed
,"Kankakee County, IL","17091","Under 15 years","15",0
,"Kankakee County, IL","17091","15-19 years","15-19",62
,"Kankakee County, IL","17091","20-24 years","20-24",274
,"Kankakee County, IL","17091","25-29 years","25-29",450
,"Kankakee County, IL","17091","30-34 years","30-34",291
,"Kankakee County, IL","17091","35-39 years","35-39",137
,"Kankakee County, IL","17091","40-44 years","40-44",22
,"Kankakee County, IL","17091","45-49 years","45-49",Suppressed
,"Kankakee County, IL","17091","50 years and over","50+",0
,"Kendall County, IL","17093","Under 15 years","15",Suppressed
,"Kendall County, IL","17093","15-19 years","15-19",33
,"Kendall County, IL","17093","20-24 years","20-24",152
,"Kendall County, IL","17093","25-29 years","25-29",372
,"Kendall County, IL","17093","30-34 years","30-34",616
,"Kendall County, IL","17093","35-39 years","35-39",289
,"Kendall County, IL","17093","40-44 years","40-44",50
,"Kendall County, IL","17093","45-49 years","45-49",Suppressed
,"Kendall County, IL","17093","50 years and over","50+",0
,"Lake County, IL","17097","Under 15 years","15",Suppressed
,"Lake County, IL","17097","15-19 years","15-19",259
,"Lake County, IL","17097","20-24 years","20-24",1017
,"Lake County, IL","17097","25-29 years","25-29",1738
,"Lake County, IL","17097","30-34 years","30-34",2399
,"Lake County, IL","17097","35-39 years","35-39",1390
,"Lake County, IL","17097","40-44 years","40-44",273
,"Lake County, IL","17097","45-49 years","45-49",18
,"Lake County, IL","17097","50 years and over","50+",0
,"LaSalle County, IL","17099","Under 15 years","15",0
,"LaSalle County, IL","17099","15-19 years","15-19",61
,"LaSalle County, IL","17099","20-24 years","20-24",213
,"LaSalle County, IL","17099","25-29 years","25-29",362
,"LaSalle County, IL","17099","30-34 years","30-34",304
