"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Allen County, OH","39003","Hispanic or Latino","2135-2",43
,"Allen County, OH","39003","Not Hispanic or Latino","2186-5",1203
,"Allen County, OH","39003","Unknown or Not Stated","9",Suppressed
,"Ashtabula County, OH","39007","Hispanic or Latino","2135-2",62
,"Ashtabula County, OH","39007","Not Hispanic or Latino","2186-5",1038
,"Ashtabula County, OH","39007","Unknown or Not Stated","9",Suppressed
,"Butler County, OH","39017","Hispanic or Latino","2135-2",410
,"Butler County, OH","39017","Not Hispanic or Latino","2186-5",4058
,"Butler County, OH","39017","Unknown or Not Stated","9",Suppressed
,"Clark County, OH","39023","Hispanic or Latino","2135-2",92
,"Clark County, OH","39023","Not Hispanic or Latino","2186-5",1460
,"Clark County, OH","39023","Unknown or Not Stated","9",0
,"Clermont County, OH","39025","Hispanic or Latino","2135-2",46
,"Clermont County, OH","39025","Not Hispanic or Latino","2186-5",2263
,"Clermont County, OH","39025","Unknown or Not Stated","9",Suppressed
,"Columbiana County, OH","39029","Hispanic or Latino","2135-2",37
,"Columbiana County, OH","39029","Not Hispanic or Latino","2186-5",941
,"Columbiana County, OH","39029","Unknown or Not Stated","9",Suppressed
,"Cuyahoga County, OH","39035","Hispanic or Latino","2135-2",1028
,"Cuyahoga County, OH","39035","Not Hispanic or Latino","2186-5",12817
,"Cuyahoga County, OH","39035","Unknown or Not Stated","9",25
,"Delaware County, OH","39041","Hispanic or Latino","2135-2",73
,"Delaware County, OH","39041","Not Hispanic or Latino","2186-5",2031
,"Delaware County, OH","39041","Unknown or Not Stated","9",Suppressed
,"Fairfield County, OH","39045","Hispanic or Latino","2135-2",34
,"Fairfield County, OH","39045","Not Hispanic or Latino","2186-5",1633
,"Fairfield County, OH","39045","Unknown or Not Stated","9",Suppressed
,"Franklin County, OH","39049","Hispanic or Latino","2135-2",1513
,"Franklin County, OH","39049","Not Hispanic or Latino","2186-5",16754
,"Franklin County, OH","39049","Unknown or Not Stated","9",71
,"Greene County, OH","39057","Hispanic or Latino","2135-2",39
,"Greene County, OH","39057","Not Hispanic or Latino","2186-5",1681
,"Greene County, OH","39057","Unknown or Not Stated","9",0
,"Hamilton County, OH","39061","Hispanic or Latino","2135-2",773
,"Hamilton County, OH","39061","Not Hispanic or Latino","2186-5",10051
,"Hamilton County, OH","39061","Unknown or Not Stated","9",11
,"Lake County, OH","39085","Hispanic or Latino","2135-2",152
,"Lake County, OH","39085","Not Hispanic or Latino","2186-5",2059
,"Lake County, OH","39085","Unknown or Not Stated","9",Suppressed
,"Licking County, OH","39089","Hispanic or Latino","2135-2",55
,"Licking County, OH","39089","Not Hispanic or Latino","2186-5",1932
,"Licking County, OH","39089","Unknown or Not Stated","9",Suppressed
,"Lorain County, OH","39093","Hispanic or Latino","2135-2",420
,"Lorain County, OH","39093","Not Hispanic or Latino","2186-5",2771
,"Lorain County, OH","39093","Unknown or Not Stated","9",Suppressed
,"Lucas County, OH","39095","Hispanic or Latino","2135-2",510
,"Lucas County, OH","39095","Not Hispanic or Latino","2186-5",4901
,"Lucas County, OH","39095","Unknown or Not Stated","9",Suppressed
,"Mahoning County, OH","39099","Hispanic or Latino","2135-2",179
,"Mahoning County, OH","39099","Not Hispanic or Latino","2186-5",2164
,"Mahoning County, OH","39099","Unknown or Not Stated","9",Suppressed
,"Medina County, OH","39103","Hispanic or Latino","2135-2",50
,"Medina County, OH","39103","Not Hispanic or Latino","2186-5",1625
,"Medina County, OH","39103","Unknown or Not Stated","9",0
,"Miami County, OH","39109","Hispanic or Latino","2135-2",25
,"Miami County, OH","39109","Not Hispanic or Latino","2186-5",1155
,"Miami County, OH","39109","Unknown or Not Stated","9",0
,"Montgomery County, OH","39113","Hispanic or Latino","2135-2",250
,"Montgomery County, OH","39113","Not Hispanic or Latino","2186-5",6227
,"Montgomery County, OH","39113","Unknown or Not Stated","9",Suppressed
,"Portage County, OH","39133","Hispanic or Latino","2135-2",33
,"Portage County, OH","39133","Not Hispanic or Latino","2186-5",1359
,"Portage County, OH","39133","Unknown or Not Stated","9",0
,"Richland County, OH","39139","Hispanic or Latino","2135-2",27
,"Richland County, OH","39139","Not Hispanic or Latino","2186-5",1325
