"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bell County, TX","48027","Female","F",2868
,"Bell County, TX","48027","Male","M",3021
,"Bexar County, TX","48029","Female","F",12954
,"Bexar County, TX","48029","Male","M",13608
,"Brazoria County, TX","48039","Female","F",2301
,"Brazoria County, TX","48039","Male","M",2433
,"Brazos County, TX","48041","Female","F",1251
,"Brazos County, TX","48041","Male","M",1333
,"Cameron County, TX","48061","Female","F",3098
,"Cameron County, TX","48061","Male","M",3208
,"Collin County, TX","48085","Female","F",5419
,"Collin County, TX","48085","Male","M",5728
,"Comal County, TX","48091","Female","F",731
,"Comal County, TX","48091","Male","M",795
,"Dallas County, TX","48113","Female","F",18693
,"Dallas County, TX","48113","Male","M",19489
,"Denton County, TX","48121","Female","F",4769
,"Denton County, TX","48121","Male","M",5088
,"Ector County, TX","48135","Female","F",1454
,"Ector County, TX","48135","Male","M",1546
,"Ellis County, TX","48139","Female","F",1044
,"Ellis County, TX","48139","Male","M",1170
,"El Paso County, TX","48141","Female","F",5769
,"El Paso County, TX","48141","Male","M",5952
,"Fort Bend County, TX","48157","Female","F",4601
,"Fort Bend County, TX","48157","Male","M",4774
,"Galveston County, TX","48167","Female","F",2006
,"Galveston County, TX","48167","Male","M",1951
,"Grayson County, TX","48181","Female","F",808
,"Grayson County, TX","48181","Male","M",854
,"Gregg County, TX","48183","Female","F",830
,"Gregg County, TX","48183","Male","M",814
,"Guadalupe County, TX","48187","Female","F",911
,"Guadalupe County, TX","48187","Male","M",937
,"Harris County, TX","48201","Female","F",33075
,"Harris County, TX","48201","Male","M",34020
,"Hays County, TX","48209","Female","F",1258
,"Hays County, TX","48209","Male","M",1314
,"Hidalgo County, TX","48215","Female","F",7021
,"Hidalgo County, TX","48215","Male","M",7164
,"Jefferson County, TX","48245","Female","F",1679
,"Jefferson County, TX","48245","Male","M",1789
,"Johnson County, TX","48251","Female","F",1048
,"Johnson County, TX","48251","Male","M",1062
,"Kaufman County, TX","48257","Female","F",871
,"Kaufman County, TX","48257","Male","M",915
,"Lubbock County, TX","48303","Female","F",1899
,"Lubbock County, TX","48303","Male","M",1997
,"McLennan County, TX","48309","Female","F",1678
,"McLennan County, TX","48309","Male","M",1782
,"Midland County, TX","48329","Female","F",1494
,"Midland County, TX","48329","Male","M",1517
,"Montgomery County, TX","48339","Female","F",3654
,"Montgomery County, TX","48339","Male","M",3701
,"Nueces County, TX","48355","Female","F",2220
,"Nueces County, TX","48355","Male","M",2349
,"Parker County, TX","48367","Female","F",773
,"Parker County, TX","48367","Male","M",764
,"Potter County, TX","48375","Female","F",785
,"Potter County, TX","48375","Male","M",853
,"Randall County, TX","48381","Female","F",778
,"Randall County, TX","48381","Male","M",867
,"Smith County, TX","48423","Female","F",1435
,"Smith County, TX","48423","Male","M",1487
,"Tarrant County, TX","48439","Female","F",13307
,"Tarrant County, TX","48439","Male","M",13973
,"Taylor County, TX","48441","Female","F",985
,"Taylor County, TX","48441","Male","M",1059
,"Tom Green County, TX","48451","Female","F",718
,"Tom Green County, TX","48451","Male","M",755
,"Travis County, TX","48453","Female","F",7398
,"Travis County, TX","48453","Male","M",7727
,"Webb County, TX","48479","Female","F",2305
,"Webb County, TX","48479","Male","M",2388
,"Wichita County, TX","48485","Female","F",788
,"Wichita County, TX","48485","Male","M",819
,"Williamson County, TX","48491","Female","F",3312
,"Williamson County, TX","48491","Male","M",3338
,"Unidentified Counties, TX","48999","Female","F",27315
,"Unidentified Counties, TX","48999","Male","M",28980
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Texas (48)"
"Year: 2018"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:03:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:03:08 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
