"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Alachua County, FL","12001","American Indian or Alaska Native","1002-5",Suppressed
,"Alachua County, FL","12001","Asian","A",183
,"Alachua County, FL","12001","Black or African American","2054-5",862
,"Alachua County, FL","12001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Alachua County, FL","12001","White","2106-3",1631
,"Alachua County, FL","12001","More than one race","M",53
,"Alachua County, FL","12001","Unknown or Not Stated","UNK",0
,"Alachua County, FL","12001","Not Available","NA",0
,"Alachua County, FL","12001","Not Reported","NR",0
,"Bay County, FL","12005","American Indian or Alaska Native","1002-5",12
,"Bay County, FL","12005","Asian","A",40
,"Bay County, FL","12005","Black or African American","2054-5",337
,"Bay County, FL","12005","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bay County, FL","12005","White","2106-3",1695
,"Bay County, FL","12005","More than one race","M",97
,"Bay County, FL","12005","Unknown or Not Stated","UNK",0
,"Bay County, FL","12005","Not Available","NA",0
,"Bay County, FL","12005","Not Reported","NR",0
,"Brevard County, FL","12009","American Indian or Alaska Native","1002-5",Suppressed
,"Brevard County, FL","12009","Asian","A",148
,"Brevard County, FL","12009","Black or African American","2054-5",834
,"Brevard County, FL","12009","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Brevard County, FL","12009","White","2106-3",4174
,"Brevard County, FL","12009","More than one race","M",140
,"Brevard County, FL","12009","Unknown or Not Stated","UNK",0
,"Brevard County, FL","12009","Not Available","NA",0
,"Brevard County, FL","12009","Not Reported","NR",0
,"Broward County, FL","12011","American Indian or Alaska Native","1002-5",38
,"Broward County, FL","12011","Asian","A",970
,"Broward County, FL","12011","Black or African American","2054-5",8507
,"Broward County, FL","12011","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Broward County, FL","12011","White","2106-3",12144
,"Broward County, FL","12011","More than one race","M",257
,"Broward County, FL","12011","Unknown or Not Stated","UNK",0
,"Broward County, FL","12011","Not Available","NA",0
,"Broward County, FL","12011","Not Reported","NR",0
,"Charlotte County, FL","12015","American Indian or Alaska Native","1002-5",Suppressed
,"Charlotte County, FL","12015","Asian","A",23
,"Charlotte County, FL","12015","Black or African American","2054-5",78
,"Charlotte County, FL","12015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Charlotte County, FL","12015","White","2106-3",913
,"Charlotte County, FL","12015","More than one race","M",23
,"Charlotte County, FL","12015","Unknown or Not Stated","UNK",0
,"Charlotte County, FL","12015","Not Available","NA",0
,"Charlotte County, FL","12015","Not Reported","NR",0
,"Citrus County, FL","12017","American Indian or Alaska Native","1002-5",0
,"Citrus County, FL","12017","Asian","A",30
,"Citrus County, FL","12017","Black or African American","2054-5",38
,"Citrus County, FL","12017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Citrus County, FL","12017","White","2106-3",939
,"Citrus County, FL","12017","More than one race","M",17
,"Citrus County, FL","12017","Unknown or Not Stated","UNK",0
,"Citrus County, FL","12017","Not Available","NA",0
,"Citrus County, FL","12017","Not Reported","NR",0
,"Clay County, FL","12019","American Indian or Alaska Native","1002-5",Suppressed
,"Clay County, FL","12019","Asian","A",68
,"Clay County, FL","12019","Black or African American","2054-5",355
,"Clay County, FL","12019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Clay County, FL","12019","White","2106-3",1710
,"Clay County, FL","12019","More than one race","M",41
,"Clay County, FL","12019","Unknown or Not Stated","UNK",0
,"Clay County, FL","12019","Not Available","NA",0
,"Clay County, FL","12019","Not Reported","NR",0
,"Collier County, FL","12021","American Indian or Alaska Native","1002-5",16
,"Collier County, FL","12021","Asian","A",58
,"Collier County, FL","12021","Black or African American","2054-5",470
,"Collier County, FL","12021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Collier County, FL","12021","White","2106-3",2633
,"Collier County, FL","12021","More than one race","M",20
,"Collier County, FL","12021","Unknown or Not Stated","UNK",0
,"Collier County, FL","12021","Not Available","NA",0
,"Collier County, FL","12021","Not Reported","NR",0
,"Duval County, FL","12031","American Indian or Alaska Native","1002-5",29
,"Duval County, FL","12031","Asian","A",627
,"Duval County, FL","12031","Black or African American","2054-5",4835
,"Duval County, FL","12031","Native Hawaiian or Other Pacific Islander","NHOPI",19
,"Duval County, FL","12031","White","2106-3",7152
,"Duval County, FL","12031","More than one race","M",311
,"Duval County, FL","12031","Unknown or Not Stated","UNK",0
,"Duval County, FL","12031","Not Available","NA",0
,"Duval County, FL","12031","Not Reported","NR",0
,"Escambia County, FL","12033","American Indian or Alaska Native","1002-5",14
,"Escambia County, FL","12033","Asian","A",103
,"Escambia County, FL","12033","Black or African American","2054-5",1132
,"Escambia County, FL","12033","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Escambia County, FL","12033","White","2106-3",2363
,"Escambia County, FL","12033","More than one race","M",111
,"Escambia County, FL","12033","Unknown or Not Stated","UNK",0
,"Escambia County, FL","12033","Not Available","NA",0
,"Escambia County, FL","12033","Not Reported","NR",0
,"Hernando County, FL","12053","American Indian or Alaska Native","1002-5",Suppressed
,"Hernando County, FL","12053","Asian","A",31
,"Hernando County, FL","12053","Black or African American","2054-5",153
,"Hernando County, FL","12053","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hernando County, FL","12053","White","2106-3",1390
,"Hernando County, FL","12053","More than one race","M",36
,"Hernando County, FL","12053","Unknown or Not Stated","UNK",0
,"Hernando County, FL","12053","Not Available","NA",0
,"Hernando County, FL","12053","Not Reported","NR",0
,"Hillsborough County, FL","12057","American Indian or Alaska Native","1002-5",29
,"Hillsborough County, FL","12057","Asian","A",869
,"Hillsborough County, FL","12057","Black or African American","2054-5",3850
,"Hillsborough County, FL","12057","Native Hawaiian or Other Pacific Islander","NHOPI",21
,"Hillsborough County, FL","12057","White","2106-3",12163
,"Hillsborough County, FL","12057","More than one race","M",194
,"Hillsborough County, FL","12057","Unknown or Not Stated","UNK",0
,"Hillsborough County, FL","12057","Not Available","NA",0
,"Hillsborough County, FL","12057","Not Reported","NR",0
,"Indian River County, FL","12061","American Indian or Alaska Native","1002-5",Suppressed
,"Indian River County, FL","12061","Asian","A",34
,"Indian River County, FL","12061","Black or African American","2054-5",253
,"Indian River County, FL","12061","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Indian River County, FL","12061","White","2106-3",982
,"Indian River County, FL","12061","More than one race","M",23
,"Indian River County, FL","12061","Unknown or Not Stated","UNK",0
,"Indian River County, FL","12061","Not Available","NA",0
,"Indian River County, FL","12061","Not Reported","NR",0
,"Lake County, FL","12069","American Indian or Alaska Native","1002-5",Suppressed
,"Lake County, FL","12069","Asian","A",90
,"Lake County, FL","12069","Black or African American","2054-5",603
,"Lake County, FL","12069","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lake County, FL","12069","White","2106-3",2622
,"Lake County, FL","12069","More than one race","M",43
,"Lake County, FL","12069","Unknown or Not Stated","UNK",0
,"Lake County, FL","12069","Not Available","NA",0
,"Lake County, FL","12069","Not Reported","NR",0
,"Lee County, FL","12071","American Indian or Alaska Native","1002-5",12
,"Lee County, FL","12071","Asian","A",121
,"Lee County, FL","12071","Black or African American","2054-5",994
,"Lee County, FL","12071","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Lee County, FL","12071","White","2106-3",5617
,"Lee County, FL","12071","More than one race","M",49
,"Lee County, FL","12071","Unknown or Not Stated","UNK",0
,"Lee County, FL","12071","Not Available","NA",0
,"Lee County, FL","12071","Not Reported","NR",0
,"Leon County, FL","12073","American Indian or Alaska Native","1002-5",Suppressed
,"Leon County, FL","12073","Asian","A",99
,"Leon County, FL","12073","Black or African American","2054-5",1248
,"Leon County, FL","12073","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Leon County, FL","12073","White","2106-3",1521
,"Leon County, FL","12073","More than one race","M",45
,"Leon County, FL","12073","Unknown or Not Stated","UNK",0
,"Leon County, FL","12073","Not Available","NA",0
,"Leon County, FL","12073","Not Reported","NR",0
,"Manatee County, FL","12081","American Indian or Alaska Native","1002-5",Suppressed
,"Manatee County, FL","12081","Asian","A",81
,"Manatee County, FL","12081","Black or African American","2054-5",590
,"Manatee County, FL","12081","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Manatee County, FL","12081","White","2106-3",2741
,"Manatee County, FL","12081","More than one race","M",31
,"Manatee County, FL","12081","Unknown or Not Stated","UNK",0
,"Manatee County, FL","12081","Not Available","NA",0
,"Manatee County, FL","12081","Not Reported","NR",0
,"Marion County, FL","12083","American Indian or Alaska Native","1002-5",Suppressed
,"Marion County, FL","12083","Asian","A",68
,"Marion County, FL","12083","Black or African American","2054-5",761
,"Marion County, FL","12083","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Marion County, FL","12083","White","2106-3",2581
,"Marion County, FL","12083","More than one race","M",59
,"Marion County, FL","12083","Unknown or Not Stated","UNK",0
,"Marion County, FL","12083","Not Available","NA",0
,"Marion County, FL","12083","Not Reported","NR",0
,"Martin County, FL","12085","American Indian or Alaska Native","1002-5",61
,"Martin County, FL","12085","Asian","A",33
,"Martin County, FL","12085","Black or African American","2054-5",115
,"Martin County, FL","12085","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Martin County, FL","12085","White","2106-3",1017
,"Martin County, FL","12085","More than one race","M",22
,"Martin County, FL","12085","Unknown or Not Stated","UNK",0
,"Martin County, FL","12085","Not Available","NA",0
,"Martin County, FL","12085","Not Reported","NR",0
,"Miami-Dade County, FL","12086","American Indian or Alaska Native","1002-5",15
,"Miami-Dade County, FL","12086","Asian","A",463
,"Miami-Dade County, FL","12086","Black or African American","2054-5",6189
,"Miami-Dade County, FL","12086","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Miami-Dade County, FL","12086","White","2106-3",24156
,"Miami-Dade County, FL","12086","More than one race","M",205
,"Miami-Dade County, FL","12086","Unknown or Not Stated","UNK",0
,"Miami-Dade County, FL","12086","Not Available","NA",0
,"Miami-Dade County, FL","12086","Not Reported","NR",0
,"Okaloosa County, FL","12091","American Indian or Alaska Native","1002-5",10
,"Okaloosa County, FL","12091","Asian","A",103
,"Okaloosa County, FL","12091","Black or African American","2054-5",344
,"Okaloosa County, FL","12091","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Okaloosa County, FL","12091","White","2106-3",2146
,"Okaloosa County, FL","12091","More than one race","M",104
,"Okaloosa County, FL","12091","Unknown or Not Stated","UNK",0
,"Okaloosa County, FL","12091","Not Available","NA",0
,"Okaloosa County, FL","12091","Not Reported","NR",0
,"Orange County, FL","12095","American Indian or Alaska Native","1002-5",37
,"Orange County, FL","12095","Asian","A",938
,"Orange County, FL","12095","Black or African American","2054-5",5122
,"Orange County, FL","12095","Native Hawaiian or Other Pacific Islander","NHOPI",21
,"Orange County, FL","12095","White","2106-3",10564
,"Orange County, FL","12095","More than one race","M",237
,"Orange County, FL","12095","Unknown or Not Stated","UNK",0
,"Orange County, FL","12095","Not Available","NA",0
,"Orange County, FL","12095","Not Reported","NR",0
,"Osceola County, FL","12097","American Indian or Alaska Native","1002-5",13
,"Osceola County, FL","12097","Asian","A",153
,"Osceola County, FL","12097","Black or African American","2054-5",725
,"Osceola County, FL","12097","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Osceola County, FL","12097","White","2106-3",3499
,"Osceola County, FL","12097","More than one race","M",44
,"Osceola County, FL","12097","Unknown or Not Stated","UNK",0
,"Osceola County, FL","12097","Not Available","NA",0
,"Osceola County, FL","12097","Not Reported","NR",0
,"Palm Beach County, FL","12099","American Indian or Alaska Native","1002-5",25
,"Palm Beach County, FL","12099","Asian","A",548
,"Palm Beach County, FL","12099","Black or African American","2054-5",4753
,"Palm Beach County, FL","12099","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Palm Beach County, FL","12099","White","2106-3",9615
,"Palm Beach County, FL","12099","More than one race","M",116
,"Palm Beach County, FL","12099","Unknown or Not Stated","UNK",0
,"Palm Beach County, FL","12099","Not Available","NA",0
,"Palm Beach County, FL","12099","Not Reported","NR",0
,"Pasco County, FL","12101","American Indian or Alaska Native","1002-5",Suppressed
,"Pasco County, FL","12101","Asian","A",153
,"Pasco County, FL","12101","Black or African American","2054-5",487
,"Pasco County, FL","12101","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Pasco County, FL","12101","White","2106-3",4355
,"Pasco County, FL","12101","More than one race","M",81
,"Pasco County, FL","12101","Unknown or Not Stated","UNK",0
,"Pasco County, FL","12101","Not Available","NA",0
,"Pasco County, FL","12101","Not Reported","NR",0
,"Pinellas County, FL","12103","American Indian or Alaska Native","1002-5",Suppressed
,"Pinellas County, FL","12103","Asian","A",368
,"Pinellas County, FL","12103","Black or African American","2054-5",1584
,"Pinellas County, FL","12103","Native Hawaiian or Other Pacific Islander","NHOPI",14
,"Pinellas County, FL","12103","White","2106-3",5958
,"Pinellas County, FL","12103","More than one race","M",193
,"Pinellas County, FL","12103","Unknown or Not Stated","UNK",0
,"Pinellas County, FL","12103","Not Available","NA",0
,"Pinellas County, FL","12103","Not Reported","NR",0
,"Polk County, FL","12105","American Indian or Alaska Native","1002-5",17
,"Polk County, FL","12105","Asian","A",157
,"Polk County, FL","12105","Black or African American","2054-5",1758
,"Polk County, FL","12105","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Polk County, FL","12105","White","2106-3",5794
,"Polk County, FL","12105","More than one race","M",115
,"Polk County, FL","12105","Unknown or Not Stated","UNK",0
,"Polk County, FL","12105","Not Available","NA",0
,"Polk County, FL","12105","Not Reported","NR",0
,"St. Johns County, FL","12109","American Indian or Alaska Native","1002-5",Suppressed
,"St. Johns County, FL","12109","Asian","A",103
,"St. Johns County, FL","12109","Black or African American","2054-5",153
,"St. Johns County, FL","12109","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"St. Johns County, FL","12109","White","2106-3",1948
,"St. Johns County, FL","12109","More than one race","M",31
,"St. Johns County, FL","12109","Unknown or Not Stated","UNK",0
,"St. Johns County, FL","12109","Not Available","NA",0
,"St. Johns County, FL","12109","Not Reported","NR",0
,"St. Lucie County, FL","12111","American Indian or Alaska Native","1002-5",Suppressed
,"St. Lucie County, FL","12111","Asian","A",52
,"St. Lucie County, FL","12111","Black or African American","2054-5",941
,"St. Lucie County, FL","12111","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"St. Lucie County, FL","12111","White","2106-3",2078
,"St. Lucie County, FL","12111","More than one race","M",44
,"St. Lucie County, FL","12111","Unknown or Not Stated","UNK",0
,"St. Lucie County, FL","12111","Not Available","NA",0
