"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Albany County, NY","36001","American Indian or Alaska Native","1002-5",Suppressed
,"Albany County, NY","36001","Asian","A",310
,"Albany County, NY","36001","Black or African American","2054-5",581
,"Albany County, NY","36001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Albany County, NY","36001","White","2106-3",1867
,"Albany County, NY","36001","More than one race","M",119
,"Albany County, NY","36001","Unknown or Not Stated","UNK",0
,"Albany County, NY","36001","Not Available","NA",0
,"Albany County, NY","36001","Not Reported","NR",0
,"Bronx County, NY","36005","American Indian or Alaska Native","1002-5",70
,"Bronx County, NY","36005","Asian","A",1141
,"Bronx County, NY","36005","Black or African American","2054-5",8512
,"Bronx County, NY","36005","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Bronx County, NY","36005","White","2106-3",9950
,"Bronx County, NY","36005","More than one race","M",432
,"Bronx County, NY","36005","Unknown or Not Stated","UNK",0
,"Bronx County, NY","36005","Not Available","NA",0
,"Bronx County, NY","36005","Not Reported","NR",0
,"Broome County, NY","36007","American Indian or Alaska Native","1002-5",Suppressed
,"Broome County, NY","36007","Asian","A",72
,"Broome County, NY","36007","Black or African American","2054-5",194
,"Broome County, NY","36007","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Broome County, NY","36007","White","2106-3",1541
,"Broome County, NY","36007","More than one race","M",64
,"Broome County, NY","36007","Unknown or Not Stated","UNK",0
,"Broome County, NY","36007","Not Available","NA",0
,"Broome County, NY","36007","Not Reported","NR",0
,"Chautauqua County, NY","36013","American Indian or Alaska Native","1002-5",12
,"Chautauqua County, NY","36013","Asian","A",11
,"Chautauqua County, NY","36013","Black or African American","2054-5",34
,"Chautauqua County, NY","36013","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Chautauqua County, NY","36013","White","2106-3",1209
,"Chautauqua County, NY","36013","More than one race","M",31
,"Chautauqua County, NY","36013","Unknown or Not Stated","UNK",0
,"Chautauqua County, NY","36013","Not Available","NA",0
,"Chautauqua County, NY","36013","Not Reported","NR",0
,"Dutchess County, NY","36027","American Indian or Alaska Native","1002-5",10
,"Dutchess County, NY","36027","Asian","A",104
,"Dutchess County, NY","36027","Black or African American","2054-5",396
,"Dutchess County, NY","36027","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Dutchess County, NY","36027","White","2106-3",1962
,"Dutchess County, NY","36027","More than one race","M",77
,"Dutchess County, NY","36027","Unknown or Not Stated","UNK",0
,"Dutchess County, NY","36027","Not Available","NA",0
,"Dutchess County, NY","36027","Not Reported","NR",0
,"Erie County, NY","36029","American Indian or Alaska Native","1002-5",78
,"Erie County, NY","36029","Asian","A",631
,"Erie County, NY","36029","Black or African American","2054-5",2068
,"Erie County, NY","36029","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
