"Notes","State of Residence","State of Residence Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Alabama","01","499 grams or less","01",119
,"Alabama","01","500 - 999 grams","02",399
,"Alabama","01","1000 - 1499 grams","03",566
,"Alabama","01","1500 - 1999 grams","04",1225
,"Alabama","01","2000 - 2499 grams","05",3875
,"Alabama","01","2500 - 2999 grams","06",12276
,"Alabama","01","3000 - 3499 grams","07",22165
,"Alabama","01","3500 - 3999 grams","08",13579
,"Alabama","01","4000 - 4499 grams","09",3050
,"Alabama","01","4500 - 4999 grams","10",442
,"Alabama","01","5000 - 8165 grams","11",39
,"Alabama","01","Unknown or Not Stated","12",26
,"Alaska","02","499 grams or less","01",Suppressed
,"Alaska","02","500 - 999 grams","02",29
,"Alaska","02","1000 - 1499 grams","03",63
,"Alaska","02","1500 - 1999 grams","04",130
,"Alaska","02","2000 - 2499 grams","05",362
,"Alaska","02","2500 - 2999 grams","06",1463
,"Alaska","02","3000 - 3499 grams","07",3437
,"Alaska","02","3500 - 3999 grams","08",3270
,"Alaska","02","4000 - 4499 grams","09",1108
,"Alaska","02","4500 - 4999 grams","10",193
,"Alaska","02","5000 - 8165 grams","11",19
,"Alaska","02","Unknown or Not Stated","12",Suppressed
,"Arizona","04","499 grams or less","01",113
,"Arizona","04","500 - 999 grams","02",351
,"Arizona","04","1000 - 1499 grams","03",513
,"Arizona","04","1500 - 1999 grams","04",1263
,"Arizona","04","2000 - 2499 grams","05",3876
,"Arizona","04","2500 - 2999 grams","06",14682
,"Arizona","04","3000 - 3499 grams","07",31905
,"Arizona","04","3500 - 3999 grams","08",21724
,"Arizona","04","4000 - 4499 grams","09",5379
,"Arizona","04","4500 - 4999 grams","10",783
,"Arizona","04","5000 - 8165 grams","11",82
,"Arizona","04","Unknown or Not Stated","12",52
,"Arkansas","05","499 grams or less","01",47
,"Arkansas","05","500 - 999 grams","02",227
,"Arkansas","05","1000 - 1499 grams","03",291
,"Arkansas","05","1500 - 1999 grams","04",693
,"Arkansas","05","2000 - 2499 grams","05",2207
,"Arkansas","05","2500 - 2999 grams","06",7199
,"Arkansas","05","3000 - 3499 grams","07",14388
,"Arkansas","05","3500 - 3999 grams","08",9505
,"Arkansas","05","4000 - 4499 grams","09",2132
,"Arkansas","05","4500 - 4999 grams","10",281
,"Arkansas","05","5000 - 8165 grams","11",28
,"Arkansas","05","Unknown or Not Stated","12",20
,"California","06","499 grams or less","01",451
,"California","06","500 - 999 grams","02",1774
,"California","06","1000 - 1499 grams","03",2814
,"California","06","1500 - 1999 grams","04",6202
,"California","06","2000 - 2499 grams","05",20504
,"California","06","2500 - 2999 grams","06",83204
,"California","06","3000 - 3499 grams","07",179939
,"California","06","3500 - 3999 grams","08",123189
,"California","06","4000 - 4499 grams","09",31703
,"California","06","4500 - 4999 grams","10",4445
,"California","06","5000 - 8165 grams","11",572
,"California","06","Unknown or Not Stated","12",123
,"Colorado","08","499 grams or less","01",79
,"Colorado","08","500 - 999 grams","02",257
,"Colorado","08","1000 - 1499 grams","03",425
,"Colorado","08","1500 - 1999 grams","04",1137
,"Colorado","08","2000 - 2499 grams","05",4008
,"Colorado","08","2500 - 2999 grams","06",13717
,"Colorado","08","3000 - 3499 grams","07",26092
,"Colorado","08","3500 - 3999 grams","08",14118
,"Colorado","08","4000 - 4499 grams","09",2720
,"Colorado","08","4500 - 4999 grams","10",263
,"Colorado","08","5000 - 8165 grams","11",36
,"Colorado","08","Unknown or Not Stated","12",33
,"Connecticut","09","499 grams or less","01",46
,"Connecticut","09","500 - 999 grams","02",152
,"Connecticut","09","1000 - 1499 grams","03",261
,"Connecticut","09","1500 - 1999 grams","04",521
,"Connecticut","09","2000 - 2499 grams","05",1661
,"Connecticut","09","2500 - 2999 grams","06",6109
,"Connecticut","09","3000 - 3499 grams","07",13256
,"Connecticut","09","3500 - 3999 grams","08",9697
,"Connecticut","09","4000 - 4499 grams","09",2618
,"Connecticut","09","4500 - 4999 grams","10",364
,"Connecticut","09","5000 - 8165 grams","11",25
,"Connecticut","09","Unknown or Not Stated","12",15
,"Delaware","10","499 grams or less","01",13
,"Delaware","10","500 - 999 grams","02",66
,"Delaware","10","1000 - 1499 grams","03",82
,"Delaware","10","1500 - 1999 grams","04",207
,"Delaware","10","2000 - 2499 grams","05",580
,"Delaware","10","2500 - 2999 grams","06",1973
,"Delaware","10","3000 - 3499 grams","07",4075
,"Delaware","10","3500 - 3999 grams","08",2779
,"Delaware","10","4000 - 4499 grams","09",727
,"Delaware","10","4500 - 4999 grams","10",102
,"Delaware","10","5000 - 8165 grams","11",10
,"Delaware","10","Unknown or Not Stated","12",Suppressed
,"District of Columbia","11","499 grams or less","01",15
,"District of Columbia","11","500 - 999 grams","02",68
,"District of Columbia","11","1000 - 1499 grams","03",82
,"District of Columbia","11","1500 - 1999 grams","04",195
,"District of Columbia","11","2000 - 2499 grams","05",558
,"District of Columbia","11","2500 - 2999 grams","06",1855
,"District of Columbia","11","3000 - 3499 grams","07",3551
,"District of Columbia","11","3500 - 3999 grams","08",2281
,"District of Columbia","11","4000 - 4499 grams","09",532
,"District of Columbia","11","4500 - 4999 grams","10",63
,"District of Columbia","11","5000 - 8165 grams","11",Suppressed
,"District of Columbia","11","Unknown or Not Stated","12",Suppressed
,"Florida","12","499 grams or less","01",326
,"Florida","12","500 - 999 grams","02",1319
,"Florida","12","1000 - 1499 grams","03",1837
,"Florida","12","1500 - 1999 grams","04",3623
,"Florida","12","2000 - 2499 grams","05",12112
,"Florida","12","2500 - 2999 grams","06",43060
,"Florida","12","3000 - 3499 grams","07",87231
,"Florida","12","3500 - 3999 grams","08",56482
,"Florida","12","4000 - 4499 grams","09",13443
,"Florida","12","4500 - 4999 grams","10",1820
,"Florida","12","5000 - 8165 grams","11",218
,"Florida","12","Unknown or Not Stated","12",71
,"Georgia","13","499 grams or less","01",232
,"Georgia","13","500 - 999 grams","02",883
,"Georgia","13","1000 - 1499 grams","03",1144
,"Georgia","13","1500 - 1999 grams","04",2521
,"Georgia","13","2000 - 2499 grams","05",7953
,"Georgia","13","2500 - 2999 grams","06",26348
,"Georgia","13","3000 - 3499 grams","07",48527
,"Georgia","13","3500 - 3999 grams","08",30402
,"Georgia","13","4000 - 4499 grams","09",7040
,"Georgia","13","4500 - 4999 grams","10",934
,"Georgia","13","5000 - 8165 grams","11",122
,"Georgia","13","Unknown or Not Stated","12",66
,"Hawaii","15","499 grams or less","01",27
,"Hawaii","15","500 - 999 grams","02",91
,"Hawaii","15","1000 - 1499 grams","03",122
,"Hawaii","15","1500 - 1999 grams","04",292
,"Hawaii","15","2000 - 2499 grams","05",884
,"Hawaii","15","2500 - 2999 grams","06",3678
,"Hawaii","15","3000 - 3499 grams","07",6650
,"Hawaii","15","3500 - 3999 grams","08",4094
,"Hawaii","15","4000 - 4499 grams","09",964
,"Hawaii","15","4500 - 4999 grams","10",144
,"Hawaii","15","5000 - 8165 grams","11",20
,"Hawaii","15","Unknown or Not Stated","12",Suppressed
,"Idaho","16","499 grams or less","01",27
,"Idaho","16","500 - 999 grams","02",81
,"Idaho","16","1000 - 1499 grams","03",116
,"Idaho","16","1500 - 1999 grams","04",272
,"Idaho","16","2000 - 2499 grams","05",1057
,"Idaho","16","2500 - 2999 grams","06",3856
,"Idaho","16","3000 - 3499 grams","07",8390
,"Idaho","16","3500 - 3999 grams","08",5911
,"Idaho","16","4000 - 4499 grams","09",1456
,"Idaho","16","4500 - 4999 grams","10",205
,"Idaho","16","5000 - 8165 grams","11",21
,"Idaho","16","Unknown or Not Stated","12",11
,"Illinois","17","499 grams or less","01",261
,"Illinois","17","500 - 999 grams","02",746
,"Illinois","17","1000 - 1499 grams","03",1125
,"Illinois","17","1500 - 1999 grams","04",2361
,"Illinois","17","2000 - 2499 grams","05",7877
,"Illinois","17","2500 - 2999 grams","06",26946
,"Illinois","17","3000 - 3499 grams","07",55383
,"Illinois","17","3500 - 3999 grams","08",38581
,"Illinois","17","4000 - 4499 grams","09",9892
,"Illinois","17","4500 - 4999 grams","10",1386
,"Illinois","17","5000 - 8165 grams","11",166
,"Illinois","17","Unknown or Not Stated","12",91
,"Indiana","18","499 grams or less","01",146
,"Indiana","18","500 - 999 grams","02",420
,"Indiana","18","1000 - 1499 grams","03",545
,"Indiana","18","1500 - 1999 grams","04",1282
,"Indiana","18","2000 - 2499 grams","05",4179
,"Indiana","18","2500 - 2999 grams","06",14445
,"Indiana","18","3000 - 3499 grams","07",31102
,"Indiana","18","3500 - 3999 grams","08",22572
,"Indiana","18","4000 - 4499 grams","09",5965
,"Indiana","18","4500 - 4999 grams","10",835
,"Indiana","18","5000 - 8165 grams","11",104
,"Indiana","18","Unknown or Not Stated","12",51
,"Iowa","19","499 grams or less","01",39
,"Iowa","19","500 - 999 grams","02",159
,"Iowa","19","1000 - 1499 grams","03",227
,"Iowa","19","1500 - 1999 grams","04",516
,"Iowa","19","2000 - 2499 grams","05",1667
,"Iowa","19","2500 - 2999 grams","06",5976
,"Iowa","19","3000 - 3499 grams","07",13970
,"Iowa","19","3500 - 3999 grams","08",11382
,"Iowa","19","4000 - 4499 grams","09",3300
,"Iowa","19","4500 - 4999 grams","10",482
,"Iowa","19","5000 - 8165 grams","11",50
,"Iowa","19","Unknown or Not Stated","12",17
,"Kansas","20","499 grams or less","01",49
,"Kansas","20","500 - 999 grams","02",169
,"Kansas","20","1000 - 1499 grams","03",241
,"Kansas","20","1500 - 1999 grams","04",479
,"Kansas","20","2000 - 2499 grams","05",1738
,"Kansas","20","2500 - 2999 grams","06",6211
,"Kansas","20","3000 - 3499 grams","07",13874
,"Kansas","20","3500 - 3999 grams","08",10412
,"Kansas","20","4000 - 4499 grams","09",2671
,"Kansas","20","4500 - 4999 grams","10",354
,"Kansas","20","5000 - 8165 grams","11",41
,"Kansas","20","Unknown or Not Stated","12",22
,"Kentucky","21","499 grams or less","01",73
,"Kentucky","21","500 - 999 grams","02",265
,"Kentucky","21","1000 - 1499 grams","03",418
,"Kentucky","21","1500 - 1999 grams","04",943
,"Kentucky","21","2000 - 2499 grams","05",3083
,"Kentucky","21","2500 - 2999 grams","06",9969
,"Kentucky","21","3000 - 3499 grams","07",20511
,"Kentucky","21","3500 - 3999 grams","08",14359
,"Kentucky","21","4000 - 4499 grams","09",3723
,"Kentucky","21","4500 - 4999 grams","10",502
,"Kentucky","21","5000 - 8165 grams","11",72
,"Kentucky","21","Unknown or Not Stated","12",Suppressed
,"Louisiana","22","499 grams or less","01",142
,"Louisiana","22","500 - 999 grams","02",407
,"Louisiana","22","1000 - 1499 grams","03",596
,"Louisiana","22","1500 - 1999 grams","04",1261
,"Louisiana","22","2000 - 2499 grams","05",4022
,"Louisiana","22","2500 - 2999 grams","06",13108
,"Louisiana","22","3000 - 3499 grams","07",23501
,"Louisiana","22","3500 - 3999 grams","08",13285
,"Louisiana","22","4000 - 4499 grams","09",2862
,"Louisiana","22","4500 - 4999 grams","10",361
,"Louisiana","22","5000 - 8165 grams","11",46
,"Louisiana","22","Unknown or Not Stated","12",24
,"Maine","23","499 grams or less","01",13
,"Maine","23","500 - 999 grams","02",39
,"Maine","23","1000 - 1499 grams","03",69
,"Maine","23","1500 - 1999 grams","04",165
,"Maine","23","2000 - 2499 grams","05",599
,"Maine","23","2500 - 2999 grams","06",1976
,"Maine","23","3000 - 3499 grams","07",4464
,"Maine","23","3500 - 3999 grams","08",3663
,"Maine","23","4000 - 4499 grams","09",1130
,"Maine","23","4500 - 4999 grams","10",169
,"Maine","23","5000 - 8165 grams","11",16
,"Maine","23","Unknown or Not Stated","12",Suppressed
,"Maryland","24","499 grams or less","01",134
,"Maryland","24","500 - 999 grams","02",434
,"Maryland","24","1000 - 1499 grams","03",607
,"Maryland","24","1500 - 1999 grams","04",1272
,"Maryland","24","2000 - 2499 grams","05",3819
,"Maryland","24","2500 - 2999 grams","06",13220
,"Maryland","24","3000 - 3499 grams","07",26749
,"Maryland","24","3500 - 3999 grams","08",18976
,"Maryland","24","4000 - 4499 grams","09",5055
,"Maryland","24","4500 - 4999 grams","10",701
,"Maryland","24","5000 - 8165 grams","11",71
,"Maryland","24","Unknown or Not Stated","12",42
,"Massachusetts","25","499 grams or less","01",85
,"Massachusetts","25","500 - 999 grams","02",252
,"Massachusetts","25","1000 - 1499 grams","03",485
,"Massachusetts","25","1500 - 1999 grams","04",1038
,"Massachusetts","25","2000 - 2499 grams","05",3377
,"Massachusetts","25","2500 - 2999 grams","06",11953
,"Massachusetts","25","3000 - 3499 grams","07",26428
,"Massachusetts","25","3500 - 3999 grams","08",19296
,"Massachusetts","25","4000 - 4499 grams","09",5222
,"Massachusetts","25","4500 - 4999 grams","10",754
,"Massachusetts","25","5000 - 8165 grams","11",56
,"Massachusetts","25","Unknown or Not Stated","12",163
,"Michigan","26","499 grams or less","01",178
,"Michigan","26","500 - 999 grams","02",519
,"Michigan","26","1000 - 1499 grams","03",788
,"Michigan","26","1500 - 1999 grams","04",1856
,"Michigan","26","2000 - 2499 grams","05",5961
,"Michigan","26","2500 - 2999 grams","06",20156
,"Michigan","26","3000 - 3499 grams","07",41045
,"Michigan","26","3500 - 3999 grams","08",29825
,"Michigan","26","4000 - 4499 grams","09",8239
,"Michigan","26","4500 - 4999 grams","10",1235
,"Michigan","26","5000 - 8165 grams","11",153
,"Michigan","26","Unknown or Not Stated","12",77
,"Minnesota","27","499 grams or less","01",76
,"Minnesota","27","500 - 999 grams","02",303
,"Minnesota","27","1000 - 1499 grams","03",407
,"Minnesota","27","1500 - 1999 grams","04",893
,"Minnesota","27","2000 - 2499 grams","05",2938
,"Minnesota","27","2500 - 2999 grams","06",10388
,"Minnesota","27","3000 - 3499 grams","07",24837
,"Minnesota","27","3500 - 3999 grams","08",20350
,"Minnesota","27","4000 - 4499 grams","09",6046
,"Minnesota","27","4500 - 4999 grams","10",959
,"Minnesota","27","5000 - 8165 grams","11",80
,"Minnesota","27","Unknown or Not Stated","12",67
,"Mississippi","28","499 grams or less","01",73
,"Mississippi","28","500 - 999 grams","02",314
,"Mississippi","28","1000 - 1499 grams","03",407
,"Mississippi","28","1500 - 1999 grams","04",895
,"Mississippi","28","2000 - 2499 grams","05",2795
,"Mississippi","28","2500 - 2999 grams","06",8290
,"Mississippi","28","3000 - 3499 grams","07",14417
,"Mississippi","28","3500 - 3999 grams","08",7825
,"Mississippi","28","4000 - 4499 grams","09",1661
,"Mississippi","28","4500 - 4999 grams","10",252
,"Mississippi","28","5000 - 8165 grams","11",44
,"Mississippi","28","Unknown or Not Stated","12",27
,"Missouri","29","499 grams or less","01",114
,"Missouri","29","500 - 999 grams","02",320
,"Missouri","29","1000 - 1499 grams","03",557
,"Missouri","29","1500 - 1999 grams","04",1304
,"Missouri","29","2000 - 2499 grams","05",4094
,"Missouri","29","2500 - 2999 grams","06",13416
,"Missouri","29","3000 - 3499 grams","07",27721
,"Missouri","29","3500 - 3999 grams","08",19715
,"Missouri","29","4000 - 4499 grams","09",5137
,"Missouri","29","4500 - 4999 grams","10",761
,"Missouri","29","5000 - 8165 grams","11",72
,"Missouri","29","Unknown or Not Stated","12",58
,"Montana","30","499 grams or less","01",Suppressed
,"Montana","30","500 - 999 grams","02",34
,"Montana","30","1000 - 1499 grams","03",65
,"Montana","30","1500 - 1999 grams","04",163
,"Montana","30","2000 - 2499 grams","05",584
,"Montana","30","2500 - 2999 grams","06",2110
,"Montana","30","3000 - 3499 grams","07",4492
,"Montana","30","3500 - 3999 grams","08",3163
,"Montana","30","4000 - 4499 grams","09",774
,"Montana","30","4500 - 4999 grams","10",101
,"Montana","30","5000 - 8165 grams","11",10
,"Montana","30","Unknown or Not Stated","12",Suppressed
,"Nebraska","31","499 grams or less","01",43
,"Nebraska","31","500 - 999 grams","02",73
,"Nebraska","31","1000 - 1499 grams","03",171
,"Nebraska","31","1500 - 1999 grams","04",382
,"Nebraska","31","2000 - 2499 grams","05",1258
,"Nebraska","31","2500 - 2999 grams","06",4148
,"Nebraska","31","3000 - 3499 grams","07",9774
,"Nebraska","31","3500 - 3999 grams","08",7297
,"Nebraska","31","4000 - 4499 grams","09",2035
,"Nebraska","31","4500 - 4999 grams","10",258
,"Nebraska","31","5000 - 8165 grams","11",39
,"Nebraska","31","Unknown or Not Stated","12",10
,"Nevada","32","499 grams or less","01",35
,"Nevada","32","500 - 999 grams","02",175
,"Nevada","32","1000 - 1499 grams","03",249
,"Nevada","32","1500 - 1999 grams","04",580
,"Nevada","32","2000 - 2499 grams","05",2058
,"Nevada","32","2500 - 2999 grams","06",7209
,"Nevada","32","3000 - 3499 grams","07",14555
,"Nevada","32","3500 - 3999 grams","08",8735
,"Nevada","32","4000 - 4499 grams","09",1815
,"Nevada","32","4500 - 4999 grams","10",224
,"Nevada","32","5000 - 8165 grams","11",33
,"Nevada","32","Unknown or Not Stated","12",14
,"New Hampshire","33","499 grams or less","01",15
,"New Hampshire","33","500 - 999 grams","02",46
,"New Hampshire","33","1000 - 1499 grams","03",70
,"New Hampshire","33","1500 - 1999 grams","04",162
,"New Hampshire","33","2000 - 2499 grams","05",519
,"New Hampshire","33","2500 - 2999 grams","06",1885
,"New Hampshire","33","3000 - 3499 grams","07",4378
,"New Hampshire","33","3500 - 3999 grams","08",3619
,"New Hampshire","33","4000 - 4499 grams","09",1128
