"Notes","State of Residence","State of Residence Code","Tobacco Use","Tobacco Use Code",Births
,"Alabama","01","Yes","1",5039
,"Alabama","01","No","2",52551
,"Alabama","01","Unknown or Not Stated","9",171
,"Alaska","02","Yes","1",997
,"Alaska","02","No","2",8870
,"Alaska","02","Unknown or Not Stated","9",219
,"Arizona","04","Yes","1",3702
,"Arizona","04","No","2",76824
,"Arizona","04","Unknown or Not Stated","9",197
,"Arkansas","05","Yes","1",4959
,"Arkansas","05","No","2",31676
,"Arkansas","05","Unknown or Not Stated","9",383
,"California","06","Yes","1",6025
,"California","06","No","2",446224
,"California","06","Unknown or Not Stated","9",2671
,"Colorado","08","Yes","1",3683
,"Colorado","08","No","2",58931
,"Colorado","08","Unknown or Not Stated","9",271
,"Connecticut","09","Yes","1",1394
,"Connecticut","09","No","2",33300
,"Connecticut","09","Unknown or Not Stated","9",31
,"Delaware","10","Yes","1",918
,"Delaware","10","No","2",9683
,"Delaware","10","Unknown or Not Stated","9",20
,"District of Columbia","11","Yes","1",237
,"District of Columbia","11","No","2",8931
,"District of Columbia","11","Unknown or Not Stated","9",44
,"Florida","12","Yes","1",9836
,"Florida","12","No","2",210702
,"Florida","12","Unknown or Not Stated","9",1004
,"Georgia","13","Yes","1",5506
,"Georgia","13","No","2",120362
,"Georgia","13","Unknown or Not Stated","9",304
,"Hawaii","15","Yes","1",492
,"Hawaii","15","No","2",16141
,"Hawaii","15","Unknown or Not Stated","9",339
,"Idaho","16","Yes","1",1713
,"Idaho","16","No","2",19648
,"Idaho","16","Unknown or Not Stated","9",42
,"Illinois","17","Yes","1",8623
,"Illinois","17","No","2",135883
,"Illinois","17","Unknown or Not Stated","9",309
,"Indiana","18","Yes","1",10312
,"Indiana","18","No","2",71278
,"Indiana","18","Unknown or Not Stated","9",56
,"Iowa","19","Yes","1",4388
,"Iowa","19","No","2",33363
,"Iowa","19","Unknown or Not Stated","9",34
,"Kansas","20","Yes","1",3440
,"Kansas","20","No","2",32715
,"Kansas","20","Unknown or Not Stated","9",106
,"Kentucky","21","Yes","1",9132
,"Kentucky","21","No","2",44334
,"Kentucky","21","Unknown or Not Stated","9",456
,"Louisiana","22","Yes","1",3686
,"Louisiana","22","No","2",55318
,"Louisiana","22","Unknown or Not Stated","9",611
,"Maine","23","Yes","1",1460
,"Maine","23","No","2",10848
,"Maine","23","Unknown or Not Stated","9",Suppressed
,"Maryland","24","Yes","1",3719
,"Maryland","24","No","2",66880
,"Maryland","24","Unknown or Not Stated","9",481
,"Massachusetts","25","Yes","1",2950
,"Massachusetts","25","No","2",66128
,"Massachusetts","25","Unknown or Not Stated","9",31
,"Michigan","26","Yes","1",11523
,"Michigan","26","No","2",97390
,"Michigan","26","Unknown or Not Stated","9",1119
,"Minnesota","27","Yes","1",5013
,"Minnesota","27","No","2",62228
,"Minnesota","27","Unknown or Not Stated","9",103
,"Mississippi","28","Yes","1",3271
,"Mississippi","28","No","2",33671
,"Mississippi","28","Unknown or Not Stated","9",58
,"Missouri","29","Yes","1",9985
,"Missouri","29","No","2",62720
,"Missouri","29","Unknown or Not Stated","9",564
,"Montana","30","Yes","1",1636
,"Montana","30","No","2",9843
,"Montana","30","Unknown or Not Stated","9",34
,"Nebraska","31","Yes","1",2203
,"Nebraska","31","No","2",23256
,"Nebraska","31","Unknown or Not Stated","9",29
,"Nevada","32","Yes","1",1492
,"Nevada","32","No","2",33908
,"Nevada","32","Unknown or Not Stated","9",282
,"New Hampshire","33","Yes","1",1201
,"New Hampshire","33","No","2",10745
,"New Hampshire","33","Unknown or Not Stated","9",49
,"New Jersey","34","Yes","1",3235
,"New Jersey","34","No","2",97550
,"New Jersey","34","Unknown or Not Stated","9",438
,"New Mexico","35","Yes","1",1321
,"New Mexico","35","No","2",21626
,"New Mexico","35","Unknown or Not Stated","9",92
,"New York","36","Yes","1",9750
,"New York","36","No","2",216246
,"New York","36","Unknown or Not Stated","9",242
,"North Carolina","37","Yes","1",9936
,"North Carolina","37","No","2",108984
,"North Carolina","37","Unknown or Not Stated","9",34
,"North Dakota","38","Yes","1",1203
,"North Dakota","38","No","2",9358
,"North Dakota","38","Unknown or Not Stated","9",75
,"Ohio","39","Yes","1",17760
,"Ohio","39","No","2",117219
,"Ohio","39","Unknown or Not Stated","9",155
,"Oklahoma","40","Yes","1",5290
,"Oklahoma","40","No","2",44458
,"Oklahoma","40","Unknown or Not Stated","9",52
,"Oregon","41","Yes","1",3523
,"Oregon","41","No","2",38518
,"Oregon","41","Unknown or Not Stated","9",147
,"Pennsylvania","42","Yes","1",13874
,"Pennsylvania","42","No","2",119816
,"Pennsylvania","42","Unknown or Not Stated","9",1983
,"Rhode Island","44","Yes","1",567
,"Rhode Island","44","No","2",9779
,"Rhode Island","44","Unknown or Not Stated","9",160
,"South Carolina","45","Yes","1",4649
,"South Carolina","45","No","2",51935
,"South Carolina","45","Unknown or Not Stated","9",85
,"South Dakota","46","Yes","1",1396
,"South Dakota","46","No","2",10462
,"South Dakota","46","Unknown or Not Stated","9",35
,"Tennessee","47","Yes","1",9797
,"Tennessee","47","No","2",70380
,"Tennessee","47","Unknown or Not Stated","9",574
,"Texas","48","Yes","1",10239
,"Texas","48","No","2",368310
,"Texas","48","Unknown or Not Stated","9",75
,"Utah","49","Yes","1",1311
,"Utah","49","No","2",45652
,"Utah","49","Unknown or Not Stated","9",246
,"Vermont","50","Yes","1",758
,"Vermont","50","No","2",4590
,"Vermont","50","Unknown or Not Stated","9",84
,"Virginia","51","Yes","1",5453
,"Virginia","51","No","2",93926
,"Virginia","51","Unknown or Not Stated","9",464
,"Washington","53","Yes","1",5091
,"Washington","53","No","2",79649
,"Washington","53","Unknown or Not Stated","9",1345
,"West Virginia","54","Yes","1",4337
,"West Virginia","54","No","2",13801
,"West Virginia","54","Unknown or Not Stated","9",110
,"Wisconsin","55","Yes","1",6406
,"Wisconsin","55","No","2",57254
,"Wisconsin","55","Unknown or Not Stated","9",438
,"Wyoming","56","Yes","1",859
,"Wyoming","56","No","2",5545
,"Wyoming","56","Unknown or Not Stated","9",158
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2018"
"Group By: State of Residence; Tobacco Use"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:39:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:39:23 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
