"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bartow County, GA","13015","Under 15 years","15",0
,"Bartow County, GA","13015","15-19 years","15-19",87
,"Bartow County, GA","13015","20-24 years","20-24",346
,"Bartow County, GA","13015","25-29 years","25-29",417
,"Bartow County, GA","13015","30-34 years","30-34",294
,"Bartow County, GA","13015","35-39 years","35-39",123
,"Bartow County, GA","13015","40-44 years","40-44",31
,"Bartow County, GA","13015","45-49 years","45-49",Suppressed
,"Bartow County, GA","13015","50 years and over","50+",0
,"Bibb County, GA","13021","Under 15 years","15",Suppressed
,"Bibb County, GA","13021","15-19 years","15-19",174
,"Bibb County, GA","13021","20-24 years","20-24",611
,"Bibb County, GA","13021","25-29 years","25-29",650
,"Bibb County, GA","13021","30-34 years","30-34",456
,"Bibb County, GA","13021","35-39 years","35-39",182
,"Bibb County, GA","13021","40-44 years","40-44",43
,"Bibb County, GA","13021","45-49 years","45-49",Suppressed
,"Bibb County, GA","13021","50 years and over","50+",0
,"Carroll County, GA","13045","Under 15 years","15",Suppressed
,"Carroll County, GA","13045","15-19 years","15-19",93
,"Carroll County, GA","13045","20-24 years","20-24",468
,"Carroll County, GA","13045","25-29 years","25-29",558
,"Carroll County, GA","13045","30-34 years","30-34",343
,"Carroll County, GA","13045","35-39 years","35-39",135
,"Carroll County, GA","13045","40-44 years","40-44",19
,"Carroll County, GA","13045","45-49 years","45-49",0
,"Carroll County, GA","13045","50 years and over","50+",Suppressed
,"Chatham County, GA","13051","Under 15 years","15",Suppressed
,"Chatham County, GA","13051","15-19 years","15-19",172
,"Chatham County, GA","13051","20-24 years","20-24",810
,"Chatham County, GA","13051","25-29 years","25-29",1135
,"Chatham County, GA","13051","30-34 years","30-34",1004
,"Chatham County, GA","13051","35-39 years","35-39",464
,"Chatham County, GA","13051","40-44 years","40-44",84
,"Chatham County, GA","13051","45-49 years","45-49",Suppressed
,"Chatham County, GA","13051","50 years and over","50+",0
,"Cherokee County, GA","13057","Under 15 years","15",Suppressed
,"Cherokee County, GA","13057","15-19 years","15-19",79
,"Cherokee County, GA","13057","20-24 years","20-24",373
,"Cherokee County, GA","13057","25-29 years","25-29",781
,"Cherokee County, GA","13057","30-34 years","30-34",817
,"Cherokee County, GA","13057","35-39 years","35-39",480
,"Cherokee County, GA","13057","40-44 years","40-44",82
,"Cherokee County, GA","13057","45-49 years","45-49",Suppressed
,"Cherokee County, GA","13057","50 years and over","50+",0
,"Clarke County, GA","13059","Under 15 years","15",Suppressed
,"Clarke County, GA","13059","15-19 years","15-19",59
,"Clarke County, GA","13059","20-24 years","20-24",280
,"Clarke County, GA","13059","25-29 years","25-29",384
,"Clarke County, GA","13059","30-34 years","30-34",351
,"Clarke County, GA","13059","35-39 years","35-39",190
,"Clarke County, GA","13059","40-44 years","40-44",31
,"Clarke County, GA","13059","45-49 years","45-49",Suppressed
,"Clarke County, GA","13059","50 years and over","50+",Suppressed
,"Clayton County, GA","13063","Under 15 years","15",Suppressed
,"Clayton County, GA","13063","15-19 years","15-19",282
,"Clayton County, GA","13063","20-24 years","20-24",894
,"Clayton County, GA","13063","25-29 years","25-29",1232
,"Clayton County, GA","13063","30-34 years","30-34",820
,"Clayton County, GA","13063","35-39 years","35-39",459
,"Clayton County, GA","13063","40-44 years","40-44",117
,"Clayton County, GA","13063","45-49 years","45-49",Suppressed
,"Clayton County, GA","13063","50 years and over","50+",0
,"Cobb County, GA","13067","Under 15 years","15",Suppressed
,"Cobb County, GA","13067","15-19 years","15-19",243
,"Cobb County, GA","13067","20-24 years","20-24",1218
,"Cobb County, GA","13067","25-29 years","25-29",2336
,"Cobb County, GA","13067","30-34 years","30-34",2945
,"Cobb County, GA","13067","35-39 years","35-39",1693
,"Cobb County, GA","13067","40-44 years","40-44",399
,"Cobb County, GA","13067","45-49 years","45-49",29
,"Cobb County, GA","13067","50 years and over","50+",Suppressed
,"Columbia County, GA","13073","Under 15 years","15",0
,"Columbia County, GA","13073","15-19 years","15-19",38
,"Columbia County, GA","13073","20-24 years","20-24",257
,"Columbia County, GA","13073","25-29 years","25-29",517
,"Columbia County, GA","13073","30-34 years","30-34",538
,"Columbia County, GA","13073","35-39 years","35-39",264
,"Columbia County, GA","13073","40-44 years","40-44",40
,"Columbia County, GA","13073","45-49 years","45-49",Suppressed
,"Columbia County, GA","13073","50 years and over","50+",Suppressed
,"Coweta County, GA","13077","Under 15 years","15",0
,"Coweta County, GA","13077","15-19 years","15-19",75
,"Coweta County, GA","13077","20-24 years","20-24",319
,"Coweta County, GA","13077","25-29 years","25-29",547
,"Coweta County, GA","13077","30-34 years","30-34",476
,"Coweta County, GA","13077","35-39 years","35-39",203
,"Coweta County, GA","13077","40-44 years","40-44",42
,"Coweta County, GA","13077","45-49 years","45-49",Suppressed
,"Coweta County, GA","13077","50 years and over","50+",0
,"DeKalb County, GA","13089","Under 15 years","15",10
,"DeKalb County, GA","13089","15-19 years","15-19",456
,"DeKalb County, GA","13089","20-24 years","20-24",1712
,"DeKalb County, GA","13089","25-29 years","25-29",2589
,"DeKalb County, GA","13089","30-34 years","30-34",3173
,"DeKalb County, GA","13089","35-39 years","35-39",1905
,"DeKalb County, GA","13089","40-44 years","40-44",445
,"DeKalb County, GA","13089","45-49 years","45-49",34
,"DeKalb County, GA","13089","50 years and over","50+",Suppressed
,"Douglas County, GA","13097","Under 15 years","15",Suppressed
,"Douglas County, GA","13097","15-19 years","15-19",83
,"Douglas County, GA","13097","20-24 years","20-24",350
,"Douglas County, GA","13097","25-29 years","25-29",497
,"Douglas County, GA","13097","30-34 years","30-34",394
,"Douglas County, GA","13097","35-39 years","35-39",237
,"Douglas County, GA","13097","40-44 years","40-44",66
,"Douglas County, GA","13097","45-49 years","45-49",Suppressed
,"Douglas County, GA","13097","50 years and over","50+",Suppressed
,"Fayette County, GA","13113","Under 15 years","15",0
,"Fayette County, GA","13113","15-19 years","15-19",25
,"Fayette County, GA","13113","20-24 years","20-24",135
,"Fayette County, GA","13113","25-29 years","25-29",235
,"Fayette County, GA","13113","30-34 years","30-34",254
,"Fayette County, GA","13113","35-39 years","35-39",180
,"Fayette County, GA","13113","40-44 years","40-44",54
,"Fayette County, GA","13113","45-49 years","45-49",Suppressed
,"Fayette County, GA","13113","50 years and over","50+",0
,"Forsyth County, GA","13117","Under 15 years","15",Suppressed
,"Forsyth County, GA","13117","15-19 years","15-19",38
,"Forsyth County, GA","13117","20-24 years","20-24",198
,"Forsyth County, GA","13117","25-29 years","25-29",529
