"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Boone County, MO","29019","Under 15 years","15",Suppressed
,"Boone County, MO","29019","15-19 years","15-19",81
,"Boone County, MO","29019","20-24 years","20-24",310
,"Boone County, MO","29019","25-29 years","25-29",668
,"Boone County, MO","29019","30-34 years","30-34",680
,"Boone County, MO","29019","35-39 years","35-39",273
,"Boone County, MO","29019","40-44 years","40-44",55
,"Boone County, MO","29019","45-49 years","45-49",Suppressed
,"Boone County, MO","29019","50 years and over","50+",Suppressed
,"Clay County, MO","29047","Under 15 years","15",0
,"Clay County, MO","29047","15-19 years","15-19",96
,"Clay County, MO","29047","20-24 years","20-24",528
,"Clay County, MO","29047","25-29 years","25-29",1052
,"Clay County, MO","29047","30-34 years","30-34",956
,"Clay County, MO","29047","35-39 years","35-39",382
,"Clay County, MO","29047","40-44 years","40-44",69
,"Clay County, MO","29047","45-49 years","45-49",Suppressed
,"Clay County, MO","29047","50 years and over","50+",0
,"Franklin County, MO","29071","Under 15 years","15",0
,"Franklin County, MO","29071","15-19 years","15-19",67
,"Franklin County, MO","29071","20-24 years","20-24",267
,"Franklin County, MO","29071","25-29 years","25-29",406
,"Franklin County, MO","29071","30-34 years","30-34",341
,"Franklin County, MO","29071","35-39 years","35-39",123
,"Franklin County, MO","29071","40-44 years","40-44",17
,"Franklin County, MO","29071","45-49 years","45-49",Suppressed
,"Franklin County, MO","29071","50 years and over","50+",0
,"Greene County, MO","29077","Under 15 years","15",Suppressed
,"Greene County, MO","29077","15-19 years","15-19",214
,"Greene County, MO","29077","20-24 years","20-24",812
,"Greene County, MO","29077","25-29 years","25-29",1112
,"Greene County, MO","29077","30-34 years","30-34",846
,"Greene County, MO","29077","35-39 years","35-39",359
,"Greene County, MO","29077","40-44 years","40-44",73
,"Greene County, MO","29077","45-49 years","45-49",Suppressed
,"Greene County, MO","29077","50 years and over","50+",0
,"Jackson County, MO","29095","Under 15 years","15",Suppressed
,"Jackson County, MO","29095","15-19 years","15-19",534
,"Jackson County, MO","29095","20-24 years","20-24",1986
,"Jackson County, MO","29095","25-29 years","25-29",2689
,"Jackson County, MO","29095","30-34 years","30-34",2325
,"Jackson County, MO","29095","35-39 years","35-39",1088
,"Jackson County, MO","29095","40-44 years","40-44",192
,"Jackson County, MO","29095","45-49 years","45-49",18
,"Jackson County, MO","29095","50 years and over","50+",0
,"Jasper County, MO","29097","Under 15 years","15",Suppressed
,"Jasper County, MO","29097","15-19 years","15-19",152
,"Jasper County, MO","29097","20-24 years","20-24",434
,"Jasper County, MO","29097","25-29 years","25-29",530
,"Jasper County, MO","29097","30-34 years","30-34",300
,"Jasper County, MO","29097","35-39 years","35-39",106
,"Jasper County, MO","29097","40-44 years","40-44",18
,"Jasper County, MO","29097","45-49 years","45-49",0
,"Jasper County, MO","29097","50 years and over","50+",0
,"Jefferson County, MO","29099","Under 15 years","15",0
,"Jefferson County, MO","29099","15-19 years","15-19",90
,"Jefferson County, MO","29099","20-24 years","20-24",482
,"Jefferson County, MO","29099","25-29 years","25-29",863
,"Jefferson County, MO","29099","30-34 years","30-34",734
,"Jefferson County, MO","29099","35-39 years","35-39",298
,"Jefferson County, MO","29099","40-44 years","40-44",37
,"Jefferson County, MO","29099","45-49 years","45-49",Suppressed
,"Jefferson County, MO","29099","50 years and over","50+",Suppressed
,"St. Charles County, MO","29183","Under 15 years","15",0
,"St. Charles County, MO","29183","15-19 years","15-19",95
,"St. Charles County, MO","29183","20-24 years","20-24",452
,"St. Charles County, MO","29183","25-29 years","25-29",1279
,"St. Charles County, MO","29183","30-34 years","30-34",1625
,"St. Charles County, MO","29183","35-39 years","35-39",732
,"St. Charles County, MO","29183","40-44 years","40-44",114
,"St. Charles County, MO","29183","45-49 years","45-49",Suppressed
,"St. Charles County, MO","29183","50 years and over","50+",0
,"St. Louis County, MO","29189","Under 15 years","15",15
,"St. Louis County, MO","29189","15-19 years","15-19",404
,"St. Louis County, MO","29189","20-24 years","20-24",1723
,"St. Louis County, MO","29189","25-29 years","25-29",3115
,"St. Louis County, MO","29189","30-34 years","30-34",3817
,"St. Louis County, MO","29189","35-39 years","35-39",1963
,"St. Louis County, MO","29189","40-44 years","40-44",340
,"St. Louis County, MO","29189","45-49 years","45-49",14
,"St. Louis County, MO","29189","50 years and over","50+",Suppressed
,"St. Louis city, MO","29510","Under 15 years","15",Suppressed
,"St. Louis city, MO","29510","15-19 years","15-19",223
,"St. Louis city, MO","29510","20-24 years","20-24",753
,"St. Louis city, MO","29510","25-29 years","25-29",1175
,"St. Louis city, MO","29510","30-34 years","30-34",1141
,"St. Louis city, MO","29510","35-39 years","35-39",551
,"St. Louis city, MO","29510","40-44 years","40-44",100
,"St. Louis city, MO","29510","45-49 years","45-49",Suppressed
,"St. Louis city, MO","29510","50 years and over","50+",Suppressed
,"Unidentified Counties, MO","29999","Under 15 years","15",12
,"Unidentified Counties, MO","29999","15-19 years","15-19",1895
,"Unidentified Counties, MO","29999","20-24 years","20-24",8048
,"Unidentified Counties, MO","29999","25-29 years","25-29",9940
,"Unidentified Counties, MO","29999","30-34 years","30-34",6679
,"Unidentified Counties, MO","29999","35-39 years","35-39",2698
,"Unidentified Counties, MO","29999","40-44 years","40-44",495
,"Unidentified Counties, MO","29999","45-49 years","45-49",20
,"Unidentified Counties, MO","29999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Missouri (29)"
"Year: 2019"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:29:45 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:29:45 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
