"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Arlington County, VA","51013","Under 15 years","15",0
,"Arlington County, VA","51013","15-19 years","15-19",43
,"Arlington County, VA","51013","20-24 years","20-24",131
,"Arlington County, VA","51013","25-29 years","25-29",409
,"Arlington County, VA","51013","30-34 years","30-34",1067
,"Arlington County, VA","51013","35-39 years","35-39",822
,"Arlington County, VA","51013","40-44 years","40-44",164
,"Arlington County, VA","51013","45-49 years","45-49",13
,"Arlington County, VA","51013","50 years and over","50+",Suppressed
,"Chesterfield County, VA","51041","Under 15 years","15",0
,"Chesterfield County, VA","51041","15-19 years","15-19",112
,"Chesterfield County, VA","51041","20-24 years","20-24",610
,"Chesterfield County, VA","51041","25-29 years","25-29",1058
,"Chesterfield County, VA","51041","30-34 years","30-34",1321
,"Chesterfield County, VA","51041","35-39 years","35-39",659
,"Chesterfield County, VA","51041","40-44 years","40-44",133
,"Chesterfield County, VA","51041","45-49 years","45-49",11
,"Chesterfield County, VA","51041","50 years and over","50+",0
,"Fairfax County, VA","51059","Under 15 years","15",Suppressed
,"Fairfax County, VA","51059","15-19 years","15-19",311
,"Fairfax County, VA","51059","20-24 years","20-24",1144
,"Fairfax County, VA","51059","25-29 years","25-29",2710
,"Fairfax County, VA","51059","30-34 years","30-34",4978
,"Fairfax County, VA","51059","35-39 years","35-39",3389
,"Fairfax County, VA","51059","40-44 years","40-44",758
,"Fairfax County, VA","51059","45-49 years","45-49",66
,"Fairfax County, VA","51059","50 years and over","50+",16
,"Henrico County, VA","51087","Under 15 years","15",Suppressed
,"Henrico County, VA","51087","15-19 years","15-19",91
,"Henrico County, VA","51087","20-24 years","20-24",444
,"Henrico County, VA","51087","25-29 years","25-29",1011
,"Henrico County, VA","51087","30-34 years","30-34",1344
,"Henrico County, VA","51087","35-39 years","35-39",680
,"Henrico County, VA","51087","40-44 years","40-44",115
,"Henrico County, VA","51087","45-49 years","45-49",Suppressed
,"Henrico County, VA","51087","50 years and over","50+",Suppressed
,"Loudoun County, VA","51107","Under 15 years","15",0
,"Loudoun County, VA","51107","15-19 years","15-19",64
,"Loudoun County, VA","51107","20-24 years","20-24",309
,"Loudoun County, VA","51107","25-29 years","25-29",1021
,"Loudoun County, VA","51107","30-34 years","30-34",2008
,"Loudoun County, VA","51107","35-39 years","35-39",1211
,"Loudoun County, VA","51107","40-44 years","40-44",275
,"Loudoun County, VA","51107","45-49 years","45-49",19
,"Loudoun County, VA","51107","50 years and over","50+",Suppressed
,"Prince William County, VA","51153","Under 15 years","15",Suppressed
,"Prince William County, VA","51153","15-19 years","15-19",171
,"Prince William County, VA","51153","20-24 years","20-24",975
,"Prince William County, VA","51153","25-29 years","25-29",1705
,"Prince William County, VA","51153","30-34 years","30-34",2003
,"Prince William County, VA","51153","35-39 years","35-39",1237
,"Prince William County, VA","51153","40-44 years","40-44",268
,"Prince William County, VA","51153","45-49 years","45-49",22
,"Prince William County, VA","51153","50 years and over","50+",Suppressed
,"Spotsylvania County, VA","51177","Under 15 years","15",0
,"Spotsylvania County, VA","51177","15-19 years","15-19",55
,"Spotsylvania County, VA","51177","20-24 years","20-24",289
,"Spotsylvania County, VA","51177","25-29 years","25-29",473
,"Spotsylvania County, VA","51177","30-34 years","30-34",483
,"Spotsylvania County, VA","51177","35-39 years","35-39",210
,"Spotsylvania County, VA","51177","40-44 years","40-44",55
,"Spotsylvania County, VA","51177","45-49 years","45-49",Suppressed
,"Spotsylvania County, VA","51177","50 years and over","50+",0
,"Stafford County, VA","51179","Under 15 years","15",0
,"Stafford County, VA","51179","15-19 years","15-19",45
,"Stafford County, VA","51179","20-24 years","20-24",315
,"Stafford County, VA","51179","25-29 years","25-29",482
,"Stafford County, VA","51179","30-34 years","30-34",556
,"Stafford County, VA","51179","35-39 years","35-39",291
,"Stafford County, VA","51179","40-44 years","40-44",67
,"Stafford County, VA","51179","45-49 years","45-49",Suppressed
,"Stafford County, VA","51179","50 years and over","50+",Suppressed
,"Alexandria city, VA","51510","Under 15 years","15",0
,"Alexandria city, VA","51510","15-19 years","15-19",48
,"Alexandria city, VA","51510","20-24 years","20-24",206
,"Alexandria city, VA","51510","25-29 years","25-29",485
,"Alexandria city, VA","51510","30-34 years","30-34",917
,"Alexandria city, VA","51510","35-39 years","35-39",660
,"Alexandria city, VA","51510","40-44 years","40-44",155
,"Alexandria city, VA","51510","45-49 years","45-49",11
,"Alexandria city, VA","51510","50 years and over","50+",Suppressed
,"Chesapeake city, VA","51550","Under 15 years","15",0
,"Chesapeake city, VA","51550","15-19 years","15-19",106
,"Chesapeake city, VA","51550","20-24 years","20-24",505
,"Chesapeake city, VA","51550","25-29 years","25-29",916
,"Chesapeake city, VA","51550","30-34 years","30-34",912
,"Chesapeake city, VA","51550","35-39 years","35-39",431
,"Chesapeake city, VA","51550","40-44 years","40-44",69
,"Chesapeake city, VA","51550","45-49 years","45-49",Suppressed
,"Chesapeake city, VA","51550","50 years and over","50+",0
,"Hampton city, VA","51650","Under 15 years","15",Suppressed
,"Hampton city, VA","51650","15-19 years","15-19",81
,"Hampton city, VA","51650","20-24 years","20-24",401
,"Hampton city, VA","51650","25-29 years","25-29",539
,"Hampton city, VA","51650","30-34 years","30-34",383
,"Hampton city, VA","51650","35-39 years","35-39",164
,"Hampton city, VA","51650","40-44 years","40-44",35
,"Hampton city, VA","51650","45-49 years","45-49",Suppressed
,"Hampton city, VA","51650","50 years and over","50+",0
,"Newport News city, VA","51700","Under 15 years","15",Suppressed
,"Newport News city, VA","51700","15-19 years","15-19",128
,"Newport News city, VA","51700","20-24 years","20-24",709
,"Newport News city, VA","51700","25-29 years","25-29",877
,"Newport News city, VA","51700","30-34 years","30-34",689
,"Newport News city, VA","51700","35-39 years","35-39",299
,"Newport News city, VA","51700","40-44 years","40-44",44
,"Newport News city, VA","51700","45-49 years","45-49",Suppressed
,"Newport News city, VA","51700","50 years and over","50+",0
,"Norfolk city, VA","51710","Under 15 years","15",0
,"Norfolk city, VA","51710","15-19 years","15-19",189
,"Norfolk city, VA","51710","20-24 years","20-24",920
,"Norfolk city, VA","51710","25-29 years","25-29",994
,"Norfolk city, VA","51710","30-34 years","30-34",791
,"Norfolk city, VA","51710","35-39 years","35-39",370
,"Norfolk city, VA","51710","40-44 years","40-44",68
,"Norfolk city, VA","51710","45-49 years","45-49",Suppressed
,"Norfolk city, VA","51710","50 years and over","50+",Suppressed
,"Richmond city, VA","51760","Under 15 years","15",Suppressed
,"Richmond city, VA","51760","15-19 years","15-19",186
,"Richmond city, VA","51760","20-24 years","20-24",626
,"Richmond city, VA","51760","25-29 years","25-29",861
,"Richmond city, VA","51760","30-34 years","30-34",918
,"Richmond city, VA","51760","35-39 years","35-39",423
,"Richmond city, VA","51760","40-44 years","40-44",70
,"Richmond city, VA","51760","45-49 years","45-49",Suppressed
,"Richmond city, VA","51760","50 years and over","50+",0
,"Virginia Beach city, VA","51810","Under 15 years","15",Suppressed
,"Virginia Beach city, VA","51810","15-19 years","15-19",149
,"Virginia Beach city, VA","51810","20-24 years","20-24",940
,"Virginia Beach city, VA","51810","25-29 years","25-29",1648
,"Virginia Beach city, VA","51810","30-34 years","30-34",1712
,"Virginia Beach city, VA","51810","35-39 years","35-39",859
,"Virginia Beach city, VA","51810","40-44 years","40-44",142
,"Virginia Beach city, VA","51810","45-49 years","45-49",Suppressed
,"Virginia Beach city, VA","51810","50 years and over","50+",Suppressed
,"Unidentified Counties, VA","51999","Under 15 years","15",14
,"Unidentified Counties, VA","51999","15-19 years","15-19",1846
,"Unidentified Counties, VA","51999","20-24 years","20-24",8026
,"Unidentified Counties, VA","51999","25-29 years","25-29",11761
,"Unidentified Counties, VA","51999","30-34 years","30-34",10131
,"Unidentified Counties, VA","51999","35-39 years","35-39",4706
,"Unidentified Counties, VA","51999","40-44 years","40-44",953
,"Unidentified Counties, VA","51999","45-49 years","45-49",61
,"Unidentified Counties, VA","51999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Virginia (51)"
"Year: 2019"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:52:03 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:52:03 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
