"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Benton County, WA","53005","Under 15 years","15",Suppressed
,"Benton County, WA","53005","15-19 years","15-19",107
,"Benton County, WA","53005","20-24 years","20-24",532
,"Benton County, WA","53005","25-29 years","25-29",836
,"Benton County, WA","53005","30-34 years","30-34",702
,"Benton County, WA","53005","35-39 years","35-39",311
,"Benton County, WA","53005","40-44 years","40-44",59
,"Benton County, WA","53005","45-49 years","45-49",Suppressed
,"Benton County, WA","53005","50 years and over","50+",0
,"Clark County, WA","53011","Under 15 years","15",0
,"Clark County, WA","53011","15-19 years","15-19",189
,"Clark County, WA","53011","20-24 years","20-24",1086
,"Clark County, WA","53011","25-29 years","25-29",1640
,"Clark County, WA","53011","30-34 years","30-34",1652
,"Clark County, WA","53011","35-39 years","35-39",806
,"Clark County, WA","53011","40-44 years","40-44",201
,"Clark County, WA","53011","45-49 years","45-49",17
,"Clark County, WA","53011","50 years and over","50+",0
,"Cowlitz County, WA","53015","Under 15 years","15",0
,"Cowlitz County, WA","53015","15-19 years","15-19",58
,"Cowlitz County, WA","53015","20-24 years","20-24",341
,"Cowlitz County, WA","53015","25-29 years","25-29",410
,"Cowlitz County, WA","53015","30-34 years","30-34",270
,"Cowlitz County, WA","53015","35-39 years","35-39",126
,"Cowlitz County, WA","53015","40-44 years","40-44",32
,"Cowlitz County, WA","53015","45-49 years","45-49",Suppressed
,"Cowlitz County, WA","53015","50 years and over","50+",0
,"King County, WA","53033","Under 15 years","15",Suppressed
,"King County, WA","53033","15-19 years","15-19",414
,"King County, WA","53033","20-24 years","20-24",2073
,"King County, WA","53033","25-29 years","25-29",5204
,"King County, WA","53033","30-34 years","30-34",9040
,"King County, WA","53033","35-39 years","35-39",6005
,"King County, WA","53033","40-44 years","40-44",1235
,"King County, WA","53033","45-49 years","45-49",122
,"King County, WA","53033","50 years and over","50+",15
,"Kitsap County, WA","53035","Under 15 years","15",Suppressed
,"Kitsap County, WA","53035","15-19 years","15-19",94
,"Kitsap County, WA","53035","20-24 years","20-24",571
,"Kitsap County, WA","53035","25-29 years","25-29",908
,"Kitsap County, WA","53035","30-34 years","30-34",851
,"Kitsap County, WA","53035","35-39 years","35-39",461
,"Kitsap County, WA","53035","40-44 years","40-44",63
,"Kitsap County, WA","53035","45-49 years","45-49",Suppressed
,"Kitsap County, WA","53035","50 years and over","50+",0
,"Pierce County, WA","53053","Under 15 years","15",Suppressed
,"Pierce County, WA","53053","15-19 years","15-19",392
,"Pierce County, WA","53053","20-24 years","20-24",2155
,"Pierce County, WA","53053","25-29 years","25-29",3541
,"Pierce County, WA","53053","30-34 years","30-34",3066
,"Pierce County, WA","53053","35-39 years","35-39",1584
,"Pierce County, WA","53053","40-44 years","40-44",290
,"Pierce County, WA","53053","45-49 years","45-49",23
,"Pierce County, WA","53053","50 years and over","50+",Suppressed
,"Skagit County, WA","53057","Under 15 years","15",Suppressed
,"Skagit County, WA","53057","15-19 years","15-19",60
,"Skagit County, WA","53057","20-24 years","20-24",261
,"Skagit County, WA","53057","25-29 years","25-29",434
,"Skagit County, WA","53057","30-34 years","30-34",399
,"Skagit County, WA","53057","35-39 years","35-39",198
,"Skagit County, WA","53057","40-44 years","40-44",36
,"Skagit County, WA","53057","45-49 years","45-49",Suppressed
,"Skagit County, WA","53057","50 years and over","50+",0
,"Snohomish County, WA","53061","Under 15 years","15",Suppressed
,"Snohomish County, WA","53061","15-19 years","15-19",220
,"Snohomish County, WA","53061","20-24 years","20-24",1132
,"Snohomish County, WA","53061","25-29 years","25-29",2645
,"Snohomish County, WA","53061","30-34 years","30-34",3464
,"Snohomish County, WA","53061","35-39 years","35-39",1820
,"Snohomish County, WA","53061","40-44 years","40-44",356
,"Snohomish County, WA","53061","45-49 years","45-49",19
,"Snohomish County, WA","53061","50 years and over","50+",Suppressed
,"Spokane County, WA","53063","Under 15 years","15",Suppressed
,"Spokane County, WA","53063","15-19 years","15-19",215
,"Spokane County, WA","53063","20-24 years","20-24",1168
,"Spokane County, WA","53063","25-29 years","25-29",1897
,"Spokane County, WA","53063","30-34 years","30-34",1682
,"Spokane County, WA","53063","35-39 years","35-39",715
,"Spokane County, WA","53063","40-44 years","40-44",137
,"Spokane County, WA","53063","45-49 years","45-49",11
,"Spokane County, WA","53063","50 years and over","50+",0
,"Thurston County, WA","53067","Under 15 years","15",Suppressed
,"Thurston County, WA","53067","15-19 years","15-19",102
,"Thurston County, WA","53067","20-24 years","20-24",594
,"Thurston County, WA","53067","25-29 years","25-29",934
,"Thurston County, WA","53067","30-34 years","30-34",890
,"Thurston County, WA","53067","35-39 years","35-39",438
,"Thurston County, WA","53067","40-44 years","40-44",98
,"Thurston County, WA","53067","45-49 years","45-49",Suppressed
,"Thurston County, WA","53067","50 years and over","50+",Suppressed
,"Whatcom County, WA","53073","Under 15 years","15",0
,"Whatcom County, WA","53073","15-19 years","15-19",65
,"Whatcom County, WA","53073","20-24 years","20-24",316
,"Whatcom County, WA","53073","25-29 years","25-29",614
,"Whatcom County, WA","53073","30-34 years","30-34",588
,"Whatcom County, WA","53073","35-39 years","35-39",326
,"Whatcom County, WA","53073","40-44 years","40-44",79
,"Whatcom County, WA","53073","45-49 years","45-49",Suppressed
,"Whatcom County, WA","53073","50 years and over","50+",Suppressed
,"Yakima County, WA","53077","Under 15 years","15",Suppressed
,"Yakima County, WA","53077","15-19 years","15-19",285
,"Yakima County, WA","53077","20-24 years","20-24",852
,"Yakima County, WA","53077","25-29 years","25-29",1081
,"Yakima County, WA","53077","30-34 years","30-34",777
,"Yakima County, WA","53077","35-39 years","35-39",378
,"Yakima County, WA","53077","40-44 years","40-44",103
,"Yakima County, WA","53077","45-49 years","45-49",Suppressed
,"Yakima County, WA","53077","50 years and over","50+",Suppressed
,"Unidentified Counties, WA","53999","Under 15 years","15",Suppressed
,"Unidentified Counties, WA","53999","15-19 years","15-19",587
,"Unidentified Counties, WA","53999","20-24 years","20-24",2594
,"Unidentified Counties, WA","53999","25-29 years","25-29",3761
,"Unidentified Counties, WA","53999","30-34 years","30-34",3119
,"Unidentified Counties, WA","53999","35-39 years","35-39",1546
,"Unidentified Counties, WA","53999","40-44 years","40-44",340
,"Unidentified Counties, WA","53999","45-49 years","45-49",17
,"Unidentified Counties, WA","53999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Washington (53)"
"Year: 2019"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 4:52:57 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 4:52:57 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
