"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Adams County, CO","08001","Hispanic or Latino","2135-2",2930
,"Adams County, CO","08001","Not Hispanic or Latino","2186-5",3151
,"Adams County, CO","08001","Unknown or Not Stated","9",123
,"Arapahoe County, CO","08005","Hispanic or Latino","2135-2",2054
,"Arapahoe County, CO","08005","Not Hispanic or Latino","2186-5",5292
,"Arapahoe County, CO","08005","Unknown or Not Stated","9",121
,"Boulder County, CO","08013","Hispanic or Latino","2135-2",628
,"Boulder County, CO","08013","Not Hispanic or Latino","2186-5",1833
,"Boulder County, CO","08013","Unknown or Not Stated","9",48
,"Denver County, CO","08031","Hispanic or Latino","2135-2",3303
,"Denver County, CO","08031","Not Hispanic or Latino","2186-5",5920
,"Denver County, CO","08031","Unknown or Not Stated","9",166
,"Douglas County, CO","08035","Hispanic or Latino","2135-2",371
,"Douglas County, CO","08035","Not Hispanic or Latino","2186-5",3068
,"Douglas County, CO","08035","Unknown or Not Stated","9",33
,"El Paso County, CO","08041","Hispanic or Latino","2135-2",2167
,"El Paso County, CO","08041","Not Hispanic or Latino","2186-5",6829
,"El Paso County, CO","08041","Unknown or Not Stated","9",41
,"Jefferson County, CO","08059","Hispanic or Latino","2135-2",1118
,"Jefferson County, CO","08059","Not Hispanic or Latino","2186-5",4480
,"Jefferson County, CO","08059","Unknown or Not Stated","9",115
,"Larimer County, CO","08069","Hispanic or Latino","2135-2",582
,"Larimer County, CO","08069","Not Hispanic or Latino","2186-5",2515
,"Larimer County, CO","08069","Unknown or Not Stated","9",44
,"Mesa County, CO","08077","Hispanic or Latino","2135-2",339
,"Mesa County, CO","08077","Not Hispanic or Latino","2186-5",1216
,"Mesa County, CO","08077","Unknown or Not Stated","9",25
,"Pueblo County, CO","08101","Hispanic or Latino","2135-2",870
,"Pueblo County, CO","08101","Not Hispanic or Latino","2186-5",857
,"Pueblo County, CO","08101","Unknown or Not Stated","9",75
,"Weld County, CO","08123","Hispanic or Latino","2135-2",1618
,"Weld County, CO","08123","Not Hispanic or Latino","2186-5",2725
,"Weld County, CO","08123","Unknown or Not Stated","9",41
,"Unidentified Counties, CO","08999","Hispanic or Latino","2135-2",2225
,"Unidentified Counties, CO","08999","Not Hispanic or Latino","2186-5",5789
,"Unidentified Counties, CO","08999","Unknown or Not Stated","9",157
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2019"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:51:05 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:51:05 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
