"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alameda County, CA","06001","Female","F",8922
,"Alameda County, CA","06001","Male","M",9290
,"Butte County, CA","06007","Female","F",1056
,"Butte County, CA","06007","Male","M",1098
,"Contra Costa County, CA","06013","Female","F",5799
,"Contra Costa County, CA","06013","Male","M",5930
,"El Dorado County, CA","06017","Female","F",707
,"El Dorado County, CA","06017","Male","M",817
,"Fresno County, CA","06019","Female","F",6878
,"Fresno County, CA","06019","Male","M",7179
,"Humboldt County, CA","06023","Female","F",704
,"Humboldt County, CA","06023","Male","M",713
,"Imperial County, CA","06025","Female","F",1194
,"Imperial County, CA","06025","Male","M",1339
,"Kern County, CA","06029","Female","F",6102
,"Kern County, CA","06029","Male","M",6663
,"Kings County, CA","06031","Female","F",1011
,"Kings County, CA","06031","Male","M",1104
,"Los Angeles County, CA","06037","Female","F",51923
,"Los Angeles County, CA","06037","Male","M",55308
,"Madera County, CA","06039","Female","F",1021
,"Madera County, CA","06039","Male","M",1024
,"Marin County, CA","06041","Female","F",958
,"Marin County, CA","06041","Male","M",1113
,"Merced County, CA","06047","Female","F",1846
,"Merced County, CA","06047","Male","M",1960
,"Monterey County, CA","06053","Female","F",2947
,"Monterey County, CA","06053","Male","M",2899
,"Napa County, CA","06055","Female","F",631
,"Napa County, CA","06055","Male","M",648
,"Orange County, CA","06059","Female","F",16847
,"Orange County, CA","06059","Male","M",18205
,"Placer County, CA","06061","Female","F",1765
,"Placer County, CA","06061","Male","M",1893
,"Riverside County, CA","06065","Female","F",13795
,"Riverside County, CA","06065","Male","M",14231
,"Sacramento County, CA","06067","Female","F",9288
,"Sacramento County, CA","06067","Male","M",9801
,"San Bernardino County, CA","06071","Female","F",13931
,"San Bernardino County, CA","06071","Male","M",14725
,"San Diego County, CA","06073","Female","F",18915
,"San Diego County, CA","06073","Male","M",19625
,"San Francisco County, CA","06075","Female","F",4117
,"San Francisco County, CA","06075","Male","M",4321
,"San Joaquin County, CA","06077","Female","F",4897
,"San Joaquin County, CA","06077","Male","M",5112
,"San Luis Obispo County, CA","06079","Female","F",1161
,"San Luis Obispo County, CA","06079","Male","M",1286
,"San Mateo County, CA","06081","Female","F",3980
,"San Mateo County, CA","06081","Male","M",4226
,"Santa Barbara County, CA","06083","Female","F",2732
,"Santa Barbara County, CA","06083","Male","M",2805
,"Santa Clara County, CA","06085","Female","F",10221
,"Santa Clara County, CA","06085","Male","M",10963
,"Santa Cruz County, CA","06087","Female","F",1200
,"Santa Cruz County, CA","06087","Male","M",1234
,"Shasta County, CA","06089","Female","F",918
,"Shasta County, CA","06089","Male","M",985
,"Solano County, CA","06095","Female","F",2468
,"Solano County, CA","06095","Male","M",2597
,"Sonoma County, CA","06097","Female","F",2166
,"Sonoma County, CA","06097","Male","M",2229
,"Stanislaus County, CA","06099","Female","F",3607
,"Stanislaus County, CA","06099","Male","M",3795
,"Tulare County, CA","06107","Female","F",3314
,"Tulare County, CA","06107","Male","M",3400
,"Ventura County, CA","06111","Female","F",4237
,"Ventura County, CA","06111","Male","M",4499
,"Yolo County, CA","06113","Female","F",1013
,"Yolo County, CA","06113","Male","M",1044
,"Unidentified Counties, CA","06999","Female","F",5005
,"Unidentified Counties, CA","06999","Male","M",5142
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: California (06)"
"Year: 2019"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:01:05 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:01:05 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
