"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alamance County, NC","37001","Female","F",910
,"Alamance County, NC","37001","Male","M",953
,"Brunswick County, NC","37019","Female","F",523
,"Brunswick County, NC","37019","Male","M",503
,"Buncombe County, NC","37021","Female","F",1220
,"Buncombe County, NC","37021","Male","M",1243
,"Cabarrus County, NC","37025","Female","F",1185
,"Cabarrus County, NC","37025","Male","M",1353
,"Catawba County, NC","37035","Female","F",832
,"Catawba County, NC","37035","Male","M",855
,"Craven County, NC","37049","Female","F",654
,"Craven County, NC","37049","Male","M",665
,"Cumberland County, NC","37051","Female","F",2661
,"Cumberland County, NC","37051","Male","M",2801
,"Davidson County, NC","37057","Female","F",893
,"Davidson County, NC","37057","Male","M",882
,"Durham County, NC","37063","Female","F",2062
,"Durham County, NC","37063","Male","M",2096
,"Forsyth County, NC","37067","Female","F",2175
,"Forsyth County, NC","37067","Male","M",2235
,"Gaston County, NC","37071","Female","F",1242
,"Gaston County, NC","37071","Male","M",1356
,"Guilford County, NC","37081","Female","F",2992
,"Guilford County, NC","37081","Male","M",3053
,"Harnett County, NC","37085","Female","F",894
,"Harnett County, NC","37085","Male","M",966
,"Henderson County, NC","37089","Female","F",533
,"Henderson County, NC","37089","Male","M",489
,"Iredell County, NC","37097","Female","F",913
,"Iredell County, NC","37097","Male","M",970
,"Johnston County, NC","37101","Female","F",1221
,"Johnston County, NC","37101","Male","M",1301
,"Mecklenburg County, NC","37119","Female","F",7053
,"Mecklenburg County, NC","37119","Male","M",7348
,"New Hanover County, NC","37129","Female","F",1064
,"New Hanover County, NC","37129","Male","M",1108
,"Onslow County, NC","37133","Female","F",1889
,"Onslow County, NC","37133","Male","M",1931
,"Orange County, NC","37135","Female","F",573
,"Orange County, NC","37135","Male","M",590
,"Pitt County, NC","37147","Female","F",992
,"Pitt County, NC","37147","Male","M",1087
,"Randolph County, NC","37151","Female","F",755
,"Randolph County, NC","37151","Male","M",791
,"Robeson County, NC","37155","Female","F",866
,"Robeson County, NC","37155","Male","M",865
,"Rowan County, NC","37159","Female","F",787
,"Rowan County, NC","37159","Male","M",761
,"Union County, NC","37179","Female","F",1144
,"Union County, NC","37179","Male","M",1134
,"Wake County, NC","37183","Female","F",6152
,"Wake County, NC","37183","Male","M",6536
,"Wayne County, NC","37191","Female","F",803
,"Wayne County, NC","37191","Male","M",816
,"Unidentified Counties, NC","37999","Female","F",15132
,"Unidentified Counties, NC","37999","Male","M",15917
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: North Carolina (37)"
"Year: 2019"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 5:31:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 5:31:56 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
