"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Douglas County, KS","20045","American Indian or Alaska Native","1002-5",23
,"Douglas County, KS","20045","Asian","A",67
,"Douglas County, KS","20045","Black or African American","2054-5",53
,"Douglas County, KS","20045","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Douglas County, KS","20045","White","2106-3",915
,"Douglas County, KS","20045","More than one race","M",32
,"Douglas County, KS","20045","Unknown or Not Stated","UNK",0
,"Douglas County, KS","20045","Not Available","NA",0
,"Douglas County, KS","20045","Not Reported","NR",0
,"Johnson County, KS","20091","American Indian or Alaska Native","1002-5",17
,"Johnson County, KS","20091","Asian","A",462
,"Johnson County, KS","20091","Black or African American","2054-5",384
,"Johnson County, KS","20091","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Johnson County, KS","20091","White","2106-3",5972
,"Johnson County, KS","20091","More than one race","M",109
,"Johnson County, KS","20091","Unknown or Not Stated","UNK",0
,"Johnson County, KS","20091","Not Available","NA",0
,"Johnson County, KS","20091","Not Reported","NR",0
,"Sedgwick County, KS","20173","American Indian or Alaska Native","1002-5",23
,"Sedgwick County, KS","20173","Asian","A",292
,"Sedgwick County, KS","20173","Black or African American","2054-5",805
,"Sedgwick County, KS","20173","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Sedgwick County, KS","20173","White","2106-3",5424
,"Sedgwick County, KS","20173","More than one race","M",182
,"Sedgwick County, KS","20173","Unknown or Not Stated","UNK",0
,"Sedgwick County, KS","20173","Not Available","NA",0
,"Sedgwick County, KS","20173","Not Reported","NR",0
,"Shawnee County, KS","20177","American Indian or Alaska Native","1002-5",27
,"Shawnee County, KS","20177","Asian","A",41
,"Shawnee County, KS","20177","Black or African American","2054-5",242
,"Shawnee County, KS","20177","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Shawnee County, KS","20177","White","2106-3",1668
,"Shawnee County, KS","20177","More than one race","M",129
,"Shawnee County, KS","20177","Unknown or Not Stated","UNK",0
,"Shawnee County, KS","20177","Not Available","NA",0
,"Shawnee County, KS","20177","Not Reported","NR",0
,"Wyandotte County, KS","20209","American Indian or Alaska Native","1002-5",11
,"Wyandotte County, KS","20209","Asian","A",177
,"Wyandotte County, KS","20209","Black or African American","2054-5",589
,"Wyandotte County, KS","20209","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Wyandotte County, KS","20209","White","2106-3",1749
,"Wyandotte County, KS","20209","More than one race","M",73
,"Wyandotte County, KS","20209","Unknown or Not Stated","UNK",0
,"Wyandotte County, KS","20209","Not Available","NA",0
,"Wyandotte County, KS","20209","Not Reported","NR",0
,"Unidentified Counties, KS","20999","American Indian or Alaska Native","1002-5",111
,"Unidentified Counties, KS","20999","Asian","A",217
,"Unidentified Counties, KS","20999","Black or African American","2054-5",563
,"Unidentified Counties, KS","20999","Native Hawaiian or Other Pacific Islander","NHOPI",52
,"Unidentified Counties, KS","20999","White","2106-3",14548
,"Unidentified Counties, KS","20999","More than one race","M",407
,"Unidentified Counties, KS","20999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, KS","20999","Not Available","NA",0
,"Unidentified Counties, KS","20999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Kansas (20)"
"Year: 2019"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 6:07:51 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 6:07:51 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
