"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Boone County, MO","29019","American Indian or Alaska Native","1002-5",Suppressed
,"Boone County, MO","29019","Asian","A",129
,"Boone County, MO","29019","Black or African American","2054-5",286
,"Boone County, MO","29019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Boone County, MO","29019","White","2106-3",1563
,"Boone County, MO","29019","More than one race","M",92
,"Boone County, MO","29019","Unknown or Not Stated","UNK",0
,"Boone County, MO","29019","Not Available","NA",0
,"Boone County, MO","29019","Not Reported","NR",0
,"Clay County, MO","29047","American Indian or Alaska Native","1002-5",13
,"Clay County, MO","29047","Asian","A",86
,"Clay County, MO","29047","Black or African American","2054-5",343
,"Clay County, MO","29047","Native Hawaiian or Other Pacific Islander","NHOPI",44
,"Clay County, MO","29047","White","2106-3",2471
,"Clay County, MO","29047","More than one race","M",130
,"Clay County, MO","29047","Unknown or Not Stated","UNK",0
,"Clay County, MO","29047","Not Available","NA",0
,"Clay County, MO","29047","Not Reported","NR",0
,"Franklin County, MO","29071","American Indian or Alaska Native","1002-5",Suppressed
,"Franklin County, MO","29071","Asian","A",Suppressed
,"Franklin County, MO","29071","Black or African American","2054-5",Suppressed
,"Franklin County, MO","29071","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Franklin County, MO","29071","White","2106-3",1183
,"Franklin County, MO","29071","More than one race","M",28
,"Franklin County, MO","29071","Unknown or Not Stated","UNK",0
,"Franklin County, MO","29071","Not Available","NA",0
,"Franklin County, MO","29071","Not Reported","NR",0
,"Greene County, MO","29077","American Indian or Alaska Native","1002-5",19
,"Greene County, MO","29077","Asian","A",84
,"Greene County, MO","29077","Black or African American","2054-5",149
,"Greene County, MO","29077","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Greene County, MO","29077","White","2106-3",2999
,"Greene County, MO","29077","More than one race","M",162
,"Greene County, MO","29077","Unknown or Not Stated","UNK",0
,"Greene County, MO","29077","Not Available","NA",0
,"Greene County, MO","29077","Not Reported","NR",0
,"Jackson County, MO","29095","American Indian or Alaska Native","1002-5",36
,"Jackson County, MO","29095","Asian","A",240
