"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Clackamas County, OR","41005","American Indian or Alaska Native","1002-5",23
,"Clackamas County, OR","41005","Asian","A",232
,"Clackamas County, OR","41005","Black or African American","2054-5",51
,"Clackamas County, OR","41005","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Clackamas County, OR","41005","White","2106-3",3342
,"Clackamas County, OR","41005","More than one race","M",138
,"Clackamas County, OR","41005","Unknown or Not Stated","UNK",0
,"Clackamas County, OR","41005","Not Available","NA",0
,"Clackamas County, OR","41005","Not Reported","NR",0
,"Deschutes County, OR","41017","American Indian or Alaska Native","1002-5",18
,"Deschutes County, OR","41017","Asian","A",43
,"Deschutes County, OR","41017","Black or African American","2054-5",11
,"Deschutes County, OR","41017","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Deschutes County, OR","41017","White","2106-3",1696
,"Deschutes County, OR","41017","More than one race","M",58
,"Deschutes County, OR","41017","Unknown or Not Stated","UNK",0
,"Deschutes County, OR","41017","Not Available","NA",0
,"Deschutes County, OR","41017","Not Reported","NR",0
,"Douglas County, OR","41019","American Indian or Alaska Native","1002-5",16
,"Douglas County, OR","41019","Asian","A",14
,"Douglas County, OR","41019","Black or African American","2054-5",Suppressed
,"Douglas County, OR","41019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Douglas County, OR","41019","White","2106-3",962
,"Douglas County, OR","41019","More than one race","M",37
,"Douglas County, OR","41019","Unknown or Not Stated","UNK",0
,"Douglas County, OR","41019","Not Available","NA",0
,"Douglas County, OR","41019","Not Reported","NR",0
,"Jackson County, OR","41029","American Indian or Alaska Native","1002-5",29
,"Jackson County, OR","41029","Asian","A",42
,"Jackson County, OR","41029","Black or African American","2054-5",14
,"Jackson County, OR","41029","Native Hawaiian or Other Pacific Islander","NHOPI",20
,"Jackson County, OR","41029","White","2106-3",1928
,"Jackson County, OR","41029","More than one race","M",105
,"Jackson County, OR","41029","Unknown or Not Stated","UNK",0
,"Jackson County, OR","41029","Not Available","NA",0
,"Jackson County, OR","41029","Not Reported","NR",0
,"Lane County, OR","41039","American Indian or Alaska Native","1002-5",36
,"Lane County, OR","41039","Asian","A",105
,"Lane County, OR","41039","Black or African American","2054-5",39
,"Lane County, OR","41039","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Lane County, OR","41039","White","2106-3",2907
,"Lane County, OR","41039","More than one race","M",171
,"Lane County, OR","41039","Unknown or Not Stated","UNK",0
,"Lane County, OR","41039","Not Available","NA",0
,"Lane County, OR","41039","Not Reported","NR",0
,"Linn County, OR","41043","American Indian or Alaska Native","1002-5",11
,"Linn County, OR","41043","Asian","A",16
,"Linn County, OR","41043","Black or African American","2054-5",Suppressed
,"Linn County, OR","41043","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Linn County, OR","41043","White","2106-3",1365
,"Linn County, OR","41043","More than one race","M",55
,"Linn County, OR","41043","Unknown or Not Stated","UNK",0
,"Linn County, OR","41043","Not Available","NA",0
,"Linn County, OR","41043","Not Reported","NR",0
,"Marion County, OR","41047","American Indian or Alaska Native","1002-5",63
,"Marion County, OR","41047","Asian","A",97
,"Marion County, OR","41047","Black or African American","2054-5",57
,"Marion County, OR","41047","Native Hawaiian or Other Pacific Islander","NHOPI",117
,"Marion County, OR","41047","White","2106-3",3647
,"Marion County, OR","41047","More than one race","M",133
,"Marion County, OR","41047","Unknown or Not Stated","UNK",0
,"Marion County, OR","41047","Not Available","NA",0
