"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Bell County, TX","48027","American Indian or Alaska Native","1002-5",62
,"Bell County, TX","48027","Asian","A",186
,"Bell County, TX","48027","Black or African American","2054-5",1676
,"Bell County, TX","48027","Native Hawaiian or Other Pacific Islander","NHOPI",109
,"Bell County, TX","48027","White","2106-3",3891
,"Bell County, TX","48027","More than one race","M",236
,"Bell County, TX","48027","Unknown or Not Stated","UNK",0
,"Bell County, TX","48027","Not Available","NA",0
,"Bell County, TX","48027","Not Reported","NR",0
,"Bexar County, TX","48029","American Indian or Alaska Native","1002-5",79
,"Bexar County, TX","48029","Asian","A",905
,"Bexar County, TX","48029","Black or African American","2054-5",2252
,"Bexar County, TX","48029","Native Hawaiian or Other Pacific Islander","NHOPI",57
,"Bexar County, TX","48029","White","2106-3",22386
,"Bexar County, TX","48029","More than one race","M",422
,"Bexar County, TX","48029","Unknown or Not Stated","UNK",0
,"Bexar County, TX","48029","Not Available","NA",0
,"Bexar County, TX","48029","Not Reported","NR",0
,"Brazoria County, TX","48039","American Indian or Alaska Native","1002-5",12
,"Brazoria County, TX","48039","Asian","A",366
,"Brazoria County, TX","48039","Black or African American","2054-5",711
,"Brazoria County, TX","48039","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Brazoria County, TX","48039","White","2106-3",3602
,"Brazoria County, TX","48039","More than one race","M",63
,"Brazoria County, TX","48039","Unknown or Not Stated","UNK",0
,"Brazoria County, TX","48039","Not Available","NA",0
,"Brazoria County, TX","48039","Not Reported","NR",0
,"Brazos County, TX","48041","American Indian or Alaska Native","1002-5",Suppressed
,"Brazos County, TX","48041","Asian","A",120
,"Brazos County, TX","48041","Black or African American","2054-5",412
,"Brazos County, TX","48041","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Brazos County, TX","48041","White","2106-3",2056
,"Brazos County, TX","48041","More than one race","M",48
,"Brazos County, TX","48041","Unknown or Not Stated","UNK",0
,"Brazos County, TX","48041","Not Available","NA",0
,"Brazos County, TX","48041","Not Reported","NR",0
,"Cameron County, TX","48061","American Indian or Alaska Native","1002-5",Suppressed
,"Cameron County, TX","48061","Asian","A",12
,"Cameron County, TX","48061","Black or African American","2054-5",36
,"Cameron County, TX","48061","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Cameron County, TX","48061","White","2106-3",6067
,"Cameron County, TX","48061","More than one race","M",15
,"Cameron County, TX","48061","Unknown or Not Stated","UNK",0
,"Cameron County, TX","48061","Not Available","NA",0
,"Cameron County, TX","48061","Not Reported","NR",0
,"Collin County, TX","48085","American Indian or Alaska Native","1002-5",38
,"Collin County, TX","48085","Asian","A",2379
,"Collin County, TX","48085","Black or African American","2054-5",1379
,"Collin County, TX","48085","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Collin County, TX","48085","White","2106-3",7534
,"Collin County, TX","48085","More than one race","M",186
,"Collin County, TX","48085","Unknown or Not Stated","UNK",0
,"Collin County, TX","48085","Not Available","NA",0
,"Collin County, TX","48085","Not Reported","NR",0
,"Comal County, TX","48091","American Indian or Alaska Native","1002-5",Suppressed
,"Comal County, TX","48091","Asian","A",30
,"Comal County, TX","48091","Black or African American","2054-5",45
,"Comal County, TX","48091","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Comal County, TX","48091","White","2106-3",1546
,"Comal County, TX","48091","More than one race","M",32
,"Comal County, TX","48091","Unknown or Not Stated","UNK",0
,"Comal County, TX","48091","Not Available","NA",0
,"Comal County, TX","48091","Not Reported","NR",0
,"Dallas County, TX","48113","American Indian or Alaska Native","1002-5",80
,"Dallas County, TX","48113","Asian","A",2877
,"Dallas County, TX","48113","Black or African American","2054-5",8539
,"Dallas County, TX","48113","Native Hawaiian or Other Pacific Islander","NHOPI",27
,"Dallas County, TX","48113","White","2106-3",25637
,"Dallas County, TX","48113","More than one race","M",384
,"Dallas County, TX","48113","Unknown or Not Stated","UNK",0
,"Dallas County, TX","48113","Not Available","NA",0
,"Dallas County, TX","48113","Not Reported","NR",0
,"Denton County, TX","48121","American Indian or Alaska Native","1002-5",33
,"Denton County, TX","48121","Asian","A",1177
,"Denton County, TX","48121","Black or African American","2054-5",1208
,"Denton County, TX","48121","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Denton County, TX","48121","White","2106-3",7635
,"Denton County, TX","48121","More than one race","M",175
,"Denton County, TX","48121","Unknown or Not Stated","UNK",0
,"Denton County, TX","48121","Not Available","NA",0
,"Denton County, TX","48121","Not Reported","NR",0
,"Ector County, TX","48135","American Indian or Alaska Native","1002-5",11
,"Ector County, TX","48135","Asian","A",48
,"Ector County, TX","48135","Black or African American","2054-5",167
,"Ector County, TX","48135","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Ector County, TX","48135","White","2106-3",2965
,"Ector County, TX","48135","More than one race","M",17
,"Ector County, TX","48135","Unknown or Not Stated","UNK",0
,"Ector County, TX","48135","Not Available","NA",0
,"Ector County, TX","48135","Not Reported","NR",0
,"Ellis County, TX","48139","American Indian or Alaska Native","1002-5",Suppressed
,"Ellis County, TX","48139","Asian","A",32
,"Ellis County, TX","48139","Black or African American","2054-5",260
,"Ellis County, TX","48139","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ellis County, TX","48139","White","2106-3",1940
,"Ellis County, TX","48139","More than one race","M",28
,"Ellis County, TX","48139","Unknown or Not Stated","UNK",0
,"Ellis County, TX","48139","Not Available","NA",0
,"Ellis County, TX","48139","Not Reported","NR",0
,"El Paso County, TX","48141","American Indian or Alaska Native","1002-5",28
,"El Paso County, TX","48141","Asian","A",132
,"El Paso County, TX","48141","Black or African American","2054-5",444
,"El Paso County, TX","48141","Native Hawaiian or Other Pacific Islander","NHOPI",33
,"El Paso County, TX","48141","White","2106-3",10927
,"El Paso County, TX","48141","More than one race","M",73
,"El Paso County, TX","48141","Unknown or Not Stated","UNK",0
,"El Paso County, TX","48141","Not Available","NA",0
,"El Paso County, TX","48141","Not Reported","NR",0
,"Fort Bend County, TX","48157","American Indian or Alaska Native","1002-5",19
,"Fort Bend County, TX","48157","Asian","A",1974
,"Fort Bend County, TX","48157","Black or African American","2054-5",2073
,"Fort Bend County, TX","48157","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Fort Bend County, TX","48157","White","2106-3",4853
,"Fort Bend County, TX","48157","More than one race","M",123
,"Fort Bend County, TX","48157","Unknown or Not Stated","UNK",0
,"Fort Bend County, TX","48157","Not Available","NA",0
,"Fort Bend County, TX","48157","Not Reported","NR",0
,"Galveston County, TX","48167","American Indian or Alaska Native","1002-5",Suppressed
,"Galveston County, TX","48167","Asian","A",137
,"Galveston County, TX","48167","Black or African American","2054-5",564
,"Galveston County, TX","48167","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Galveston County, TX","48167","White","2106-3",3208
,"Galveston County, TX","48167","More than one race","M",38
,"Galveston County, TX","48167","Unknown or Not Stated","UNK",0
