"Notes","State of Residence","State of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alabama","01","Hispanic or Latino","2135-2",4910
,"Alabama","01","Not Hispanic or Latino","2186-5",53687
,"Alabama","01","Unknown or Not Stated","9",18
,"Alaska","02","Hispanic or Latino","2135-2",787
,"Alaska","02","Not Hispanic or Latino","2186-5",8865
,"Alaska","02","Unknown or Not Stated","9",170
,"Arizona","04","Hispanic or Latino","2135-2",33639
,"Arizona","04","Not Hispanic or Latino","2186-5",45291
,"Arizona","04","Unknown or Not Stated","9",445
,"Arkansas","05","Hispanic or Latino","2135-2",4088
,"Arkansas","05","Not Hispanic or Latino","2186-5",32180
,"Arkansas","05","Unknown or Not Stated","9",296
,"California","06","Hispanic or Latino","2135-2",203996
,"California","06","Not Hispanic or Latino","2186-5",225060
,"California","06","Unknown or Not Stated","9",17423
,"Colorado","08","Hispanic or Latino","2135-2",18205
,"Colorado","08","Not Hispanic or Latino","2186-5",43675
,"Colorado","08","Unknown or Not Stated","9",989
,"Connecticut","09","Hispanic or Latino","2135-2",8728
,"Connecticut","09","Not Hispanic or Latino","2186-5",25511
,"Connecticut","09","Unknown or Not Stated","9",19
,"Delaware","10","Hispanic or Latino","2135-2",1737
,"Delaware","10","Not Hispanic or Latino","2186-5",8799
,"Delaware","10","Unknown or Not Stated","9",26
,"District of Columbia","11","Hispanic or Latino","2135-2",1354
,"District of Columbia","11","Not Hispanic or Latino","2186-5",7722
,"District of Columbia","11","Unknown or Not Stated","9",Suppressed
,"Florida","12","Hispanic or Latino","2135-2",68234
,"Florida","12","Not Hispanic or Latino","2186-5",151687
,"Florida","12","Unknown or Not Stated","9",81
,"Georgia","13","Hispanic or Latino","2135-2",18426
,"Georgia","13","Not Hispanic or Latino","2186-5",107044
,"Georgia","13","Unknown or Not Stated","9",901
,"Hawaii","15","Hispanic or Latino","2135-2",2589
,"Hawaii","15","Not Hispanic or Latino","2186-5",14153
,"Hawaii","15","Unknown or Not Stated","9",55
,"Idaho","16","Hispanic or Latino","2135-2",3702
,"Idaho","16","Not Hispanic or Latino","2186-5",18277
,"Idaho","16","Unknown or Not Stated","9",84
,"Illinois","17","Hispanic or Latino","2135-2",30097
,"Illinois","17","Not Hispanic or Latino","2186-5",108994
,"Illinois","17","Unknown or Not Stated","9",1037
,"Indiana","18","Hispanic or Latino","2135-2",8420
,"Indiana","18","Not Hispanic or Latino","2186-5",72404
,"Indiana","18","Unknown or Not Stated","9",35
,"Iowa","19","Hispanic or Latino","2135-2",3695
,"Iowa","19","Not Hispanic or Latino","2186-5",33947
,"Iowa","19","Unknown or Not Stated","9",Suppressed
,"Kansas","20","Hispanic or Latino","2135-2",6071
,"Kansas","20","Not Hispanic or Latino","2186-5",29257
,"Kansas","20","Unknown or Not Stated","9",67
,"Kentucky","21","Hispanic or Latino","2135-2",3450
,"Kentucky","21","Not Hispanic or Latino","2186-5",49465
,"Kentucky","21","Unknown or Not Stated","9",154
,"Louisiana","22","Hispanic or Latino","2135-2",4994
,"Louisiana","22","Not Hispanic or Latino","2186-5",53911
,"Louisiana","22","Unknown or Not Stated","9",36
,"Maine","23","Hispanic or Latino","2135-2",257
,"Maine","23","Not Hispanic or Latino","2186-5",11512
,"Maine","23","Unknown or Not Stated","9",10
,"Maryland","24","Hispanic or Latino","2135-2",12872
,"Maryland","24","Not Hispanic or Latino","2186-5",57064
,"Maryland","24","Unknown or Not Stated","9",242
,"Massachusetts","25","Hispanic or Latino","2135-2",14142
,"Massachusetts","25","Not Hispanic or Latino","2186-5",53880
,"Massachusetts","25","Unknown or Not Stated","9",1095
,"Michigan","26","Hispanic or Latino","2135-2",7117
,"Michigan","26","Not Hispanic or Latino","2186-5",100534
,"Michigan","26","Unknown or Not Stated","9",235
,"Minnesota","27","Hispanic or Latino","2135-2",5129
,"Minnesota","27","Not Hispanic or Latino","2186-5",60720
,"Minnesota","27","Unknown or Not Stated","9",178
,"Mississippi","28","Hispanic or Latino","2135-2",1709
,"Mississippi","28","Not Hispanic or Latino","2186-5",34909
,"Mississippi","28","Unknown or Not Stated","9",18
,"Missouri","29","Hispanic or Latino","2135-2",4386
,"Missouri","29","Not Hispanic or Latino","2186-5",67470
,"Missouri","29","Unknown or Not Stated","9",271
,"Montana","30","Hispanic or Latino","2135-2",616
,"Montana","30","Not Hispanic or Latino","2186-5",10442
,"Montana","30","Unknown or Not Stated","9",21
,"Nebraska","31","Hispanic or Latino","2135-2",4345
,"Nebraska","31","Not Hispanic or Latino","2186-5",20397
,"Nebraska","31","Unknown or Not Stated","9",13
,"Nevada","32","Hispanic or Latino","2135-2",13238
,"Nevada","32","Not Hispanic or Latino","2186-5",21689
,"Nevada","32","Unknown or Not Stated","9",145
,"New Hampshire","33","Hispanic or Latino","2135-2",771
,"New Hampshire","33","Not Hispanic or Latino","2186-5",11002
,"New Hampshire","33","Unknown or Not Stated","9",66
,"New Jersey","34","Hispanic or Latino","2135-2",27443
,"New Jersey","34","Not Hispanic or Latino","2186-5",71093
,"New Jersey","34","Unknown or Not Stated","9",1049
,"New Mexico","35","Hispanic or Latino","2135-2",12924
,"New Mexico","35","Not Hispanic or Latino","2186-5",9989
,"New Mexico","35","Unknown or Not Stated","9",47
,"New York","36","Hispanic or Latino","2135-2",50323
,"New York","36","Not Hispanic or Latino","2186-5",169267
