"Notes","State of Residence","State of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alabama","01","Female","F",28420
,"Alabama","01","Male","M",30195
,"Alaska","02","Female","F",4703
,"Alaska","02","Male","M",5119
,"Arizona","04","Female","F",38699
,"Arizona","04","Male","M",40676
,"Arkansas","05","Female","F",17805
,"Arkansas","05","Male","M",18759
,"California","06","Female","F",217276
,"California","06","Male","M",229203
,"Colorado","08","Female","F",30660
,"Colorado","08","Male","M",32209
,"Connecticut","09","Female","F",16802
,"Connecticut","09","Male","M",17456
,"Delaware","10","Female","F",5124
,"Delaware","10","Male","M",5438
,"District of Columbia","11","Female","F",4466
,"District of Columbia","11","Male","M",4613
,"Florida","12","Female","F",107453
,"Florida","12","Male","M",112549
,"Georgia","13","Female","F",62057
,"Georgia","13","Male","M",64314
,"Hawaii","15","Female","F",8019
,"Hawaii","15","Male","M",8778
,"Idaho","16","Female","F",10794
,"Idaho","16","Male","M",11269
,"Illinois","17","Female","F",68340
,"Illinois","17","Male","M",71788
,"Indiana","18","Female","F",39351
,"Indiana","18","Male","M",41508
,"Iowa","19","Female","F",18404
,"Iowa","19","Male","M",19245
,"Kansas","20","Female","F",17354
,"Kansas","20","Male","M",18041
,"Kentucky","21","Female","F",25952
,"Kentucky","21","Male","M",27117
,"Louisiana","22","Female","F",28720
,"Louisiana","22","Male","M",30221
,"Maine","23","Female","F",5852
,"Maine","23","Male","M",5927
,"Maryland","24","Female","F",34212
,"Maryland","24","Male","M",35966
,"Massachusetts","25","Female","F",33868
,"Massachusetts","25","Male","M",35249
,"Michigan","26","Female","F",53066
,"Michigan","26","Male","M",54820
,"Minnesota","27","Female","F",32330
,"Minnesota","27","Male","M",33697
,"Mississippi","28","Female","F",17889
,"Mississippi","28","Male","M",18747
,"Missouri","29","Female","F",35072
,"Missouri","29","Male","M",37055
,"Montana","30","Female","F",5465
,"Montana","30","Male","M",5614
,"Nebraska","31","Female","F",12127
,"Nebraska","31","Male","M",12628
,"Nevada","32","Female","F",16952
,"Nevada","32","Male","M",18120
,"New Hampshire","33","Female","F",5759
,"New Hampshire","33","Male","M",6080
,"New Jersey","34","Female","F",48333
,"New Jersey","34","Male","M",51252
,"New Mexico","35","Female","F",11202
,"New Mexico","35","Male","M",11758
,"New York","36","Female","F",108474
,"New York","36","Male","M",113065
,"North Carolina","37","Female","F",58120
,"North Carolina","37","Male","M",60605
,"North Dakota","38","Female","F",5040
,"North Dakota","38","Male","M",5414
,"Ohio","39","Female","F",65853
,"Ohio","39","Male","M",68608
,"Oklahoma","40","Female","F",23907
,"Oklahoma","40","Male","M",25236
,"Oregon","41","Female","F",20389
,"Oregon","41","Male","M",21469
,"Pennsylvania","42","Female","F",65740
,"Pennsylvania","42","Male","M",68490
,"Rhode Island","44","Female","F",4992
,"Rhode Island","44","Male","M",5183
,"South Carolina","45","Female","F",27882
,"South Carolina","45","Male","M",29156
,"South Dakota","46","Female","F",5573
,"South Dakota","46","Male","M",5876
,"Tennessee","47","Female","F",39451
,"Tennessee","47","Male","M",40999
,"Texas","48","Female","F",184612
,"Texas","48","Male","M",192987
,"Utah","49","Female","F",22886
,"Utah","49","Male","M",23940
,"Vermont","50","Female","F",2607
,"Vermont","50","Male","M",2754
,"Virginia","51","Female","F",47554
,"Virginia","51","Male","M",49875
,"Washington","53","Female","F",41545
,"Washington","53","Male","M",43350
,"West Virginia","54","Female","F",8832
,"West Virginia","54","Male","M",9304
,"Wisconsin","55","Female","F",30928
,"Wisconsin","55","Male","M",32342
,"Wyoming","56","Female","F",3183
,"Wyoming","56","Male","M",3382
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: State of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 5:14:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 5:14:23 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
