"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Fairfield County, CT","09001","Under 15 years","15",Suppressed
,"Fairfield County, CT","09001","15-19 years","15-19",241
,"Fairfield County, CT","09001","20-24 years","20-24",843
,"Fairfield County, CT","09001","25-29 years","25-29",1878
,"Fairfield County, CT","09001","30-34 years","30-34",3464
,"Fairfield County, CT","09001","35-39 years","35-39",2390
,"Fairfield County, CT","09001","40-44 years","40-44",558
,"Fairfield County, CT","09001","45-49 years","45-49",48
,"Fairfield County, CT","09001","50 years and over","50+",Suppressed
,"Hartford County, CT","09003","Under 15 years","15",Suppressed
,"Hartford County, CT","09003","15-19 years","15-19",243
,"Hartford County, CT","09003","20-24 years","20-24",1167
,"Hartford County, CT","09003","25-29 years","25-29",2199
,"Hartford County, CT","09003","30-34 years","30-34",3056
,"Hartford County, CT","09003","35-39 years","35-39",1664
,"Hartford County, CT","09003","40-44 years","40-44",336
,"Hartford County, CT","09003","45-49 years","45-49",20
,"Hartford County, CT","09003","50 years and over","50+",Suppressed
,"Litchfield County, CT","09005","Under 15 years","15",0
,"Litchfield County, CT","09005","15-19 years","15-19",21
,"Litchfield County, CT","09005","20-24 years","20-24",153
,"Litchfield County, CT","09005","25-29 years","25-29",324
,"Litchfield County, CT","09005","30-34 years","30-34",494
,"Litchfield County, CT","09005","35-39 years","35-39",297
,"Litchfield County, CT","09005","40-44 years","40-44",45
,"Litchfield County, CT","09005","45-49 years","45-49",Suppressed
,"Litchfield County, CT","09005","50 years and over","50+",Suppressed
,"Middlesex County, CT","09007","Under 15 years","15",0
,"Middlesex County, CT","09007","15-19 years","15-19",12
,"Middlesex County, CT","09007","20-24 years","20-24",105
,"Middlesex County, CT","09007","25-29 years","25-29",269
,"Middlesex County, CT","09007","30-34 years","30-34",533
,"Middlesex County, CT","09007","35-39 years","35-39",266
,"Middlesex County, CT","09007","40-44 years","40-44",61
,"Middlesex County, CT","09007","45-49 years","45-49",0
,"Middlesex County, CT","09007","50 years and over","50+",0
,"New Haven County, CT","09009","Under 15 years","15",Suppressed
,"New Haven County, CT","09009","15-19 years","15-19",255
,"New Haven County, CT","09009","20-24 years","20-24",1200
,"New Haven County, CT","09009","25-29 years","25-29",1994
,"New Haven County, CT","09009","30-34 years","30-34",2869
,"New Haven County, CT","09009","35-39 years","35-39",1536
