"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Allen County, IN","18003","Under 15 years","15",Suppressed
,"Allen County, IN","18003","15-19 years","15-19",274
,"Allen County, IN","18003","20-24 years","20-24",1108
,"Allen County, IN","18003","25-29 years","25-29",1721
,"Allen County, IN","18003","30-34 years","30-34",1408
,"Allen County, IN","18003","35-39 years","35-39",548
,"Allen County, IN","18003","40-44 years","40-44",124
,"Allen County, IN","18003","45-49 years","45-49",12
,"Allen County, IN","18003","50 years and over","50+",0
,"Clark County, IN","18019","Under 15 years","15",Suppressed
,"Clark County, IN","18019","15-19 years","15-19",45
,"Clark County, IN","18019","20-24 years","20-24",331
,"Clark County, IN","18019","25-29 years","25-29",460
,"Clark County, IN","18019","30-34 years","30-34",351
,"Clark County, IN","18019","35-39 years","35-39",139
,"Clark County, IN","18019","40-44 years","40-44",29
,"Clark County, IN","18019","45-49 years","45-49",0
,"Clark County, IN","18019","50 years and over","50+",0
,"Delaware County, IN","18035","Under 15 years","15",0
,"Delaware County, IN","18035","15-19 years","15-19",72
,"Delaware County, IN","18035","20-24 years","20-24",283
,"Delaware County, IN","18035","25-29 years","25-29",367
,"Delaware County, IN","18035","30-34 years","30-34",231
,"Delaware County, IN","18035","35-39 years","35-39",94
,"Delaware County, IN","18035","40-44 years","40-44",20
,"Delaware County, IN","18035","45-49 years","45-49",0
,"Delaware County, IN","18035","50 years and over","50+",0
,"Elkhart County, IN","18039","Under 15 years","15",Suppressed
,"Elkhart County, IN","18039","15-19 years","15-19",181
,"Elkhart County, IN","18039","20-24 years","20-24",787
,"Elkhart County, IN","18039","25-29 years","25-29",915
,"Elkhart County, IN","18039","30-34 years","30-34",696
,"Elkhart County, IN","18039","35-39 years","35-39",258
,"Elkhart County, IN","18039","40-44 years","40-44",53
,"Elkhart County, IN","18039","45-49 years","45-49",Suppressed
,"Elkhart County, IN","18039","50 years and over","50+",0
,"Hamilton County, IN","18057","Under 15 years","15",Suppressed
,"Hamilton County, IN","18057","15-19 years","15-19",43
,"Hamilton County, IN","18057","20-24 years","20-24",273
,"Hamilton County, IN","18057","25-29 years","25-29",895
,"Hamilton County, IN","18057","30-34 years","30-34",1521
,"Hamilton County, IN","18057","35-39 years","35-39",744
,"Hamilton County, IN","18057","40-44 years","40-44",112
,"Hamilton County, IN","18057","45-49 years","45-49",Suppressed
,"Hamilton County, IN","18057","50 years and over","50+",0
,"Hendricks County, IN","18063","Under 15 years","15",0
,"Hendricks County, IN","18063","15-19 years","15-19",38
,"Hendricks County, IN","18063","20-24 years","20-24",227
,"Hendricks County, IN","18063","25-29 years","25-29",571
,"Hendricks County, IN","18063","30-34 years","30-34",582
,"Hendricks County, IN","18063","35-39 years","35-39",254
,"Hendricks County, IN","18063","40-44 years","40-44",34
,"Hendricks County, IN","18063","45-49 years","45-49",Suppressed
,"Hendricks County, IN","18063","50 years and over","50+",0
,"Johnson County, IN","18081","Under 15 years","15",0
,"Johnson County, IN","18081","15-19 years","15-19",62
,"Johnson County, IN","18081","20-24 years","20-24",339
,"Johnson County, IN","18081","25-29 years","25-29",613
,"Johnson County, IN","18081","30-34 years","30-34",561
,"Johnson County, IN","18081","35-39 years","35-39",204
,"Johnson County, IN","18081","40-44 years","40-44",37
,"Johnson County, IN","18081","45-49 years","45-49",Suppressed
,"Johnson County, IN","18081","50 years and over","50+",0
,"Lake County, IN","18089","Under 15 years","15",Suppressed
,"Lake County, IN","18089","15-19 years","15-19",280
,"Lake County, IN","18089","20-24 years","20-24",1121
,"Lake County, IN","18089","25-29 years","25-29",1686
,"Lake County, IN","18089","30-34 years","30-34",1499
,"Lake County, IN","18089","35-39 years","35-39",687
,"Lake County, IN","18089","40-44 years","40-44",159
,"Lake County, IN","18089","45-49 years","45-49",Suppressed
,"Lake County, IN","18089","50 years and over","50+",Suppressed
,"La Porte County, IN","18091","Under 15 years","15",Suppressed
,"La Porte County, IN","18091","15-19 years","15-19",68
,"La Porte County, IN","18091","20-24 years","20-24",332
,"La Porte County, IN","18091","25-29 years","25-29",364
,"La Porte County, IN","18091","30-34 years","30-34",248
,"La Porte County, IN","18091","35-39 years","35-39",112
,"La Porte County, IN","18091","40-44 years","40-44",16
,"La Porte County, IN","18091","45-49 years","45-49",Suppressed
,"La Porte County, IN","18091","50 years and over","50+",0
,"Madison County, IN","18095","Under 15 years","15",0
,"Madison County, IN","18095","15-19 years","15-19",100
,"Madison County, IN","18095","20-24 years","20-24",418
,"Madison County, IN","18095","25-29 years","25-29",438
,"Madison County, IN","18095","30-34 years","30-34",330
,"Madison County, IN","18095","35-39 years","35-39",107
,"Madison County, IN","18095","40-44 years","40-44",25
,"Madison County, IN","18095","45-49 years","45-49",0
,"Madison County, IN","18095","50 years and over","50+",0
,"Marion County, IN","18097","Under 15 years","15",Suppressed
,"Marion County, IN","18097","15-19 years","15-19",783
,"Marion County, IN","18097","20-24 years","20-24",2988
,"Marion County, IN","18097","25-29 years","25-29",4144
,"Marion County, IN","18097","30-34 years","30-34",3670
,"Marion County, IN","18097","35-39 years","35-39",1720
,"Marion County, IN","18097","40-44 years","40-44",365
,"Marion County, IN","18097","45-49 years","45-49",19
,"Marion County, IN","18097","50 years and over","50+",Suppressed
,"Monroe County, IN","18105","Under 15 years","15",Suppressed
,"Monroe County, IN","18105","15-19 years","15-19",38
,"Monroe County, IN","18105","20-24 years","20-24",198
,"Monroe County, IN","18105","25-29 years","25-29",329
,"Monroe County, IN","18105","30-34 years","30-34",357
,"Monroe County, IN","18105","35-39 years","35-39",162
,"Monroe County, IN","18105","40-44 years","40-44",31
,"Monroe County, IN","18105","45-49 years","45-49",0
,"Monroe County, IN","18105","50 years and over","50+",Suppressed
,"Porter County, IN","18127","Under 15 years","15",0
