"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Douglas County, KS","20045","Under 15 years","15",0
,"Douglas County, KS","20045","15-19 years","15-19",42
,"Douglas County, KS","20045","20-24 years","20-24",173
,"Douglas County, KS","20045","25-29 years","25-29",286
,"Douglas County, KS","20045","30-34 years","30-34",345
,"Douglas County, KS","20045","35-39 years","35-39",144
,"Douglas County, KS","20045","40-44 years","40-44",27
,"Douglas County, KS","20045","45-49 years","45-49",Suppressed
,"Douglas County, KS","20045","50 years and over","50+",0
,"Johnson County, KS","20091","Under 15 years","15",Suppressed
,"Johnson County, KS","20091","15-19 years","15-19",148
,"Johnson County, KS","20091","20-24 years","20-24",603
,"Johnson County, KS","20091","25-29 years","25-29",1819
,"Johnson County, KS","20091","30-34 years","30-34",2738
,"Johnson County, KS","20091","35-39 years","35-39",1287
,"Johnson County, KS","20091","40-44 years","40-44",218
,"Johnson County, KS","20091","45-49 years","45-49",16
,"Johnson County, KS","20091","50 years and over","50+",0
,"Sedgwick County, KS","20173","Under 15 years","15",Suppressed
,"Sedgwick County, KS","20173","15-19 years","15-19",380
,"Sedgwick County, KS","20173","20-24 years","20-24",1541
,"Sedgwick County, KS","20173","25-29 years","25-29",2007
,"Sedgwick County, KS","20173","30-34 years","30-34",1681
,"Sedgwick County, KS","20173","35-39 years","35-39",767
,"Sedgwick County, KS","20173","40-44 years","40-44",131
,"Sedgwick County, KS","20173","45-49 years","45-49",10
,"Sedgwick County, KS","20173","50 years and over","50+",0
,"Shawnee County, KS","20177","Under 15 years","15",Suppressed
,"Shawnee County, KS","20177","15-19 years","15-19",137
,"Shawnee County, KS","20177","20-24 years","20-24",478
,"Shawnee County, KS","20177","25-29 years","25-29",632
,"Shawnee County, KS","20177","30-34 years","30-34",493
,"Shawnee County, KS","20177","35-39 years","35-39",209
,"Shawnee County, KS","20177","40-44 years","40-44",41
,"Shawnee County, KS","20177","45-49 years","45-49",Suppressed
,"Shawnee County, KS","20177","50 years and over","50+",0
,"Wyandotte County, KS","20209","Under 15 years","15",0
,"Wyandotte County, KS","20209","15-19 years","15-19",203
,"Wyandotte County, KS","20209","20-24 years","20-24",677
,"Wyandotte County, KS","20209","25-29 years","25-29",737
,"Wyandotte County, KS","20209","30-34 years","30-34",548
,"Wyandotte County, KS","20209","35-39 years","35-39",252
,"Wyandotte County, KS","20209","40-44 years","40-44",57
,"Wyandotte County, KS","20209","45-49 years","45-49",Suppressed
,"Wyandotte County, KS","20209","50 years and over","50+",0
,"Unidentified Counties, KS","20999","Under 15 years","15",10
,"Unidentified Counties, KS","20999","15-19 years","15-19",839
,"Unidentified Counties, KS","20999","20-24 years","20-24",3892
,"Unidentified Counties, KS","20999","25-29 years","25-29",5167
,"Unidentified Counties, KS","20999","30-34 years","30-34",3796
,"Unidentified Counties, KS","20999","35-39 years","35-39",1538
,"Unidentified Counties, KS","20999","40-44 years","40-44",278
,"Unidentified Counties, KS","20999","45-49 years","45-49",12
,"Unidentified Counties, KS","20999","50 years and over","50+",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Kansas (20)"
"Year: 2020"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 7:57:39 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 7:57:39 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
