"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bell County, TX","48027","Under 15 years","15",Suppressed
,"Bell County, TX","48027","15-19 years","15-19",322
,"Bell County, TX","48027","20-24 years","20-24",1895
,"Bell County, TX","48027","25-29 years","25-29",1894
,"Bell County, TX","48027","30-34 years","30-34",1299
,"Bell County, TX","48027","35-39 years","35-39",556
,"Bell County, TX","48027","40-44 years","40-44",120
,"Bell County, TX","48027","45-49 years","45-49",Suppressed
,"Bell County, TX","48027","50 years and over","50+",0
,"Bexar County, TX","48029","Under 15 years","15",18
,"Bexar County, TX","48029","15-19 years","15-19",1568
,"Bexar County, TX","48029","20-24 years","20-24",5450
,"Bexar County, TX","48029","25-29 years","25-29",7430
,"Bexar County, TX","48029","30-34 years","30-34",6669
,"Bexar County, TX","48029","35-39 years","35-39",3361
,"Bexar County, TX","48029","40-44 years","40-44",686
,"Bexar County, TX","48029","45-49 years","45-49",41
,"Bexar County, TX","48029","50 years and over","50+",Suppressed
,"Brazoria County, TX","48039","Under 15 years","15",0
,"Brazoria County, TX","48039","15-19 years","15-19",196
,"Brazoria County, TX","48039","20-24 years","20-24",822
,"Brazoria County, TX","48039","25-29 years","25-29",1355
,"Brazoria County, TX","48039","30-34 years","30-34",1326
,"Brazoria County, TX","48039","35-39 years","35-39",651
,"Brazoria County, TX","48039","40-44 years","40-44",133
,"Brazoria County, TX","48039","45-49 years","45-49",11
,"Brazoria County, TX","48039","50 years and over","50+",Suppressed
,"Brazos County, TX","48041","Under 15 years","15",0
,"Brazos County, TX","48041","15-19 years","15-19",166
,"Brazos County, TX","48041","20-24 years","20-24",607
,"Brazos County, TX","48041","25-29 years","25-29",800
,"Brazos County, TX","48041","30-34 years","30-34",685
,"Brazos County, TX","48041","35-39 years","35-39",320
,"Brazos County, TX","48041","40-44 years","40-44",56
,"Brazos County, TX","48041","45-49 years","45-49",Suppressed
,"Brazos County, TX","48041","50 years and over","50+",0
,"Cameron County, TX","48061","Under 15 years","15",Suppressed
,"Cameron County, TX","48061","15-19 years","15-19",615
,"Cameron County, TX","48061","20-24 years","20-24",1614
,"Cameron County, TX","48061","25-29 years","25-29",1713
,"Cameron County, TX","48061","30-34 years","30-34",1288
,"Cameron County, TX","48061","35-39 years","35-39",628
,"Cameron County, TX","48061","40-44 years","40-44",149
,"Cameron County, TX","48061","45-49 years","45-49",Suppressed
,"Cameron County, TX","48061","50 years and over","50+",0
,"Collin County, TX","48085","Under 15 years","15",Suppressed
,"Collin County, TX","48085","15-19 years","15-19",247
,"Collin County, TX","48085","20-24 years","20-24",1288
,"Collin County, TX","48085","25-29 years","25-29",2977
,"Collin County, TX","48085","30-34 years","30-34",4122
,"Collin County, TX","48085","35-39 years","35-39",2293
,"Collin County, TX","48085","40-44 years","40-44",459
,"Collin County, TX","48085","45-49 years","45-49",21
,"Collin County, TX","48085","50 years and over","50+",Suppressed
,"Comal County, TX","48091","Under 15 years","15",0
,"Comal County, TX","48091","15-19 years","15-19",74
,"Comal County, TX","48091","20-24 years","20-24",272
,"Comal County, TX","48091","25-29 years","25-29",463
,"Comal County, TX","48091","30-34 years","30-34",531
,"Comal County, TX","48091","35-39 years","35-39",277
,"Comal County, TX","48091","40-44 years","40-44",42
,"Comal County, TX","48091","45-49 years","45-49",Suppressed
,"Comal County, TX","48091","50 years and over","50+",Suppressed
