"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Benton County, WA","53005","Hispanic or Latino","2135-2",855
,"Benton County, WA","53005","Not Hispanic or Latino","2186-5",1518
,"Benton County, WA","53005","Unknown or Not Stated","9",123
,"Clark County, WA","53011","Hispanic or Latino","2135-2",770
,"Clark County, WA","53011","Not Hispanic or Latino","2186-5",4415
,"Clark County, WA","53011","Unknown or Not Stated","9",169
,"Cowlitz County, WA","53015","Hispanic or Latino","2135-2",163
,"Cowlitz County, WA","53015","Not Hispanic or Latino","2186-5",1034
,"Cowlitz County, WA","53015","Unknown or Not Stated","9",43
,"King County, WA","53033","Hispanic or Latino","2135-2",3325
,"King County, WA","53033","Not Hispanic or Latino","2186-5",19535
,"King County, WA","53033","Unknown or Not Stated","9",826
,"Kitsap County, WA","53035","Hispanic or Latino","2135-2",412
,"Kitsap County, WA","53035","Not Hispanic or Latino","2186-5",2295
,"Kitsap County, WA","53035","Unknown or Not Stated","9",86
,"Pierce County, WA","53053","Hispanic or Latino","2135-2",1842
,"Pierce County, WA","53053","Not Hispanic or Latino","2186-5",8897
,"Pierce County, WA","53053","Unknown or Not Stated","9",314
,"Skagit County, WA","53057","Hispanic or Latino","2135-2",410
,"Skagit County, WA","53057","Not Hispanic or Latino","2186-5",914
,"Skagit County, WA","53057","Unknown or Not Stated","9",26
,"Snohomish County, WA","53061","Hispanic or Latino","2135-2",1359
,"Snohomish County, WA","53061","Not Hispanic or Latino","2186-5",7473
,"Snohomish County, WA","53061","Unknown or Not Stated","9",491
,"Spokane County, WA","53063","Hispanic or Latino","2135-2",448
,"Spokane County, WA","53063","Not Hispanic or Latino","2186-5",5205
,"Spokane County, WA","53063","Unknown or Not Stated","9",83
,"Thurston County, WA","53067","Hispanic or Latino","2135-2",418
,"Thurston County, WA","53067","Not Hispanic or Latino","2186-5",2486
,"Thurston County, WA","53067","Unknown or Not Stated","9",35
,"Whatcom County, WA","53073","Hispanic or Latino","2135-2",298
,"Whatcom County, WA","53073","Not Hispanic or Latino","2186-5",1648
,"Whatcom County, WA","53073","Unknown or Not Stated","9",59
,"Yakima County, WA","53077","Hispanic or Latino","2135-2",2105
,"Yakima County, WA","53077","Not Hispanic or Latino","2186-5",1219
,"Yakima County, WA","53077","Unknown or Not Stated","9",238
,"Unidentified Counties, WA","53999","Hispanic or Latino","2135-2",3615
,"Unidentified Counties, WA","53999","Not Hispanic or Latino","2186-5",7703
,"Unidentified Counties, WA","53999","Unknown or Not Stated","9",231
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Washington (53)"
"Year: 2020"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 11:17:05 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 11:17:05 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
