"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Adams County, PA","42001","Female","F",431
,"Adams County, PA","42001","Male","M",441
,"Allegheny County, PA","42003","Female","F",5903
,"Allegheny County, PA","42003","Male","M",6201
,"Beaver County, PA","42007","Female","F",760
,"Beaver County, PA","42007","Male","M",766
,"Berks County, PA","42011","Female","F",2080
,"Berks County, PA","42011","Male","M",2280
,"Blair County, PA","42013","Female","F",565
,"Blair County, PA","42013","Male","M",622
,"Bucks County, PA","42017","Female","F",2723
,"Bucks County, PA","42017","Male","M",2739
,"Butler County, PA","42019","Female","F",852
,"Butler County, PA","42019","Male","M",856
,"Cambria County, PA","42021","Female","F",616
,"Cambria County, PA","42021","Male","M",589
,"Centre County, PA","42027","Female","F",513
,"Centre County, PA","42027","Male","M",556
,"Chester County, PA","42029","Female","F",2574
,"Chester County, PA","42029","Male","M",2632
,"Cumberland County, PA","42041","Female","F",1291
,"Cumberland County, PA","42041","Male","M",1311
,"Dauphin County, PA","42043","Female","F",1653
,"Dauphin County, PA","42043","Male","M",1681
,"Delaware County, PA","42045","Female","F",3102
,"Delaware County, PA","42045","Male","M",3179
,"Erie County, PA","42049","Female","F",1234
,"Erie County, PA","42049","Male","M",1374
,"Fayette County, PA","42051","Female","F",625
,"Fayette County, PA","42051","Male","M",658
,"Franklin County, PA","42055","Female","F",821
,"Franklin County, PA","42055","Male","M",814
,"Lackawanna County, PA","42069","Female","F",1004
,"Lackawanna County, PA","42069","Male","M",1050
,"Lancaster County, PA","42071","Female","F",3364
,"Lancaster County, PA","42071","Male","M",3510
,"Lebanon County, PA","42075","Female","F",767
,"Lebanon County, PA","42075","Male","M",778
,"Lehigh County, PA","42077","Female","F",1989
,"Lehigh County, PA","42077","Male","M",2068
,"Luzerne County, PA","42079","Female","F",1562
,"Luzerne County, PA","42079","Male","M",1614
,"Lycoming County, PA","42081","Female","F",554
,"Lycoming County, PA","42081","Male","M",615
,"Mercer County, PA","42085","Female","F",492
,"Mercer County, PA","42085","Male","M",525
,"Monroe County, PA","42089","Female","F",716
,"Monroe County, PA","42089","Male","M",711
,"Montgomery County, PA","42091","Female","F",3986
,"Montgomery County, PA","42091","Male","M",4275
,"Northampton County, PA","42095","Female","F",1422
,"Northampton County, PA","42095","Male","M",1395
,"Philadelphia County, PA","42101","Female","F",9737
,"Philadelphia County, PA","42101","Male","M",10159
,"Schuylkill County, PA","42107","Female","F",647
,"Schuylkill County, PA","42107","Male","M",636
,"Washington County, PA","42125","Female","F",943
,"Washington County, PA","42125","Male","M",939
,"Westmoreland County, PA","42129","Female","F",1370
,"Westmoreland County, PA","42129","Male","M",1402
,"York County, PA","42133","Female","F",2271
,"York County, PA","42133","Male","M",2379
,"Unidentified Counties, PA","42999","Female","F",7492
,"Unidentified Counties, PA","42999","Male","M",7879
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Pennsylvania (42)"
"Year: 2020"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 9:17:48 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 9:17:48 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
