"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Bartow County, GA","13015","American Indian or Alaska Native","1002-5",Suppressed
,"Bartow County, GA","13015","Asian","A",19
,"Bartow County, GA","13015","Black or African American","2054-5",152
,"Bartow County, GA","13015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bartow County, GA","13015","White","2106-3",1086
,"Bartow County, GA","13015","More than one race","M",34
,"Bartow County, GA","13015","Unknown or Not Stated","UNK",0
,"Bartow County, GA","13015","Not Available","NA",0
,"Bartow County, GA","13015","Not Reported","NR",0
,"Bibb County, GA","13021","American Indian or Alaska Native","1002-5",Suppressed
,"Bibb County, GA","13021","Asian","A",35
,"Bibb County, GA","13021","Black or African American","2054-5",1338
,"Bibb County, GA","13021","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Bibb County, GA","13021","White","2106-3",678
,"Bibb County, GA","13021","More than one race","M",52
,"Bibb County, GA","13021","Unknown or Not Stated","UNK",0
,"Bibb County, GA","13021","Not Available","NA",0
,"Bibb County, GA","13021","Not Reported","NR",0
,"Carroll County, GA","13045","American Indian or Alaska Native","1002-5",Suppressed
,"Carroll County, GA","13045","Asian","A",24
,"Carroll County, GA","13045","Black or African American","2054-5",348
,"Carroll County, GA","13045","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Carroll County, GA","13045","White","2106-3",1194
,"Carroll County, GA","13045","More than one race","M",54
,"Carroll County, GA","13045","Unknown or Not Stated","UNK",0
,"Carroll County, GA","13045","Not Available","NA",0
,"Carroll County, GA","13045","Not Reported","NR",0
,"Chatham County, GA","13051","American Indian or Alaska Native","1002-5",Suppressed
,"Chatham County, GA","13051","Asian","A",112
,"Chatham County, GA","13051","Black or African American","2054-5",1585
,"Chatham County, GA","13051","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Chatham County, GA","13051","White","2106-3",1697
,"Chatham County, GA","13051","More than one race","M",87
,"Chatham County, GA","13051","Unknown or Not Stated","UNK",0
,"Chatham County, GA","13051","Not Available","NA",0
,"Chatham County, GA","13051","Not Reported","NR",0
,"Cherokee County, GA","13057","American Indian or Alaska Native","1002-5",Suppressed
,"Cherokee County, GA","13057","Asian","A",51
,"Cherokee County, GA","13057","Black or African American","2054-5",184
,"Cherokee County, GA","13057","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cherokee County, GA","13057","White","2106-3",2235
,"Cherokee County, GA","13057","More than one race","M",52
,"Cherokee County, GA","13057","Unknown or Not Stated","UNK",0
,"Cherokee County, GA","13057","Not Available","NA",0
,"Cherokee County, GA","13057","Not Reported","NR",0
,"Clarke County, GA","13059","American Indian or Alaska Native","1002-5",Suppressed
,"Clarke County, GA","13059","Asian","A",45
,"Clarke County, GA","13059","Black or African American","2054-5",459
,"Clarke County, GA","13059","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Clarke County, GA","13059","White","2106-3",762
,"Clarke County, GA","13059","More than one race","M",31
