"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Allen County, IN","18003","American Indian or Alaska Native","1002-5",Suppressed
,"Allen County, IN","18003","Asian","A",377
,"Allen County, IN","18003","Black or African American","2054-5",775
,"Allen County, IN","18003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Allen County, IN","18003","White","2106-3",3888
,"Allen County, IN","18003","More than one race","M",151
,"Allen County, IN","18003","Unknown or Not Stated","UNK",0
,"Allen County, IN","18003","Not Available","NA",0
,"Allen County, IN","18003","Not Reported","NR",0
,"Clark County, IN","18019","American Indian or Alaska Native","1002-5",Suppressed
,"Clark County, IN","18019","Asian","A",21
,"Clark County, IN","18019","Black or African American","2054-5",108
,"Clark County, IN","18019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Clark County, IN","18019","White","2106-3",1191
,"Clark County, IN","18019","More than one race","M",32
,"Clark County, IN","18019","Unknown or Not Stated","UNK",0
,"Clark County, IN","18019","Not Available","NA",0
,"Clark County, IN","18019","Not Reported","NR",0
,"Delaware County, IN","18035","American Indian or Alaska Native","1002-5",Suppressed
,"Delaware County, IN","18035","Asian","A",16
,"Delaware County, IN","18035","Black or African American","2054-5",119
,"Delaware County, IN","18035","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Delaware County, IN","18035","White","2106-3",895
,"Delaware County, IN","18035","More than one race","M",34
,"Delaware County, IN","18035","Unknown or Not Stated","UNK",0
,"Delaware County, IN","18035","Not Available","NA",0
,"Delaware County, IN","18035","Not Reported","NR",0
,"Elkhart County, IN","18039","American Indian or Alaska Native","1002-5",Suppressed
,"Elkhart County, IN","18039","Asian","A",26
,"Elkhart County, IN","18039","Black or African American","2054-5",199
,"Elkhart County, IN","18039","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Elkhart County, IN","18039","White","2106-3",2626
,"Elkhart County, IN","18039","More than one race","M",44
,"Elkhart County, IN","18039","Unknown or Not Stated","UNK",0
,"Elkhart County, IN","18039","Not Available","NA",0
,"Elkhart County, IN","18039","Not Reported","NR",0
,"Hamilton County, IN","18057","American Indian or Alaska Native","1002-5",Suppressed
,"Hamilton County, IN","18057","Asian","A",274
,"Hamilton County, IN","18057","Black or African American","2054-5",171
,"Hamilton County, IN","18057","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hamilton County, IN","18057","White","2106-3",3084
,"Hamilton County, IN","18057","More than one race","M",59
