"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Anoka County, MN","27003","American Indian or Alaska Native","1002-5",21
,"Anoka County, MN","27003","Asian","A",381
,"Anoka County, MN","27003","Black or African American","2054-5",559
,"Anoka County, MN","27003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Anoka County, MN","27003","White","2106-3",2903
,"Anoka County, MN","27003","More than one race","M",129
,"Anoka County, MN","27003","Unknown or Not Stated","UNK",0
,"Anoka County, MN","27003","Not Available","NA",0
,"Anoka County, MN","27003","Not Reported","NR",0
,"Dakota County, MN","27037","American Indian or Alaska Native","1002-5",35
,"Dakota County, MN","27037","Asian","A",393
,"Dakota County, MN","27037","Black or African American","2054-5",717
,"Dakota County, MN","27037","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Dakota County, MN","27037","White","2106-3",3604
,"Dakota County, MN","27037","More than one race","M",195
,"Dakota County, MN","27037","Unknown or Not Stated","UNK",0
,"Dakota County, MN","27037","Not Available","NA",0
,"Dakota County, MN","27037","Not Reported","NR",0
,"Hennepin County, MN","27053","American Indian or Alaska Native","1002-5",177
,"Hennepin County, MN","27053","Asian","A",1488
,"Hennepin County, MN","27053","Black or African American","2054-5",3381
,"Hennepin County, MN","27053","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hennepin County, MN","27053","White","2106-3",9252
,"Hennepin County, MN","27053","More than one race","M",530
,"Hennepin County, MN","27053","Unknown or Not Stated","UNK",0
,"Hennepin County, MN","27053","Not Available","NA",0
,"Hennepin County, MN","27053","Not Reported","NR",0
,"Olmsted County, MN","27109","American Indian or Alaska Native","1002-5",Suppressed
,"Olmsted County, MN","27109","Asian","A",145
,"Olmsted County, MN","27109","Black or African American","2054-5",252
,"Olmsted County, MN","27109","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Olmsted County, MN","27109","White","2106-3",1473
,"Olmsted County, MN","27109","More than one race","M",41
,"Olmsted County, MN","27109","Unknown or Not Stated","UNK",0
,"Olmsted County, MN","27109","Not Available","NA",0
,"Olmsted County, MN","27109","Not Reported","NR",0
,"Ramsey County, MN","27123","American Indian or Alaska Native","1002-5",54
,"Ramsey County, MN","27123","Asian","A",1715
,"Ramsey County, MN","27123","Black or African American","2054-5",1517
,"Ramsey County, MN","27123","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ramsey County, MN","27123","White","2106-3",3352
,"Ramsey County, MN","27123","More than one race","M",301
,"Ramsey County, MN","27123","Unknown or Not Stated","UNK",0
,"Ramsey County, MN","27123","Not Available","NA",0
,"Ramsey County, MN","27123","Not Reported","NR",0
,"St. Louis County, MN","27137","American Indian or Alaska Native","1002-5",62
,"St. Louis County, MN","27137","Asian","A",20
,"St. Louis County, MN","27137","Black or African American","2054-5",48
,"St. Louis County, MN","27137","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"St. Louis County, MN","27137","White","2106-3",1541
,"St. Louis County, MN","27137","More than one race","M",92
,"St. Louis County, MN","27137","Unknown or Not Stated","UNK",0
,"St. Louis County, MN","27137","Not Available","NA",0
,"St. Louis County, MN","27137","Not Reported","NR",0
,"Scott County, MN","27139","American Indian or Alaska Native","1002-5",17
,"Scott County, MN","27139","Asian","A",141
,"Scott County, MN","27139","Black or African American","2054-5",172
,"Scott County, MN","27139","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Scott County, MN","27139","White","2106-3",1264
,"Scott County, MN","27139","More than one race","M",47
,"Scott County, MN","27139","Unknown or Not Stated","UNK",0
,"Scott County, MN","27139","Not Available","NA",0
,"Scott County, MN","27139","Not Reported","NR",0
,"Stearns County, MN","27145","American Indian or Alaska Native","1002-5",Suppressed
,"Stearns County, MN","27145","Asian","A",31
,"Stearns County, MN","27145","Black or African American","2054-5",463
,"Stearns County, MN","27145","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Stearns County, MN","27145","White","2106-3",1443
,"Stearns County, MN","27145","More than one race","M",37
,"Stearns County, MN","27145","Unknown or Not Stated","UNK",0
,"Stearns County, MN","27145","Not Available","NA",0
,"Stearns County, MN","27145","Not Reported","NR",0
,"Washington County, MN","27163","American Indian or Alaska Native","1002-5",19
,"Washington County, MN","27163","Asian","A",314
,"Washington County, MN","27163","Black or African American","2054-5",221
,"Washington County, MN","27163","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Washington County, MN","27163","White","2106-3",2020
,"Washington County, MN","27163","More than one race","M",94
,"Washington County, MN","27163","Unknown or Not Stated","UNK",0
,"Washington County, MN","27163","Not Available","NA",0
,"Washington County, MN","27163","Not Reported","NR",0
,"Wright County, MN","27171","American Indian or Alaska Native","1002-5",Suppressed
,"Wright County, MN","27171","Asian","A",32
,"Wright County, MN","27171","Black or African American","2054-5",66
,"Wright County, MN","27171","Native Hawaiian or Other Pacific Islander","NHOPI",0
