"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Alamance County, NC","37001","American Indian or Alaska Native","1002-5",18
,"Alamance County, NC","37001","Asian","A",40
,"Alamance County, NC","37001","Black or African American","2054-5",490
,"Alamance County, NC","37001","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Alamance County, NC","37001","White","2106-3",1221
,"Alamance County, NC","37001","More than one race","M",52
,"Alamance County, NC","37001","Unknown or Not Stated","UNK",0
,"Alamance County, NC","37001","Not Available","NA",0
,"Alamance County, NC","37001","Not Reported","NR",0
,"Brunswick County, NC","37019","American Indian or Alaska Native","1002-5",11
,"Brunswick County, NC","37019","Asian","A",Suppressed
,"Brunswick County, NC","37019","Black or African American","2054-5",127
,"Brunswick County, NC","37019","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Brunswick County, NC","37019","White","2106-3",821
,"Brunswick County, NC","37019","More than one race","M",30
,"Brunswick County, NC","37019","Unknown or Not Stated","UNK",0
,"Brunswick County, NC","37019","Not Available","NA",0
,"Brunswick County, NC","37019","Not Reported","NR",0
,"Buncombe County, NC","37021","American Indian or Alaska Native","1002-5",Suppressed
,"Buncombe County, NC","37021","Asian","A",38
,"Buncombe County, NC","37021","Black or African American","2054-5",175
,"Buncombe County, NC","37021","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Buncombe County, NC","37021","White","2106-3",2036
,"Buncombe County, NC","37021","More than one race","M",55
,"Buncombe County, NC","37021","Unknown or Not Stated","UNK",0
,"Buncombe County, NC","37021","Not Available","NA",0
,"Buncombe County, NC","37021","Not Reported","NR",0
,"Cabarrus County, NC","37025","American Indian or Alaska Native","1002-5",Suppressed
,"Cabarrus County, NC","37025","Asian","A",210
,"Cabarrus County, NC","37025","Black or African American","2054-5",616
,"Cabarrus County, NC","37025","Native Hawaiian or Other Pacific Islander","NHOPI",11
,"Cabarrus County, NC","37025","White","2106-3",1616
,"Cabarrus County, NC","37025","More than one race","M",79
,"Cabarrus County, NC","37025","Unknown or Not Stated","UNK",0
,"Cabarrus County, NC","37025","Not Available","NA",0
,"Cabarrus County, NC","37025","Not Reported","NR",0
,"Catawba County, NC","37035","American Indian or Alaska Native","1002-5",11
,"Catawba County, NC","37035","Asian","A",117
,"Catawba County, NC","37035","Black or African American","2054-5",207
,"Catawba County, NC","37035","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Catawba County, NC","37035","White","2106-3",1201
,"Catawba County, NC","37035","More than one race","M",52
,"Catawba County, NC","37035","Unknown or Not Stated","UNK",0
,"Catawba County, NC","37035","Not Available","NA",0
,"Catawba County, NC","37035","Not Reported","NR",0
,"Craven County, NC","37049","American Indian or Alaska Native","1002-5",Suppressed
,"Craven County, NC","37049","Asian","A",57
,"Craven County, NC","37049","Black or African American","2054-5",278
,"Craven County, NC","37049","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Craven County, NC","37049","White","2106-3",902
,"Craven County, NC","37049","More than one race","M",65
,"Craven County, NC","37049","Unknown or Not Stated","UNK",0
,"Craven County, NC","37049","Not Available","NA",0
,"Craven County, NC","37049","Not Reported","NR",0
,"Cumberland County, NC","37051","American Indian or Alaska Native","1002-5",83
,"Cumberland County, NC","37051","Asian","A",144
,"Cumberland County, NC","37051","Black or African American","2054-5",2087
,"Cumberland County, NC","37051","Native Hawaiian or Other Pacific Islander","NHOPI",40
,"Cumberland County, NC","37051","White","2106-3",2387
,"Cumberland County, NC","37051","More than one race","M",377
,"Cumberland County, NC","37051","Unknown or Not Stated","UNK",0
,"Cumberland County, NC","37051","Not Available","NA",0
,"Cumberland County, NC","37051","Not Reported","NR",0
,"Davidson County, NC","37057","American Indian or Alaska Native","1002-5",13
,"Davidson County, NC","37057","Asian","A",41
,"Davidson County, NC","37057","Black or African American","2054-5",240
,"Davidson County, NC","37057","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Davidson County, NC","37057","White","2106-3",1350
,"Davidson County, NC","37057","More than one race","M",49
,"Davidson County, NC","37057","Unknown or Not Stated","UNK",0
,"Davidson County, NC","37057","Not Available","NA",0
,"Davidson County, NC","37057","Not Reported","NR",0
,"Durham County, NC","37063","American Indian or Alaska Native","1002-5",32
,"Durham County, NC","37063","Asian","A",264
,"Durham County, NC","37063","Black or African American","2054-5",1329
,"Durham County, NC","37063","Native Hawaiian or Other Pacific Islander","NHOPI",20
,"Durham County, NC","37063","White","2106-3",2257
,"Durham County, NC","37063","More than one race","M",110
,"Durham County, NC","37063","Unknown or Not Stated","UNK",0
,"Durham County, NC","37063","Not Available","NA",0
,"Durham County, NC","37063","Not Reported","NR",0
,"Forsyth County, NC","37067","American Indian or Alaska Native","1002-5",30
,"Forsyth County, NC","37067","Asian","A",129
,"Forsyth County, NC","37067","Black or African American","2054-5",1411
,"Forsyth County, NC","37067","Native Hawaiian or Other Pacific Islander","NHOPI",28
,"Forsyth County, NC","37067","White","2106-3",2567
,"Forsyth County, NC","37067","More than one race","M",123
,"Forsyth County, NC","37067","Unknown or Not Stated","UNK",0
,"Forsyth County, NC","37067","Not Available","NA",0
,"Forsyth County, NC","37067","Not Reported","NR",0
,"Gaston County, NC","37071","American Indian or Alaska Native","1002-5",Suppressed
,"Gaston County, NC","37071","Asian","A",49
,"Gaston County, NC","37071","Black or African American","2054-5",617
,"Gaston County, NC","37071","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Gaston County, NC","37071","White","2106-3",1785
,"Gaston County, NC","37071","More than one race","M",86
,"Gaston County, NC","37071","Unknown or Not Stated","UNK",0
,"Gaston County, NC","37071","Not Available","NA",0
,"Gaston County, NC","37071","Not Reported","NR",0
,"Guilford County, NC","37081","American Indian or Alaska Native","1002-5",29
,"Guilford County, NC","37081","Asian","A",447
,"Guilford County, NC","37081","Black or African American","2054-5",2579
,"Guilford County, NC","37081","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Guilford County, NC","37081","White","2106-3",2638
,"Guilford County, NC","37081","More than one race","M",219
,"Guilford County, NC","37081","Unknown or Not Stated","UNK",0
,"Guilford County, NC","37081","Not Available","NA",0
,"Guilford County, NC","37081","Not Reported","NR",0
,"Harnett County, NC","37085","American Indian or Alaska Native","1002-5",18
,"Harnett County, NC","37085","Asian","A",24
,"Harnett County, NC","37085","Black or African American","2054-5",435
,"Harnett County, NC","37085","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Harnett County, NC","37085","White","2106-3",1304
,"Harnett County, NC","37085","More than one race","M",77
,"Harnett County, NC","37085","Unknown or Not Stated","UNK",0
,"Harnett County, NC","37085","Not Available","NA",0
,"Harnett County, NC","37085","Not Reported","NR",0
,"Henderson County, NC","37089","American Indian or Alaska Native","1002-5",Suppressed
,"Henderson County, NC","37089","Asian","A",17
,"Henderson County, NC","37089","Black or African American","2054-5",47
,"Henderson County, NC","37089","Native Hawaiian or Other Pacific Islander","NHOPI",14
,"Henderson County, NC","37089","White","2106-3",902
,"Henderson County, NC","37089","More than one race","M",22
,"Henderson County, NC","37089","Unknown or Not Stated","UNK",0
,"Henderson County, NC","37089","Not Available","NA",0
,"Henderson County, NC","37089","Not Reported","NR",0
,"Iredell County, NC","37097","American Indian or Alaska Native","1002-5",12
,"Iredell County, NC","37097","Asian","A",76
,"Iredell County, NC","37097","Black or African American","2054-5",317
,"Iredell County, NC","37097","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Iredell County, NC","37097","White","2106-3",1428
,"Iredell County, NC","37097","More than one race","M",58
,"Iredell County, NC","37097","Unknown or Not Stated","UNK",0
,"Iredell County, NC","37097","Not Available","NA",0
,"Iredell County, NC","37097","Not Reported","NR",0
,"Johnston County, NC","37101","American Indian or Alaska Native","1002-5",21
,"Johnston County, NC","37101","Asian","A",38
,"Johnston County, NC","37101","Black or African American","2054-5",546
,"Johnston County, NC","37101","Native Hawaiian or Other Pacific Islander","NHOPI",12
,"Johnston County, NC","37101","White","2106-3",1811
,"Johnston County, NC","37101","More than one race","M",59
,"Johnston County, NC","37101","Unknown or Not Stated","UNK",0
,"Johnston County, NC","37101","Not Available","NA",0
,"Johnston County, NC","37101","Not Reported","NR",0
,"Mecklenburg County, NC","37119","American Indian or Alaska Native","1002-5",51
,"Mecklenburg County, NC","37119","Asian","A",1235
,"Mecklenburg County, NC","37119","Black or African American","2054-5",5112
