"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Albany County, NY","36001","Under 15 years","15",Suppressed
,"Albany County, NY","36001","15-19 years","15-19",72
,"Albany County, NY","36001","20-24 years","20-24",336
,"Albany County, NY","36001","25-29 years","25-29",671
,"Albany County, NY","36001","30-34 years","30-34",1061
,"Albany County, NY","36001","35-39 years","35-39",604
,"Albany County, NY","36001","40-44 years","40-44",105
,"Albany County, NY","36001","45-49 years","45-49",Suppressed
,"Albany County, NY","36001","50 years and over","50+",Suppressed
,"Bronx County, NY","36005","Under 15 years","15",11
,"Bronx County, NY","36005","15-19 years","15-19",692
,"Bronx County, NY","36005","20-24 years","20-24",2996
,"Bronx County, NY","36005","25-29 years","25-29",4794
,"Bronx County, NY","36005","30-34 years","30-34",4944
,"Bronx County, NY","36005","35-39 years","35-39",2872
,"Bronx County, NY","36005","40-44 years","40-44",828
,"Bronx County, NY","36005","45-49 years","45-49",53
,"Bronx County, NY","36005","50 years and over","50+",15
,"Broome County, NY","36007","Under 15 years","15",Suppressed
,"Broome County, NY","36007","15-19 years","15-19",70
,"Broome County, NY","36007","20-24 years","20-24",340
,"Broome County, NY","36007","25-29 years","25-29",531
,"Broome County, NY","36007","30-34 years","30-34",587
,"Broome County, NY","36007","35-39 years","35-39",272
,"Broome County, NY","36007","40-44 years","40-44",45
,"Broome County, NY","36007","45-49 years","45-49",Suppressed
,"Broome County, NY","36007","50 years and over","50+",0
,"Chautauqua County, NY","36013","Under 15 years","15",Suppressed
,"Chautauqua County, NY","36013","15-19 years","15-19",89
,"Chautauqua County, NY","36013","20-24 years","20-24",314
,"Chautauqua County, NY","36013","25-29 years","25-29",402
,"Chautauqua County, NY","36013","30-34 years","30-34",288
,"Chautauqua County, NY","36013","35-39 years","35-39",133
,"Chautauqua County, NY","36013","40-44 years","40-44",23
,"Chautauqua County, NY","36013","45-49 years","45-49",Suppressed
,"Chautauqua County, NY","36013","50 years and over","50+",0
,"Dutchess County, NY","36027","Under 15 years","15",Suppressed
,"Dutchess County, NY","36027","15-19 years","15-19",46
,"Dutchess County, NY","36027","20-24 years","20-24",283
,"Dutchess County, NY","36027","25-29 years","25-29",616
,"Dutchess County, NY","36027","30-34 years","30-34",944
,"Dutchess County, NY","36027","35-39 years","35-39",623
,"Dutchess County, NY","36027","40-44 years","40-44",131
,"Dutchess County, NY","36027","45-49 years","45-49",16
,"Dutchess County, NY","36027","50 years and over","50+",Suppressed
,"Erie County, NY","36029","Under 15 years","15",Suppressed
,"Erie County, NY","36029","15-19 years","15-19",279
,"Erie County, NY","36029","20-24 years","20-24",1311
,"Erie County, NY","36029","25-29 years","25-29",2551
,"Erie County, NY","36029","30-34 years","30-34",3455
,"Erie County, NY","36029","35-39 years","35-39",1599
,"Erie County, NY","36029","40-44 years","40-44",313
,"Erie County, NY","36029","45-49 years","45-49",18
,"Erie County, NY","36029","50 years and over","50+",Suppressed
,"Jefferson County, NY","36045","Under 15 years","15",Suppressed
,"Jefferson County, NY","36045","15-19 years","15-19",81
,"Jefferson County, NY","36045","20-24 years","20-24",549
,"Jefferson County, NY","36045","25-29 years","25-29",577
,"Jefferson County, NY","36045","30-34 years","30-34",409
,"Jefferson County, NY","36045","35-39 years","35-39",165
,"Jefferson County, NY","36045","40-44 years","40-44",31
,"Jefferson County, NY","36045","45-49 years","45-49",0
,"Jefferson County, NY","36045","50 years and over","50+",0
,"Kings County, NY","36047","Under 15 years","15",Suppressed
,"Kings County, NY","36047","15-19 years","15-19",637
,"Kings County, NY","36047","20-24 years","20-24",5590
,"Kings County, NY","36047","25-29 years","25-29",7776
,"Kings County, NY","36047","30-34 years","30-34",9801
,"Kings County, NY","36047","35-39 years","35-39",7442
,"Kings County, NY","36047","40-44 years","40-44",2097
,"Kings County, NY","36047","45-49 years","45-49",172
,"Kings County, NY","36047","50 years and over","50+",20
,"Monroe County, NY","36055","Under 15 years","15",Suppressed
,"Monroe County, NY","36055","15-19 years","15-19",274
,"Monroe County, NY","36055","20-24 years","20-24",1095
,"Monroe County, NY","36055","25-29 years","25-29",1956
,"Monroe County, NY","36055","30-34 years","30-34",2752
,"Monroe County, NY","36055","35-39 years","35-39",1362
,"Monroe County, NY","36055","40-44 years","40-44",260
,"Monroe County, NY","36055","45-49 years","45-49",12
