"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Brown County, WI","55009","Under 15 years","15",Suppressed
,"Brown County, WI","55009","15-19 years","15-19",114
,"Brown County, WI","55009","20-24 years","20-24",457
,"Brown County, WI","55009","25-29 years","25-29",1008
,"Brown County, WI","55009","30-34 years","30-34",1029
,"Brown County, WI","55009","35-39 years","35-39",386
,"Brown County, WI","55009","40-44 years","40-44",62
,"Brown County, WI","55009","45-49 years","45-49",Suppressed
,"Brown County, WI","55009","50 years and over","50+",0
,"Dane County, WI","55025","Under 15 years","15",Suppressed
,"Dane County, WI","55025","15-19 years","15-19",110
,"Dane County, WI","55025","20-24 years","20-24",509
,"Dane County, WI","55025","25-29 years","25-29",1341
,"Dane County, WI","55025","30-34 years","30-34",2358
,"Dane County, WI","55025","35-39 years","35-39",1167
,"Dane County, WI","55025","40-44 years","40-44",192
,"Dane County, WI","55025","45-49 years","45-49",16
,"Dane County, WI","55025","50 years and over","50+",Suppressed
,"Fond du Lac County, WI","55039","Under 15 years","15",0
,"Fond du Lac County, WI","55039","15-19 years","15-19",34
,"Fond du Lac County, WI","55039","20-24 years","20-24",161
,"Fond du Lac County, WI","55039","25-29 years","25-29",353
,"Fond du Lac County, WI","55039","30-34 years","30-34",331
,"Fond du Lac County, WI","55039","35-39 years","35-39",142
,"Fond du Lac County, WI","55039","40-44 years","40-44",17
,"Fond du Lac County, WI","55039","45-49 years","45-49",0
,"Fond du Lac County, WI","55039","50 years and over","50+",0
,"Kenosha County, WI","55059","Under 15 years","15",Suppressed
,"Kenosha County, WI","55059","15-19 years","15-19",68
,"Kenosha County, WI","55059","20-24 years","20-24",307
,"Kenosha County, WI","55059","25-29 years","25-29",536
,"Kenosha County, WI","55059","30-34 years","30-34",537
,"Kenosha County, WI","55059","35-39 years","35-39",241
,"Kenosha County, WI","55059","40-44 years","40-44",50
,"Kenosha County, WI","55059","45-49 years","45-49",Suppressed
,"Kenosha County, WI","55059","50 years and over","50+",0
,"La Crosse County, WI","55063","Under 15 years","15",0
,"La Crosse County, WI","55063","15-19 years","15-19",25
,"La Crosse County, WI","55063","20-24 years","20-24",120
,"La Crosse County, WI","55063","25-29 years","25-29",334
,"La Crosse County, WI","55063","30-34 years","30-34",448
,"La Crosse County, WI","55063","35-39 years","35-39",190
,"La Crosse County, WI","55063","40-44 years","40-44",32
,"La Crosse County, WI","55063","45-49 years","45-49",0
,"La Crosse County, WI","55063","50 years and over","50+",Suppressed
,"Marathon County, WI","55073","Under 15 years","15",Suppressed
,"Marathon County, WI","55073","15-19 years","15-19",31
,"Marathon County, WI","55073","20-24 years","20-24",248
,"Marathon County, WI","55073","25-29 years","25-29",484
,"Marathon County, WI","55073","30-34 years","30-34",444
,"Marathon County, WI","55073","35-39 years","35-39",165
,"Marathon County, WI","55073","40-44 years","40-44",45
,"Marathon County, WI","55073","45-49 years","45-49",Suppressed
,"Marathon County, WI","55073","50 years and over","50+",0
,"Milwaukee County, WI","55079","Under 15 years","15",12
,"Milwaukee County, WI","55079","15-19 years","15-19",637
,"Milwaukee County, WI","55079","20-24 years","20-24",2256
,"Milwaukee County, WI","55079","25-29 years","25-29",3316
,"Milwaukee County, WI","55079","30-34 years","30-34",3645
,"Milwaukee County, WI","55079","35-39 years","35-39",1742
,"Milwaukee County, WI","55079","40-44 years","40-44",361
,"Milwaukee County, WI","55079","45-49 years","45-49",20
,"Milwaukee County, WI","55079","50 years and over","50+",Suppressed
,"Outagamie County, WI","55087","Under 15 years","15",0
,"Outagamie County, WI","55087","15-19 years","15-19",38
,"Outagamie County, WI","55087","20-24 years","20-24",286
,"Outagamie County, WI","55087","25-29 years","25-29",736
,"Outagamie County, WI","55087","30-34 years","30-34",778
,"Outagamie County, WI","55087","35-39 years","35-39",295
,"Outagamie County, WI","55087","40-44 years","40-44",47
,"Outagamie County, WI","55087","45-49 years","45-49",Suppressed
,"Outagamie County, WI","55087","50 years and over","50+",0
,"Racine County, WI","55101","Under 15 years","15",0
,"Racine County, WI","55101","15-19 years","15-19",111
,"Racine County, WI","55101","20-24 years","20-24",445
,"Racine County, WI","55101","25-29 years","25-29",628
,"Racine County, WI","55101","30-34 years","30-34",668
,"Racine County, WI","55101","35-39 years","35-39",315
,"Racine County, WI","55101","40-44 years","40-44",58
,"Racine County, WI","55101","45-49 years","45-49",Suppressed
,"Racine County, WI","55101","50 years and over","50+",0
,"Rock County, WI","55105","Under 15 years","15",0
,"Rock County, WI","55105","15-19 years","15-19",70
,"Rock County, WI","55105","20-24 years","20-24",350
,"Rock County, WI","55105","25-29 years","25-29",607
,"Rock County, WI","55105","30-34 years","30-34",507
,"Rock County, WI","55105","35-39 years","35-39",206
,"Rock County, WI","55105","40-44 years","40-44",33
,"Rock County, WI","55105","45-49 years","45-49",Suppressed
,"Rock County, WI","55105","50 years and over","50+",0
,"Sheboygan County, WI","55117","Under 15 years","15",0
,"Sheboygan County, WI","55117","15-19 years","15-19",26
,"Sheboygan County, WI","55117","20-24 years","20-24",194
,"Sheboygan County, WI","55117","25-29 years","25-29",371
,"Sheboygan County, WI","55117","30-34 years","30-34",337
,"Sheboygan County, WI","55117","35-39 years","35-39",174
,"Sheboygan County, WI","55117","40-44 years","40-44",24
,"Sheboygan County, WI","55117","45-49 years","45-49",Suppressed
,"Sheboygan County, WI","55117","50 years and over","50+",0
,"Walworth County, WI","55127","Under 15 years","15",0
,"Walworth County, WI","55127","15-19 years","15-19",24
,"Walworth County, WI","55127","20-24 years","20-24",149
,"Walworth County, WI","55127","25-29 years","25-29",289
,"Walworth County, WI","55127","30-34 years","30-34",310
,"Walworth County, WI","55127","35-39 years","35-39",118
,"Walworth County, WI","55127","40-44 years","40-44",23
,"Walworth County, WI","55127","45-49 years","45-49",Suppressed
,"Walworth County, WI","55127","50 years and over","50+",Suppressed
,"Washington County, WI","55131","Under 15 years","15",0
,"Washington County, WI","55131","15-19 years","15-19",15
,"Washington County, WI","55131","20-24 years","20-24",128
,"Washington County, WI","55131","25-29 years","25-29",396
,"Washington County, WI","55131","30-34 years","30-34",502
,"Washington County, WI","55131","35-39 years","35-39",204
,"Washington County, WI","55131","40-44 years","40-44",44
,"Washington County, WI","55131","45-49 years","45-49",Suppressed
,"Washington County, WI","55131","50 years and over","50+",0
,"Waukesha County, WI","55133","Under 15 years","15",0
,"Waukesha County, WI","55133","15-19 years","15-19",43
