"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alachua County, FL","12001","Hispanic or Latino","2135-2",274
,"Alachua County, FL","12001","Not Hispanic or Latino","2186-5",2306
,"Alachua County, FL","12001","Unknown or Not Stated","9",Suppressed
,"Bay County, FL","12005","Hispanic or Latino","2135-2",287
,"Bay County, FL","12005","Not Hispanic or Latino","2186-5",1815
,"Bay County, FL","12005","Unknown or Not Stated","9",0
,"Brevard County, FL","12009","Hispanic or Latino","2135-2",783
,"Brevard County, FL","12009","Not Hispanic or Latino","2186-5",4283
,"Brevard County, FL","12009","Unknown or Not Stated","9",0
,"Broward County, FL","12011","Hispanic or Latino","2135-2",6840
,"Broward County, FL","12011","Not Hispanic or Latino","2186-5",13459
,"Broward County, FL","12011","Unknown or Not Stated","9",12
,"Charlotte County, FL","12015","Hispanic or Latino","2135-2",139
,"Charlotte County, FL","12015","Not Hispanic or Latino","2186-5",967
,"Charlotte County, FL","12015","Unknown or Not Stated","9",0
,"Citrus County, FL","12017","Hispanic or Latino","2135-2",81
,"Citrus County, FL","12017","Not Hispanic or Latino","2186-5",954
,"Citrus County, FL","12017","Unknown or Not Stated","9",Suppressed
,"Clay County, FL","12019","Hispanic or Latino","2135-2",252
,"Clay County, FL","12019","Not Hispanic or Latino","2186-5",1968
,"Clay County, FL","12019","Unknown or Not Stated","9",Suppressed
,"Collier County, FL","12021","Hispanic or Latino","2135-2",1566
,"Collier County, FL","12021","Not Hispanic or Latino","2186-5",1644
,"Collier County, FL","12021","Unknown or Not Stated","9",Suppressed
,"Duval County, FL","12031","Hispanic or Latino","2135-2",1904
,"Duval County, FL","12031","Not Hispanic or Latino","2186-5",10696
,"Duval County, FL","12031","Unknown or Not Stated","9",Suppressed
,"Escambia County, FL","12033","Hispanic or Latino","2135-2",324
,"Escambia County, FL","12033","Not Hispanic or Latino","2186-5",3476
,"Escambia County, FL","12033","Unknown or Not Stated","9",0
,"Hernando County, FL","12053","Hispanic or Latino","2135-2",333
,"Hernando County, FL","12053","Not Hispanic or Latino","2186-5",1284
,"Hernando County, FL","12053","Unknown or Not Stated","9",Suppressed
,"Hillsborough County, FL","12057","Hispanic or Latino","2135-2",5953
,"Hillsborough County, FL","12057","Not Hispanic or Latino","2186-5",11216
,"Hillsborough County, FL","12057","Unknown or Not Stated","9",10
,"Indian River County, FL","12061","Hispanic or Latino","2135-2",275
,"Indian River County, FL","12061","Not Hispanic or Latino","2186-5",970
,"Indian River County, FL","12061","Unknown or Not Stated","9",0
,"Lake County, FL","12069","Hispanic or Latino","2135-2",791
,"Lake County, FL","12069","Not Hispanic or Latino","2186-5",2680
,"Lake County, FL","12069","Unknown or Not Stated","9",Suppressed
,"Lee County, FL","12071","Hispanic or Latino","2135-2",2715
,"Lee County, FL","12071","Not Hispanic or Latino","2186-5",4509
,"Lee County, FL","12071","Unknown or Not Stated","9",Suppressed
,"Leon County, FL","12073","Hispanic or Latino","2135-2",220
,"Leon County, FL","12073","Not Hispanic or Latino","2186-5",2561
,"Leon County, FL","12073","Unknown or Not Stated","9",0
,"Manatee County, FL","12081","Hispanic or Latino","2135-2",1088
,"Manatee County, FL","12081","Not Hispanic or Latino","2186-5",2517
,"Manatee County, FL","12081","Unknown or Not Stated","9",Suppressed
,"Marion County, FL","12083","Hispanic or Latino","2135-2",733
,"Marion County, FL","12083","Not Hispanic or Latino","2186-5",2835
,"Marion County, FL","12083","Unknown or Not Stated","9",0
,"Martin County, FL","12085","Hispanic or Latino","2135-2",412
,"Martin County, FL","12085","Not Hispanic or Latino","2186-5",844
,"Martin County, FL","12085","Unknown or Not Stated","9",0
,"Miami-Dade County, FL","12086","Hispanic or Latino","2135-2",19034
,"Miami-Dade County, FL","12086","Not Hispanic or Latino","2186-5",9067
,"Miami-Dade County, FL","12086","Unknown or Not Stated","9",18
,"Okaloosa County, FL","12091","Hispanic or Latino","2135-2",449
,"Okaloosa County, FL","12091","Not Hispanic or Latino","2186-5",2244
,"Okaloosa County, FL","12091","Unknown or Not Stated","9",0
,"Orange County, FL","12095","Hispanic or Latino","2135-2",5904
,"Orange County, FL","12095","Not Hispanic or Latino","2186-5",10121
,"Orange County, FL","12095","Unknown or Not Stated","9",36
