"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Alamance County, NC","37001","Hispanic or Latino","2135-2",403
,"Alamance County, NC","37001","Not Hispanic or Latino","2186-5",1525
,"Alamance County, NC","37001","Unknown or Not Stated","9",Suppressed
,"Brunswick County, NC","37019","Hispanic or Latino","2135-2",135
,"Brunswick County, NC","37019","Not Hispanic or Latino","2186-5",978
,"Brunswick County, NC","37019","Unknown or Not Stated","9",Suppressed
,"Buncombe County, NC","37021","Hispanic or Latino","2135-2",327
,"Buncombe County, NC","37021","Not Hispanic or Latino","2186-5",2115
,"Buncombe County, NC","37021","Unknown or Not Stated","9",Suppressed
,"Cabarrus County, NC","37025","Hispanic or Latino","2135-2",501
,"Cabarrus County, NC","37025","Not Hispanic or Latino","2186-5",2177
,"Cabarrus County, NC","37025","Unknown or Not Stated","9",Suppressed
,"Catawba County, NC","37035","Hispanic or Latino","2135-2",266
,"Catawba County, NC","37035","Not Hispanic or Latino","2186-5",1405
,"Catawba County, NC","37035","Unknown or Not Stated","9",Suppressed
,"Craven County, NC","37049","Hispanic or Latino","2135-2",134
,"Craven County, NC","37049","Not Hispanic or Latino","2186-5",1097
,"Craven County, NC","37049","Unknown or Not Stated","9",Suppressed
,"Cumberland County, NC","37051","Hispanic or Latino","2135-2",886
,"Cumberland County, NC","37051","Not Hispanic or Latino","2186-5",4345
,"Cumberland County, NC","37051","Unknown or Not Stated","9",Suppressed
,"Davidson County, NC","37057","Hispanic or Latino","2135-2",249
,"Davidson County, NC","37057","Not Hispanic or Latino","2186-5",1540
,"Davidson County, NC","37057","Unknown or Not Stated","9",Suppressed
,"Durham County, NC","37063","Hispanic or Latino","2135-2",973
,"Durham County, NC","37063","Not Hispanic or Latino","2186-5",3265
,"Durham County, NC","37063","Unknown or Not Stated","9",Suppressed
,"Forsyth County, NC","37067","Hispanic or Latino","2135-2",1026
,"Forsyth County, NC","37067","Not Hispanic or Latino","2186-5",3409
,"Forsyth County, NC","37067","Unknown or Not Stated","9",Suppressed
,"Gaston County, NC","37071","Hispanic or Latino","2135-2",357
,"Gaston County, NC","37071","Not Hispanic or Latino","2186-5",2324
,"Gaston County, NC","37071","Unknown or Not Stated","9",Suppressed
,"Guilford County, NC","37081","Hispanic or Latino","2135-2",900
,"Guilford County, NC","37081","Not Hispanic or Latino","2186-5",4889
,"Guilford County, NC","37081","Unknown or Not Stated","9",Suppressed
,"Harnett County, NC","37085","Hispanic or Latino","2135-2",372
,"Harnett County, NC","37085","Not Hispanic or Latino","2186-5",1498
,"Harnett County, NC","37085","Unknown or Not Stated","9",Suppressed
,"Henderson County, NC","37089","Hispanic or Latino","2135-2",207
,"Henderson County, NC","37089","Not Hispanic or Latino","2186-5",791
,"Henderson County, NC","37089","Unknown or Not Stated","9",0
,"Iredell County, NC","37097","Hispanic or Latino","2135-2",239
,"Iredell County, NC","37097","Not Hispanic or Latino","2186-5",1691
,"Iredell County, NC","37097","Unknown or Not Stated","9",Suppressed
,"Johnston County, NC","37101","Hispanic or Latino","2135-2",614
,"Johnston County, NC","37101","Not Hispanic or Latino","2186-5",2152
,"Johnston County, NC","37101","Unknown or Not Stated","9",Suppressed
,"Mecklenburg County, NC","37119","Hispanic or Latino","2135-2",3436
,"Mecklenburg County, NC","37119","Not Hispanic or Latino","2186-5",11613
,"Mecklenburg County, NC","37119","Unknown or Not Stated","9",Suppressed
,"New Hanover County, NC","37129","Hispanic or Latino","2135-2",328
,"New Hanover County, NC","37129","Not Hispanic or Latino","2186-5",1822
,"New Hanover County, NC","37129","Unknown or Not Stated","9",Suppressed
,"Onslow County, NC","37133","Hispanic or Latino","2135-2",696
,"Onslow County, NC","37133","Not Hispanic or Latino","2186-5",3156
,"Onslow County, NC","37133","Unknown or Not Stated","9",Suppressed
,"Orange County, NC","37135","Hispanic or Latino","2135-2",232
,"Orange County, NC","37135","Not Hispanic or Latino","2186-5",960
,"Orange County, NC","37135","Unknown or Not Stated","9",Suppressed
,"Pitt County, NC","37147","Hispanic or Latino","2135-2",198
,"Pitt County, NC","37147","Not Hispanic or Latino","2186-5",1894
,"Pitt County, NC","37147","Unknown or Not Stated","9",0
,"Randolph County, NC","37151","Hispanic or Latino","2135-2",299
,"Randolph County, NC","37151","Not Hispanic or Latino","2186-5",1200
,"Randolph County, NC","37151","Unknown or Not Stated","9",0
,"Robeson County, NC","37155","Hispanic or Latino","2135-2",308
,"Robeson County, NC","37155","Not Hispanic or Latino","2186-5",1541
,"Robeson County, NC","37155","Unknown or Not Stated","9",0
,"Rowan County, NC","37159","Hispanic or Latino","2135-2",253
,"Rowan County, NC","37159","Not Hispanic or Latino","2186-5",1357
,"Rowan County, NC","37159","Unknown or Not Stated","9",0
,"Union County, NC","37179","Hispanic or Latino","2135-2",462
,"Union County, NC","37179","Not Hispanic or Latino","2186-5",1976
,"Union County, NC","37179","Unknown or Not Stated","9",Suppressed
,"Wake County, NC","37183","Hispanic or Latino","2135-2",2316
,"Wake County, NC","37183","Not Hispanic or Latino","2186-5",10812
,"Wake County, NC","37183","Unknown or Not Stated","9",42
,"Wayne County, NC","37191","Hispanic or Latino","2135-2",366
,"Wayne County, NC","37191","Not Hispanic or Latino","2186-5",1234
,"Wayne County, NC","37191","Unknown or Not Stated","9",Suppressed
,"Unidentified Counties, NC","37999","Hispanic or Latino","2135-2",4130
,"Unidentified Counties, NC","37999","Not Hispanic or Latino","2186-5",26954
,"Unidentified Counties, NC","37999","Unknown or Not Stated","9",34
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: North Carolina (37)"
"Year: 2021"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 3:30:54 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 3:30:54 PM"
"---"
Messages:
