"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Alachua County, FL","12001","Female","F",1283
,"Alachua County, FL","12001","Male","M",1298
,"Bay County, FL","12005","Female","F",1055
,"Bay County, FL","12005","Male","M",1047
,"Brevard County, FL","12009","Female","F",2390
,"Brevard County, FL","12009","Male","M",2676
,"Broward County, FL","12011","Female","F",10061
,"Broward County, FL","12011","Male","M",10250
,"Charlotte County, FL","12015","Female","F",534
,"Charlotte County, FL","12015","Male","M",572
,"Citrus County, FL","12017","Female","F",504
,"Citrus County, FL","12017","Male","M",532
,"Clay County, FL","12019","Female","F",1100
,"Clay County, FL","12019","Male","M",1122
,"Collier County, FL","12021","Female","F",1581
,"Collier County, FL","12021","Male","M",1630
,"Duval County, FL","12031","Female","F",6098
,"Duval County, FL","12031","Male","M",6511
,"Escambia County, FL","12033","Female","F",1870
,"Escambia County, FL","12033","Male","M",1930
,"Hernando County, FL","12053","Female","F",793
,"Hernando County, FL","12053","Male","M",826
,"Hillsborough County, FL","12057","Female","F",8359
,"Hillsborough County, FL","12057","Male","M",8820
,"Indian River County, FL","12061","Female","F",608
,"Indian River County, FL","12061","Male","M",637
,"Lake County, FL","12069","Female","F",1686
,"Lake County, FL","12069","Male","M",1791
,"Lee County, FL","12071","Female","F",3592
,"Lee County, FL","12071","Male","M",3634
,"Leon County, FL","12073","Female","F",1407
,"Leon County, FL","12073","Male","M",1374
,"Manatee County, FL","12081","Female","F",1783
,"Manatee County, FL","12081","Male","M",1823
,"Marion County, FL","12083","Female","F",1720
,"Marion County, FL","12083","Male","M",1848
,"Martin County, FL","12085","Female","F",608
,"Martin County, FL","12085","Male","M",648
,"Miami-Dade County, FL","12086","Female","F",13778
,"Miami-Dade County, FL","12086","Male","M",14341
,"Okaloosa County, FL","12091","Female","F",1321
,"Okaloosa County, FL","12091","Male","M",1372
,"Orange County, FL","12095","Female","F",7851
,"Orange County, FL","12095","Male","M",8210
,"Osceola County, FL","12097","Female","F",2292
,"Osceola County, FL","12097","Male","M",2416
,"Palm Beach County, FL","12099","Female","F",7090
,"Palm Beach County, FL","12099","Male","M",7406
,"Pasco County, FL","12101","Female","F",2558
,"Pasco County, FL","12101","Male","M",2749
,"Pinellas County, FL","12103","Female","F",3592
,"Pinellas County, FL","12103","Male","M",3771
,"Polk County, FL","12105","Female","F",4090
,"Polk County, FL","12105","Male","M",4391
,"St. Johns County, FL","12109","Female","F",1175
,"St. Johns County, FL","12109","Male","M",1196
,"St. Lucie County, FL","12111","Female","F",1666
,"St. Lucie County, FL","12111","Male","M",1699
,"Santa Rosa County, FL","12113","Female","F",1030
,"Santa Rosa County, FL","12113","Male","M",1015
,"Sarasota County, FL","12115","Female","F",1364
,"Sarasota County, FL","12115","Male","M",1538
,"Seminole County, FL","12117","Female","F",2225
,"Seminole County, FL","12117","Male","M",2309
,"Volusia County, FL","12127","Female","F",2434
,"Volusia County, FL","12127","Male","M",2469
,"Unidentified Counties, FL","12999","Female","F",6269
,"Unidentified Counties, FL","12999","Male","M",6642
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Florida (12)"
"Year: 2021"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:25:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:25:24 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
