"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Bartow County, GA","13015","Female","F",630
,"Bartow County, GA","13015","Male","M",697
,"Bibb County, GA","13021","Female","F",1047
,"Bibb County, GA","13021","Male","M",1047
,"Carroll County, GA","13045","Female","F",757
,"Carroll County, GA","13045","Male","M",830
,"Chatham County, GA","13051","Female","F",1814
,"Chatham County, GA","13051","Male","M",1825
,"Cherokee County, GA","13057","Female","F",1388
,"Cherokee County, GA","13057","Male","M",1420
,"Clarke County, GA","13059","Female","F",683
,"Clarke County, GA","13059","Male","M",727
,"Clayton County, GA","13063","Female","F",1694
,"Clayton County, GA","13063","Male","M",1745
,"Cobb County, GA","13067","Female","F",4322
,"Cobb County, GA","13067","Male","M",4603
,"Columbia County, GA","13073","Female","F",872
,"Columbia County, GA","13073","Male","M",918
,"Coweta County, GA","13077","Female","F",831
,"Coweta County, GA","13077","Male","M",801
,"DeKalb County, GA","13089","Female","F",4901
,"DeKalb County, GA","13089","Male","M",5139
,"Douglas County, GA","13097","Female","F",816
,"Douglas County, GA","13097","Male","M",853
,"Fayette County, GA","13113","Female","F",433
,"Fayette County, GA","13113","Male","M",460
,"Forsyth County, GA","13117","Female","F",1103
,"Forsyth County, GA","13117","Male","M",1171
,"Fulton County, GA","13121","Female","F",6070
,"Fulton County, GA","13121","Male","M",6182
,"Gwinnett County, GA","13135","Female","F",5418
,"Gwinnett County, GA","13135","Male","M",5348
,"Hall County, GA","13139","Female","F",1292
,"Hall County, GA","13139","Male","M",1314
,"Henry County, GA","13151","Female","F",1366
,"Henry County, GA","13151","Male","M",1406
,"Houston County, GA","13153","Female","F",911
,"Houston County, GA","13153","Male","M",1011
,"Lowndes County, GA","13185","Female","F",800
,"Lowndes County, GA","13185","Male","M",877
,"Muscogee County, GA","13215","Female","F",1360
,"Muscogee County, GA","13215","Male","M",1367
,"Paulding County, GA","13223","Female","F",870
,"Paulding County, GA","13223","Male","M",955
,"Richmond County, GA","13245","Female","F",1282
,"Richmond County, GA","13245","Male","M",1474
,"Whitfield County, GA","13313","Female","F",602
,"Whitfield County, GA","13313","Male","M",618
,"Unidentified Counties, GA","13999","Female","F",19488
,"Unidentified Counties, GA","13999","Male","M",20535
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Georgia (13)"
"Year: 2021"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:26:22 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:26:22 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
