"Notes","County of Residence","County of Residence Code","Sex of Infant","Sex of Infant Code",Births
,"Allegan County, MI","26005","Female","F",583
,"Allegan County, MI","26005","Male","M",645
,"Bay County, MI","26017","Female","F",489
,"Bay County, MI","26017","Male","M",442
,"Berrien County, MI","26021","Female","F",755
,"Berrien County, MI","26021","Male","M",809
,"Calhoun County, MI","26025","Female","F",723
,"Calhoun County, MI","26025","Male","M",813
,"Eaton County, MI","26045","Female","F",564
,"Eaton County, MI","26045","Male","M",525
,"Genesee County, MI","26049","Female","F",2144
,"Genesee County, MI","26049","Male","M",2317
,"Ingham County, MI","26065","Female","F",1426
,"Ingham County, MI","26065","Male","M",1492
,"Jackson County, MI","26075","Female","F",783
,"Jackson County, MI","26075","Male","M",890
,"Kalamazoo County, MI","26077","Female","F",1317
,"Kalamazoo County, MI","26077","Male","M",1441
,"Kent County, MI","26081","Female","F",3996
,"Kent County, MI","26081","Male","M",4260
,"Livingston County, MI","26093","Female","F",863
,"Livingston County, MI","26093","Male","M",884
,"Macomb County, MI","26099","Female","F",4294
,"Macomb County, MI","26099","Male","M",4483
,"Monroe County, MI","26115","Female","F",720
,"Monroe County, MI","26115","Male","M",788
,"Muskegon County, MI","26121","Female","F",894
,"Muskegon County, MI","26121","Male","M",973
,"Oakland County, MI","26125","Female","F",6212
,"Oakland County, MI","26125","Male","M",6636
,"Ottawa County, MI","26139","Female","F",1529
,"Ottawa County, MI","26139","Male","M",1625
,"Saginaw County, MI","26145","Female","F",1000
,"Saginaw County, MI","26145","Male","M",1012
,"St. Clair County, MI","26147","Female","F",760
,"St. Clair County, MI","26147","Male","M",680
,"Washtenaw County, MI","26161","Female","F",1619
,"Washtenaw County, MI","26161","Male","M",1687
,"Wayne County, MI","26163","Female","F",10648
,"Wayne County, MI","26163","Male","M",10822
,"Unidentified Counties, MI","26999","Female","F",10042
,"Unidentified Counties, MI","26999","Male","M",10395
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Michigan (26)"
"Year: 2021"
"Group By: County of Residence; Sex of Infant"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 1:20:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 1:20:20 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
