"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Benton County, AR","05007","American Indian or Alaska Native","1002-5",57
,"Benton County, AR","05007","Asian","A",286
,"Benton County, AR","05007","Black or African American","2054-5",110
,"Benton County, AR","05007","Native Hawaiian or Other Pacific Islander","NHOPI",109
,"Benton County, AR","05007","White","2106-3",3111
,"Benton County, AR","05007","More than one race","M",98
,"Benton County, AR","05007","Unknown or Not Stated","UNK",0
,"Benton County, AR","05007","Not Available","NA",0
,"Benton County, AR","05007","Not Reported","NR",0
,"Faulkner County, AR","05045","American Indian or Alaska Native","1002-5",Suppressed
,"Faulkner County, AR","05045","Asian","A",23
,"Faulkner County, AR","05045","Black or African American","2054-5",249
,"Faulkner County, AR","05045","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Faulkner County, AR","05045","White","2106-3",1158
,"Faulkner County, AR","05045","More than one race","M",37
,"Faulkner County, AR","05045","Unknown or Not Stated","UNK",0
,"Faulkner County, AR","05045","Not Available","NA",0
,"Faulkner County, AR","05045","Not Reported","NR",0
,"Pulaski County, AR","05119","American Indian or Alaska Native","1002-5",17
,"Pulaski County, AR","05119","Asian","A",155
,"Pulaski County, AR","05119","Black or African American","2054-5",2267
,"Pulaski County, AR","05119","Native Hawaiian or Other Pacific Islander","NHOPI",14
,"Pulaski County, AR","05119","White","2106-3",2465
,"Pulaski County, AR","05119","More than one race","M",94
,"Pulaski County, AR","05119","Unknown or Not Stated","UNK",0
,"Pulaski County, AR","05119","Not Available","NA",0
,"Pulaski County, AR","05119","Not Reported","NR",0
,"Saline County, AR","05125","American Indian or Alaska Native","1002-5",Suppressed
,"Saline County, AR","05125","Asian","A",22
,"Saline County, AR","05125","Black or African American","2054-5",205
,"Saline County, AR","05125","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Saline County, AR","05125","White","2106-3",1152
,"Saline County, AR","05125","More than one race","M",31
,"Saline County, AR","05125","Unknown or Not Stated","UNK",0
,"Saline County, AR","05125","Not Available","NA",0
,"Saline County, AR","05125","Not Reported","NR",0
,"Sebastian County, AR","05131","American Indian or Alaska Native","1002-5",39
,"Sebastian County, AR","05131","Asian","A",63
,"Sebastian County, AR","05131","Black or African American","2054-5",142
,"Sebastian County, AR","05131","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Sebastian County, AR","05131","White","2106-3",1307
,"Sebastian County, AR","05131","More than one race","M",59
,"Sebastian County, AR","05131","Unknown or Not Stated","UNK",0
,"Sebastian County, AR","05131","Not Available","NA",0
,"Sebastian County, AR","05131","Not Reported","NR",0
,"Washington County, AR","05143","American Indian or Alaska Native","1002-5",42
,"Washington County, AR","05143","Asian","A",79
,"Washington County, AR","05143","Black or African American","2054-5",172
,"Washington County, AR","05143","Native Hawaiian or Other Pacific Islander","NHOPI",349
,"Washington County, AR","05143","White","2106-3",2462
,"Washington County, AR","05143","More than one race","M",74
,"Washington County, AR","05143","Unknown or Not Stated","UNK",0
,"Washington County, AR","05143","Not Available","NA",0
,"Washington County, AR","05143","Not Reported","NR",0
,"Unidentified Counties, AR","05999","American Indian or Alaska Native","1002-5",102
,"Unidentified Counties, AR","05999","Asian","A",227
,"Unidentified Counties, AR","05999","Black or African American","2054-5",3745
,"Unidentified Counties, AR","05999","Native Hawaiian or Other Pacific Islander","NHOPI",111
,"Unidentified Counties, AR","05999","White","2106-3",14967
,"Unidentified Counties, AR","05999","More than one race","M",342
,"Unidentified Counties, AR","05999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, AR","05999","Not Available","NA",0
,"Unidentified Counties, AR","05999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Arkansas (05)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:02:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:02:56 PM"
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
