"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Black Hawk County, IA","19013","American Indian or Alaska Native","1002-5",Suppressed
,"Black Hawk County, IA","19013","Asian","A",55
,"Black Hawk County, IA","19013","Black or African American","2054-5",244
,"Black Hawk County, IA","19013","Native Hawaiian or Other Pacific Islander","NHOPI",42
,"Black Hawk County, IA","19013","White","2106-3",1225
,"Black Hawk County, IA","19013","More than one race","M",55
,"Black Hawk County, IA","19013","Unknown or Not Stated","UNK",0
,"Black Hawk County, IA","19013","Not Available","NA",0
,"Black Hawk County, IA","19013","Not Reported","NR",0
,"Johnson County, IA","19103","American Indian or Alaska Native","1002-5",Suppressed
,"Johnson County, IA","19103","Asian","A",99
,"Johnson County, IA","19103","Black or African American","2054-5",312
,"Johnson County, IA","19103","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Johnson County, IA","19103","White","2106-3",1206
,"Johnson County, IA","19103","More than one race","M",30
,"Johnson County, IA","19103","Unknown or Not Stated","UNK",0
,"Johnson County, IA","19103","Not Available","NA",0
,"Johnson County, IA","19103","Not Reported","NR",0
,"Linn County, IA","19113","American Indian or Alaska Native","1002-5",Suppressed
,"Linn County, IA","19113","Asian","A",76
,"Linn County, IA","19113","Black or African American","2054-5",386
,"Linn County, IA","19113","Native Hawaiian or Other Pacific Islander","NHOPI",22
,"Linn County, IA","19113","White","2106-3",1991
,"Linn County, IA","19113","More than one race","M",94
,"Linn County, IA","19113","Unknown or Not Stated","UNK",0
,"Linn County, IA","19113","Not Available","NA",0
,"Linn County, IA","19113","Not Reported","NR",0
,"Polk County, IA","19153","American Indian or Alaska Native","1002-5",28
,"Polk County, IA","19153","Asian","A",377
,"Polk County, IA","19153","Black or African American","2054-5",792
,"Polk County, IA","19153","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Polk County, IA","19153","White","2106-3",5101
,"Polk County, IA","19153","More than one race","M",175
,"Polk County, IA","19153","Unknown or Not Stated","UNK",0
,"Polk County, IA","19153","Not Available","NA",0
,"Polk County, IA","19153","Not Reported","NR",0
,"Scott County, IA","19163","American Indian or Alaska Native","1002-5",Suppressed
,"Scott County, IA","19163","Asian","A",54
,"Scott County, IA","19163","Black or African American","2054-5",246
,"Scott County, IA","19163","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Scott County, IA","19163","White","2106-3",1487
,"Scott County, IA","19163","More than one race","M",77
,"Scott County, IA","19163","Unknown or Not Stated","UNK",0
,"Scott County, IA","19163","Not Available","NA",0
,"Scott County, IA","19163","Not Reported","NR",0
,"Woodbury County, IA","19193","American Indian or Alaska Native","1002-5",52
,"Woodbury County, IA","19193","Asian","A",39
,"Woodbury County, IA","19193","Black or African American","2054-5",142
,"Woodbury County, IA","19193","Native Hawaiian or Other Pacific Islander","NHOPI",44
,"Woodbury County, IA","19193","White","2106-3",1087
,"Woodbury County, IA","19193","More than one race","M",37
,"Woodbury County, IA","19193","Unknown or Not Stated","UNK",0
,"Woodbury County, IA","19193","Not Available","NA",0
,"Woodbury County, IA","19193","Not Reported","NR",0
,"Unidentified Counties, IA","19999","American Indian or Alaska Native","1002-5",100
,"Unidentified Counties, IA","19999","Asian","A",385
,"Unidentified Counties, IA","19999","Black or African American","2054-5",539
,"Unidentified Counties, IA","19999","Native Hawaiian or Other Pacific Islander","NHOPI",190
,"Unidentified Counties, IA","19999","White","2106-3",19698
,"Unidentified Counties, IA","19999","More than one race","M",310
,"Unidentified Counties, IA","19999","Unknown or Not Stated","UNK",0
,"Unidentified Counties, IA","19999","Not Available","NA",0
,"Unidentified Counties, IA","19999","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Iowa (19)"
"Year: 2021"
"Group By: County of Residence; Mother's Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 2:15:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 2:15:17 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
